folder,techno_modifiee,gwp_constr,f_H2_STORAGE,f_METHANOL_STORAGE,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
133_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0855000000000002,,688.854609,16.557358,8.474142,6.232151,1.075197,0.761088,0.964797
134_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0861000000000002,,688.907549,16.815543,8.633511,6.28131,0.987541,0.783281,1.055608
135_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0867000000000002,,688.868213,18.042488,8.613774,6.306048,1.072507,1.510926,1.130076
136_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0873000000000003,,688.550782,16.546707,8.382779,6.724076,1.173412,0.849685,1.162721
137_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0879000000000003,,688.914329,17.780789,8.296448,6.349671,1.172174,1.903289,0.793426
138_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0885000000000003,,688.444501,16.629905,8.622566,6.398976,3.121649,0.917022,0.825018
139_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0891000000000003,,688.829259,18.043392,8.703357,6.138305,0.959646,0.647417,0.94327
140_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0897000000000003,,688.868502,16.614092,9.671518,6.200344,1.307632,0.629253,0.882062
141_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0903000000000003,,688.581057,16.543126,8.658278,6.216708,1.513622,1.125353,1.261388
142_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0909000000000003,,688.723123,17.256246,8.767172,6.178063,0.998351,0.44559,0.94584
143_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0915000000000003,,688.234956,16.560166,9.294096,6.480055,0.914659,2.061014,0.796568
144_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0921000000000003,,688.635026,18.292525,8.278179,6.203139,0.881834,0.459906,0.991137
145_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0927000000000003,,688.124596,16.534565,8.559337,6.818241,1.449861,0.901453,1.192798
146_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0933000000000003,,688.383352,18.351674,8.197891,6.139823,1.779392,1.225191,0.803525
147_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0939000000000003,,687.631092,18.005794,8.669036,6.350556,1.218248,0.772563,0.892075
148_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0945000000000003,,687.902114,18.641655,8.605628,6.572505,0.853853,2.117078,0.790265
149_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0951000000000003,,688.07635,17.62339,8.524814,6.253828,1.071871,0.672115,1.062195
150_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0957000000000003,,687.60789,17.12176,8.757676,6.578291,1.082136,0.65731,1.041015
151_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0963000000000003,,688.043222,18.784138,8.551839,6.330202,1.121377,1.042223,0.692381
152_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0969000000000003,,687.397703,16.540101,8.341393,9.575757,1.520449,1.268448,0.978279
153_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0975000000000003,,685.325214,16.679758,8.624426,6.266018,1.303997,0.863421,1.131749
154_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0981000000000003,,687.154945,18.588568,8.849113,6.179553,4.269254,2.224665,0.731531
155_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0987000000000003,,687.573759,18.202399,8.455355,6.260705,1.328583,1.650028,0.851329
156_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0993000000000003,,686.246044,18.148402,8.627045,6.48735,1.940633,1.171176,1.029098
157_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0999000000000003,,687.418679,18.007125,8.49125,6.177712,0.651669,0.838844,0.962489
158_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1005000000000003,,685.190857,18.156283,8.437971,6.197704,1.110839,0.996941,0.945742
159_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1011000000000003,,685.30753,17.480989,8.490167,6.175089,0.889462,0.392404,0.923548
160_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1017000000000003,,684.960515,17.257559,8.276166,6.209192,1.848616,0.638299,0.983221
161_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1023000000000003,,684.715235,16.540042,8.58942,6.451322,1.001474,0.682084,0.935271
162_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1029000000000003,,685.717789,17.832446,8.858998,6.134688,1.118289,0.839414,0.896204
163_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1035000000000003,,685.00032,17.901464,8.36782,6.176403,1.114426,0.991658,1.119985
164_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1041000000000003,,683.222376,17.72727,9.043622,6.208618,1.942228,1.632068,1.193821
165_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1047000000000003,,685.719067,16.584909,8.339632,6.22821,2.448762,1.304073,1.043691
166_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1053000000000004,,684.990857,18.460938,8.54607,6.137952,1.331305,1.284061,1.077906
167_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1059000000000004,,685.208854,16.543717,8.240973,6.629381,1.115136,1.300553,0.80548
168_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1065000000000004,,685.721277,18.193498,8.497313,6.544862,1.799744,0.904204,1.156194
169_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1071000000000004,,685.044505,17.019843,10.239066,6.171913,1.01615,1.084775,0.813573
170_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1077000000000004,,683.349314,16.717436,8.457613,6.137771,1.515664,0.658711,0.890005
171_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1083000000000004,,684.988301,17.869241,8.960391,6.256735,0.915799,0.808688,0.915195
172_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1089000000000004,,685.718065,17.333281,8.576663,7.350651,2.802966,0.775301,0.956082
173_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1095000000000004,,684.990272,20.320501,8.215873,6.174871,1.039065,0.758249,0.771553
174_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1101000000000004,,681.860673,16.536159,8.931493,6.158303,0.746253,1.358458,0.8756
175_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1107000000000004,,684.89322,17.408182,8.600494,6.253873,0.742881,0.473395,0.828437
176_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1113000000000004,,682.113287,17.463731,8.455443,6.158481,1.400655,0.609559,1.145142
177_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1119000000000004,,681.419558,18.47162,8.476623,6.191896,1.016195,1.144784,0.937534
178_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1125000000000004,,680.76627,18.196364,8.242467,6.246508,0.91509,1.149696,0.866482
179_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1131000000000004,,682.601404,16.547448,8.902994,6.151635,0.853048,1.203539,0.716353
180_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1137000000000004,,682.60416,17.132326,8.134914,6.445034,0.833196,0.498514,0.849413
181_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1143000000000004,,682.631894,18.350523,8.235243,6.190319,1.236806,1.631528,0.945887
182_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1149000000000004,,680.560322,16.533769,8.624628,6.219752,2.603117,1.429103,0.944245
183_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1155000000000004,,680.678545,17.095572,9.133747,6.663769,1.798372,2.686008,0.775254
184_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1161000000000004,,681.242851,17.58164,8.52168,6.136544,1.150982,1.459033,0.968031
185_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1167000000000004,,680.657673,16.737762,8.429869,6.175372,1.025365,0.700098,1.049557
186_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1173000000000004,,680.691993,19.001126,8.311543,6.182454,1.732158,1.456798,0.899661
187_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1179000000000004,,680.56006,18.04237,8.622723,6.284351,1.435067,1.199658,1.115178
188_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1185000000000004,,680.606881,17.930607,8.420972,6.217474,1.41453,1.001676,1.272904
189_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1191000000000004,,680.674991,16.558133,8.161121,6.173511,0.986298,1.037101,0.944436
190_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1197000000000004,,680.674924,17.886491,8.387335,6.414086,1.001787,0.892483,0.848627
191_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1203000000000004,,680.678578,18.121576,8.484897,6.16616,0.959739,1.451302,0.972969
192_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1209000000000004,,680.647311,17.908247,8.464132,6.152737,1.200039,0.483785,0.831767
193_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1215000000000004,,680.660877,17.634236,8.41907,6.260314,1.798626,1.061442,1.177229
194_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1221000000000004,,680.651975,16.69781,8.542761,6.262148,1.55906,1.043499,1.218389
195_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1227000000000004,,680.660454,18.127836,8.501024,6.134171,0.897777,0.765053,0.998849
196_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1233000000000004,,680.607905,18.718367,8.620322,7.154347,0.976692,0.509025,0.808068
197_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1239000000000005,,680.590925,17.753994,8.137131,6.129991,0.528041,0.370309,0.535924
198_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1245000000000005,,680.437467,18.350174,8.556732,6.170693,1.370003,1.025848,1.057854
199_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1251000000000005,,680.289896,17.678118,10.158043,6.508008,1.716292,2.204436,0.912789
200_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1257000000000004,,680.684913,18.921036,8.27131,6.175475,1.33295,0.240147,1.072127
201_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1263000000000004,,680.687736,19.092026,8.576908,6.135387,2.837153,0.60071,1.053065
202_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1269000000000004,,680.690777,17.98599,8.408772,6.133203,1.192343,0.50458,0.865451
203_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1275000000000004,,680.671287,20.358638,9.41451,7.184841,1.218126,0.534335,0.723429
204_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1281000000000004,,680.355983,21.354202,12.142327,8.825452,0.766498,4.774304,0.88852
205_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1287000000000004,,680.337767,17.024815,8.238749,6.181536,1.372777,1.403909,0.969827
206_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1293000000000004,,679.568639,17.202664,8.651473,6.95548,1.164285,0.962019,0.997556
207_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1299000000000004,,680.193603,17.875424,8.535429,6.222366,1.285652,1.298298,0.908973
208_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1305000000000004,,680.335999,16.902718,8.519707,6.195232,0.727483,0.893295,0.967192
209_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1311000000000003,,679.557387,18.128364,8.227021,6.181132,1.175312,0.591125,1.033062
210_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1317000000000003,,680.047495,17.271197,8.361715,6.132769,0.985401,0.958054,0.860219
211_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1323000000000003,,679.602184,17.656264,8.727961,6.171028,0.755465,0.498477,0.743995
212_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1329000000000003,,679.494021,17.431936,8.630035,6.29351,1.188193,1.214175,1.040833
213_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1335000000000003,,679.618248,16.566643,10.933132,6.240878,1.110819,1.030353,0.947462
214_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1341000000000003,,679.624198,17.279412,8.268461,6.177327,1.762557,0.54674,0.947201
215_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1347000000000003,,679.461835,17.83751,8.565528,6.428328,1.047998,0.735897,0.934684
216_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1353000000000003,,679.606839,16.688621,8.689973,6.193688,1.126846,1.043498,1.023002
217_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1359000000000003,,678.473069,17.328451,8.438242,6.147508,2.148989,1.330099,0.979104
218_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1365000000000003,,679.124173,18.549215,9.278862,6.182241,0.909343,0.631129,0.938384
219_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1371000000000002,,679.030641,17.230673,8.677686,6.293174,1.152371,0.649765,1.021358
220_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1377000000000002,,679.453632,16.695848,8.675099,6.138241,0.641515,0.525014,0.913888
221_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1383000000000002,,679.495285,16.536002,9.171024,8.292914,1.142297,0.995589,0.883749
222_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1389000000000002,,678.195506,17.401262,8.533393,6.518541,0.809946,0.565638,0.809234
223_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1395000000000002,,677.440459,17.601986,8.931081,6.153535,0.966615,0.485492,0.897135
224_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1401000000000002,,679.278534,24.027678,9.386354,6.955467,1.279895,1.787914,0.8523
225_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1407000000000002,,679.372591,17.670763,8.442105,6.619835,0.993401,1.232224,0.997902
226_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1413000000000002,,678.353973,16.532974,8.611821,6.13474,0.99273,0.719878,0.908909
227_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1419000000000002,,677.954271,17.268934,10.23413,7.323638,1.139805,0.522415,0.954133
228_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1425000000000001,,678.07317,17.995979,8.507747,6.317471,0.870707,0.918243,0.833395
229_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1431000000000001,,678.10612,17.371048,8.356612,7.307067,2.55533,0.915955,0.879623
230_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1437000000000001,,678.219261,17.630347,8.428951,6.214166,1.21561,1.058058,0.903572
231_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1443000000000001,,678.219174,17.856151,8.425392,6.192002,1.249046,1.325905,0.86014
232_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1449000000000001,,669.151513,16.790872,8.343038,6.420397,1.277464,0.776085,0.948211
233_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1455000000000001,,668.557377,17.341496,8.187995,6.15257,0.790696,0.46002,0.602889
234_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1461000000000001,,668.145103,16.865184,8.657168,6.770402,0.767391,1.081824,0.913655
235_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1467000000000001,,668.108656,18.11855,8.338062,8.07457,2.239563,1.840048,0.82608
236_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1473000000000001,,668.143672,17.082526,8.443019,6.216974,1.031741,0.783275,0.897124
237_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1479000000000001,,668.102789,17.209964,8.538458,6.190799,1.016306,1.813303,1.056883
238_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1485,,667.562257,18.376516,8.555364,6.548369,1.275115,0.769612,1.039469
239_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1491,,667.700366,17.183233,8.593571,6.275921,1.097975,0.779951,1.044011
240_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1497,,667.240514,17.293775,8.605961,6.188144,0.831082,0.684057,0.867896
241_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1503,,667.295193,17.130936,8.987564,6.158504,1.590241,1.486254,1.114988
242_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1509,,667.276627,16.554868,8.803946,6.135237,0.917797,0.320946,0.8417
243_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1515,,667.149519,18.187249,8.619629,6.133132,1.315277,1.664327,0.863574
244_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1521,,667.199175,19.32489,8.712023,7.336748,1.034331,0.734371,0.92748
245_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1527,,667.147186,16.576355,8.481521,6.227185,1.908528,1.433505,1.058225
246_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1533,,666.774046,17.621506,8.091224,7.541198,1.386105,0.619929,0.489755
247_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1538999999999999,,667.300084,16.556324,9.16228,6.464902,0.942636,0.548901,0.868911
248_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1544999999999999,,667.241777,17.933707,8.915206,6.314957,2.247607,1.8462,0.969493
249_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1550999999999999,,667.252519,17.672594,8.822246,6.283073,1.277122,0.657276,0.990524
250_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1556999999999999,,667.288787,17.91369,8.146874,6.457823,0.935586,1.866703,0.890438
251_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1562999999999999,,667.188736,16.834103,8.294107,22.281203,1.216111,0.980976,0.881301
252_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1568999999999999,,666.860396,17.625791,8.350425,6.137018,0.98405,0.699974,0.944839
253_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1574999999999999,,667.246759,16.585294,9.531172,6.176903,0.798813,0.602742,0.769857
254_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1580999999999999,,667.30119,16.829477,8.785588,6.327026,1.062911,0.639726,1.015875
255_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1586999999999999,,667.05303,16.664629,8.385852,6.226546,1.833198,1.059041,1.015308
256_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1592999999999999,,667.237379,16.535373,8.406002,6.177135,1.045029,1.903223,1.008825
257_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1598999999999998,,667.241025,20.370474,8.556886,6.262784,2.434285,1.347166,0.820875
258_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1604999999999998,,661.512021,17.751504,8.785772,6.868925,2.100211,1.762476,1.006718
259_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1610999999999998,,661.560612,17.548343,8.594547,6.570319,1.293692,0.95487,0.989138
260_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1616999999999998,,661.553024,18.589758,9.240942,6.134222,2.882294,3.344675,0.753178
261_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1622999999999998,,661.535589,18.287388,8.721783,6.242331,1.560407,1.082644,1.17998
262_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1628999999999998,,661.524262,16.576879,8.663445,6.147007,0.677863,0.474532,1.109889
263_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1634999999999998,,661.447012,20.074277,8.381182,6.141992,1.840546,9.739964,0.750896
264_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1640999999999998,,661.481606,16.777366,8.662781,6.184147,0.852293,0.581559,0.860656
265_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1646999999999998,,661.160158,19.165184,8.205799,6.185661,1.04069,0.744444,1.033676
266_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1652999999999997,,661.341672,16.948822,8.54826,6.225425,1.463859,1.33361,1.215968
267_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1658999999999997,,661.192169,18.765594,9.419185,6.278403,1.586078,3.01292,0.673315
268_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1664999999999997,,661.28632,16.958857,8.321231,6.202339,1.168305,0.933684,0.918221
269_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1670999999999997,,661.025553,18.509922,8.555816,6.172845,0.980823,0.58215,0.971051
270_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1676999999999997,,661.043445,17.161828,8.175373,6.133269,1.027431,0.611492,0.829835
271_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1682999999999997,,661.065554,19.777202,8.609374,6.55678,1.472783,0.922717,0.992713
272_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1688999999999997,,661.038147,17.097644,8.374527,6.804771,1.223638,0.994065,1.08397
273_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1694999999999997,,660.707441,16.555776,8.615366,6.293875,1.455133,1.309996,0.750027
274_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1700999999999997,,661.053676,17.981884,9.126888,6.545934,0.913513,0.709519,0.875832
275_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1706999999999996,,661.076961,16.572301,8.271235,6.390311,1.482946,1.221954,0.864915
276_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1712999999999996,,660.664007,17.21024,8.874504,6.476629,1.023454,1.618158,1.081671
277_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1718999999999996,,660.693406,17.411029,8.696782,6.209814,2.06005,0.720831,0.705912
278_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1724999999999996,,660.615597,21.325125,8.796171,6.205076,0.814797,2.510457,0.794684
279_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1730999999999996,,660.643014,16.815231,8.773502,8.194809,1.567007,1.268825,1.020989
280_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1736999999999996,,660.43384,16.560461,8.630767,7.267882,1.029885,0.833559,0.896515
281_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1742999999999996,,660.506691,17.121499,8.612276,6.510244,1.129033,0.84966,1.092454
282_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1748999999999996,,660.436274,17.995135,9.162505,6.385621,1.753131,1.185366,0.822654
283_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1754999999999996,,660.440197,17.253274,8.41133,7.549408,1.17833,1.003812,0.990799
284_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1760999999999996,,660.436786,16.59791,8.219219,6.205988,0.907339,0.575238,0.696797
285_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1766999999999995,,660.462185,18.663008,8.43818,6.476005,1.067155,0.699944,1.033728
286_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1772999999999995,,660.396713,17.972352,8.206753,6.939907,1.461428,1.326508,0.837372
287_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1778999999999995,,659.586002,17.295186,8.576713,6.332739,0.916994,0.687505,1.029859
288_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1784999999999995,,659.534012,16.538487,8.507855,6.171072,3.084377,1.451194,0.974504
289_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1790999999999995,,659.142619,18.384884,8.659236,6.377576,3.055395,1.075889,1.107251
290_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1796999999999995,,659.300495,19.820408,8.834509,6.302123,1.956971,1.045782,1.14735
291_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1802999999999995,,631.422484,17.431088,8.880677,6.213593,1.095389,0.889356,0.990267
292_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1808999999999995,,630.843403,16.530792,9.337808,6.174926,0.947929,0.652891,0.972687
293_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1814999999999995,,630.149894,25.909353,8.480282,6.490554,3.117284,2.661757,0.645657
294_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1820999999999994,,631.33582,16.550977,9.032968,6.254838,1.039625,1.393163,0.872567
295_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1826999999999994,,629.754089,17.866326,8.662734,6.360033,0.941777,0.753659,0.574758
296_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1832999999999994,,629.865572,18.309439,8.186725,6.173153,0.779217,0.402457,0.811065
297_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.1838999999999994,,629.274625,18.494315,8.871445,6.176305,1.535303,0.824274,0.897744
