folder,techno_modifiee,gwp_constr,f_H2_STORAGE,f_METHANOL_STORAGE,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
10_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0116999999999999,,704.823624,17.090721,8.317379,6.37363,1.044309,1.29643,1.029482
11_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0122999999999999,,704.856845,16.596539,8.77397,6.201284,1.404735,1.198359,1.036646
12_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0128999999999999,,704.3533,17.863317,8.389621,6.173588,1.673431,0.814411,1.140406
13_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0134999999999999,,704.594545,16.55804,8.292248,6.170111,1.617577,0.912712,0.937948
14_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0140999999999999,,704.675872,16.827797,8.69895,6.882408,1.643755,1.518272,1.086652
15_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0146999999999999,,704.576791,16.85181,8.299629,6.194304,1.207315,2.567535,1.119735
16_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0152999999999999,,704.662193,16.57332,8.320047,6.178716,1.591339,0.890255,1.081989
17_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0158999999999999,,704.748134,17.600999,8.657007,6.217214,1.354754,0.804376,1.014666
18_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0164999999999999,,704.717843,16.734037,8.601003,6.254124,1.398334,0.820256,0.668973
19_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0170999999999999,,704.322033,18.319263,8.81349,6.161837,2.191966,2.753938,0.924379
20_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0176999999999999,,704.181652,16.771753,8.23362,6.180495,0.85527,0.607467,0.878835
21_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0182999999999999,,703.961925,17.155612,8.386644,6.266428,1.095226,7.762912,0.960051
22_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0188999999999999,,703.933445,18.074408,8.268028,6.182782,1.085604,0.748444,1.041999
23_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0194999999999999,,703.975836,16.861613,8.615559,6.215965,0.931085,0.768747,0.993047
24_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0200999999999999,,703.307434,16.875787,8.435538,6.137313,1.251457,0.771488,1.162975
25_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0206999999999999,,703.932042,16.580857,9.232424,6.168692,1.924878,1.260778,0.943361
26_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0212999999999999,,703.630482,16.540201,8.588468,6.138703,1.62635,1.013178,1.078806
27_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0218999999999999,,703.34944,18.672553,8.529306,7.412222,1.437382,1.010664,0.669242
28_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0224999999999999,,693.345514,17.467066,8.420521,6.684039,1.646557,1.250805,0.992984
29_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0230999999999999,,693.299736,16.596366,8.54253,6.140341,1.20728,0.769787,1.06483
30_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0236999999999999,,693.480223,17.793593,8.13623,6.184429,1.572306,0.716078,0.852259
31_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0242999999999999,,693.308309,16.594363,8.600148,6.236692,1.157033,0.579445,1.081152
32_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0248999999999999,,693.403546,16.747839,8.864196,6.189337,1.095447,0.858339,1.019887
33_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0254999999999999,,693.422415,17.497282,9.296367,6.137164,0.93458,0.449182,1.070909
34_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0260999999999999,,693.056923,16.53541,8.812907,6.321834,1.304448,0.706549,0.920278
35_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0266999999999999,,693.308896,18.462215,8.580598,6.305415,2.241378,0.92827,0.83216
36_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0272999999999999,,693.223428,18.25553,8.575287,6.409956,2.065171,2.137276,0.96697
37_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0278999999999999,,693.295175,17.462761,8.464861,6.167082,0.62644,0.685229,0.87536
38_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0284999999999999,,692.058195,22.868289,9.236339,6.428886,1.416212,4.323228,0.892567
39_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0290999999999999,,692.839738,18.759678,8.431228,6.153301,1.127431,0.984675,0.773791
40_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0296999999999999,,692.914507,17.916661,8.283494,6.294365,1.780633,1.150664,0.883241
41_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0302999999999999,,692.886426,16.541086,8.423068,6.202784,1.44764,7.880212,0.906385
42_CAS_Techno_METHANOL_STORAGE_gwp0,METHANOL_STORAGE,0.0308999999999999,,692.920038,19.397827,8.981466,6.131926,0.934457,0.957512,0.850863
