folder,techno_modifiee,gwp_constr,f_BATT_LI,f_PHS,f_TS_DEC_HP_ELEC,f_TS_HIGH_TEMP,f_TRAIN_PUB,f_TRAMWAY_TROLLEY,f_BUS_COACH_HYDIESEL,f_BUS_COACH_DIESEL,f_BUS_COACH_FC_HYBRIDH2,f_BUS_COACH_CNG_STOICH
69_IS_Techno_TS_HIGH_TEMP_gwp40,TS_HIGH_TEMP,40.39,,,,66.219105,17.050664,8.429508,9.299856,1.193795,1.096015,1.03665
70_IS_Techno_TS_HIGH_TEMP_gwp41,TS_HIGH_TEMP,40.89,,,,65.890592,16.940451,8.378497,6.815708,1.139269,0.91663,1.040008
71_IS_Techno_TS_HIGH_TEMP_gwp41,TS_HIGH_TEMP,41.39,,,,65.811603,16.885999,9.000484,6.50488,1.232301,0.895096,0.866304
72_IS_Techno_TS_HIGH_TEMP_gwp42,TS_HIGH_TEMP,41.89,,,,65.602218,17.063658,8.457918,6.140568,1.112754,1.023217,0.987294
73_IS_Techno_TS_HIGH_TEMP_gwp42,TS_HIGH_TEMP,42.39,,,,65.570672,17.227422,9.993115,7.573889,0.916876,0.586024,1.022333
74_IS_Techno_TS_HIGH_TEMP_gwp43,TS_HIGH_TEMP,42.89,,,,65.556769,17.085034,11.532682,6.940865,1.380427,1.400585,0.849292
75_IS_Techno_TS_HIGH_TEMP_gwp43,TS_HIGH_TEMP,43.39,,,,65.523213,17.967934,9.862556,8.259872,1.112343,0.963834,1.120724
76_IS_Techno_TS_HIGH_TEMP_gwp44,TS_HIGH_TEMP,43.89,,,,65.522994,17.857941,8.68213,6.475062,1.952935,0.68227,0.906008
77_IS_Techno_TS_HIGH_TEMP_gwp44,TS_HIGH_TEMP,44.39,,,,65.522771,19.35146,11.119572,7.769976,1.189073,0.347559,1.267242
78_IS_Techno_TS_HIGH_TEMP_gwp45,TS_HIGH_TEMP,44.89,,,,65.470976,17.567749,9.931816,6.136594,1.091168,0.911665,1.049018
79_IS_Techno_TS_HIGH_TEMP_gwp45,TS_HIGH_TEMP,45.39,,,,65.468821,17.84514,9.372035,8.527747,1.179061,1.014572,0.927465
80_IS_Techno_TS_HIGH_TEMP_gwp46,TS_HIGH_TEMP,45.89,,,,65.384386,17.978744,9.766875,6.582868,2.226955,1.676319,1.039089
81_IS_Techno_TS_HIGH_TEMP_gwp46,TS_HIGH_TEMP,46.39,,,,63.092399,17.165963,9.392654,6.790194,2.162808,1.782512,0.915446
82_IS_Techno_TS_HIGH_TEMP_gwp47,TS_HIGH_TEMP,46.89,,,,62.065415,16.541486,9.717291,10.689341,1.549066,2.767002,1.252152
83_IS_Techno_TS_HIGH_TEMP_gwp47,TS_HIGH_TEMP,47.39,,,,61.985746,16.738108,8.583717,7.235323,1.668503,0.869586,1.051705
84_IS_Techno_TS_HIGH_TEMP_gwp48,TS_HIGH_TEMP,47.89,,,,61.966026,16.714114,9.907319,6.155508,1.386641,0.958233,1.042467
85_IS_Techno_TS_HIGH_TEMP_gwp48,TS_HIGH_TEMP,48.39,,,,61.952669,16.693558,9.151234,10.49357,1.016925,1.08528,1.170759
86_IS_Techno_TS_HIGH_TEMP_gwp49,TS_HIGH_TEMP,48.89,,,,61.834567,16.623552,9.346413,7.869104,1.10612,0.662126,0.964367
87_IS_Techno_TS_HIGH_TEMP_gwp49,TS_HIGH_TEMP,49.39,,,,61.81399,19.311711,9.564093,6.413607,1.231381,1.058711,0.970727
88_IS_Techno_TS_HIGH_TEMP_gwp50,TS_HIGH_TEMP,49.89,,,,61.024483,17.306051,11.240344,7.181916,1.257154,1.322135,0.850627
89_IS_Techno_TS_HIGH_TEMP_gwp50,TS_HIGH_TEMP,50.39,,,,60.822086,17.194372,9.3182,6.172111,1.210359,0.753227,1.001667
90_IS_Techno_TS_HIGH_TEMP_gwp51,TS_HIGH_TEMP,50.89,,,,60.555871,18.577682,9.927765,9.331217,2.101114,3.056528,1.178016
91_IS_Techno_TS_HIGH_TEMP_gwp51,TS_HIGH_TEMP,51.39,,,,60.550749,17.249548,9.605282,6.917995,1.155949,0.762786,1.127576
92_IS_Techno_TS_HIGH_TEMP_gwp52,TS_HIGH_TEMP,51.89,,,,60.520979,19.328907,8.668073,7.793428,1.283489,1.515605,1.012083
93_IS_Techno_TS_HIGH_TEMP_gwp52,TS_HIGH_TEMP,52.39,,,,60.106529,17.385477,9.727998,7.015849,1.33235,1.130528,1.069926
94_IS_Techno_TS_HIGH_TEMP_gwp53,TS_HIGH_TEMP,52.89,,,,60.03595,16.966872,8.611909,6.733354,1.390501,0.88304,0.984428
95_IS_Techno_TS_HIGH_TEMP_gwp53,TS_HIGH_TEMP,53.39,,,,59.980254,17.029029,9.668331,6.451398,0.749259,0.491612,0.64395
96_IS_Techno_TS_HIGH_TEMP_gwp54,TS_HIGH_TEMP,53.89,,,,59.601149,17.277646,8.738584,6.419256,1.173138,1.239055,0.953322
97_IS_Techno_TS_HIGH_TEMP_gwp54,TS_HIGH_TEMP,54.39,,,,59.501786,19.090069,9.137117,8.228391,1.575222,1.848861,1.168489
98_IS_Techno_TS_HIGH_TEMP_gwp55,TS_HIGH_TEMP,54.89,,,,59.449108,17.928728,8.972448,6.783436,1.437164,1.143616,0.949056
99_IS_Techno_TS_HIGH_TEMP_gwp55,TS_HIGH_TEMP,55.39,,,,58.820612,16.765333,9.046009,6.265126,1.44512,1.159268,1.114704
100_IS_Techno_TS_HIGH_TEMP_gwp56,TS_HIGH_TEMP,55.89,,,,57.605677,17.276013,10.446623,8.300297,0.93796,0.688143,0.787602
101_IS_Techno_TS_HIGH_TEMP_gwp56,TS_HIGH_TEMP,56.39,,,,55.034117,17.28984,9.761215,6.465283,1.329994,2.105592,1.022135
102_IS_Techno_TS_HIGH_TEMP_gwp57,TS_HIGH_TEMP,56.89,,,,51.956413,18.458586,11.408402,7.035091,2.062525,2.102598,1.033965
103_IS_Techno_TS_HIGH_TEMP_gwp57,TS_HIGH_TEMP,57.39,,,,47.139384,19.005789,9.47738,7.171527,1.583141,0.667267,1.230228
104_IS_Techno_TS_HIGH_TEMP_gwp58,TS_HIGH_TEMP,57.89,,,,43.205371,17.157474,9.349172,6.645078,1.560535,1.580309,1.08428
105_IS_Techno_TS_HIGH_TEMP_gwp58,TS_HIGH_TEMP,58.39,,,,41.621723,17.938088,9.511532,8.115384,1.338923,1.115976,1.050392
106_IS_Techno_TS_HIGH_TEMP_gwp59,TS_HIGH_TEMP,58.89,,,,40.75187,17.09916,9.589016,6.498248,1.524102,1.366937,1.22356
107_IS_Techno_TS_HIGH_TEMP_gwp59,TS_HIGH_TEMP,59.39,,,,40.654324,18.009125,9.419709,7.600721,8.143453,0.689823,0.731263
108_IS_Techno_TS_HIGH_TEMP_gwp60,TS_HIGH_TEMP,59.89,,,,40.41302,18.089534,9.60747,6.548121,1.417021,0.818881,1.051779
109_IS_Techno_TS_HIGH_TEMP_gwp60,TS_HIGH_TEMP,60.39,,,,39.664122,17.357046,9.733541,6.39096,1.459672,1.325966,1.024687
110_IS_Techno_TS_HIGH_TEMP_gwp61,TS_HIGH_TEMP,60.89,,,,39.227111,17.187055,8.950852,6.420107,1.246833,1.393608,0.957799
111_IS_Techno_TS_HIGH_TEMP_gwp61,TS_HIGH_TEMP,61.39,,,,38.983771,16.617952,9.126541,6.549024,1.385672,1.448544,1.266389
112_IS_Techno_TS_HIGH_TEMP_gwp62,TS_HIGH_TEMP,61.89,,,,38.641419,16.8239,9.039615,6.483939,1.141003,0.644071,1.12895
113_IS_Techno_TS_HIGH_TEMP_gwp62,TS_HIGH_TEMP,62.39,,,,38.513002,17.711334,8.428734,7.655657,0.998377,0.807365,1.117678
114_IS_Techno_TS_HIGH_TEMP_gwp63,TS_HIGH_TEMP,62.89,,,,38.017103,17.755331,9.218225,6.627052,2.004075,1.570354,1.17688
115_IS_Techno_TS_HIGH_TEMP_gwp63,TS_HIGH_TEMP,63.39,,,,37.740954,17.323548,8.754975,6.866601,1.09566,0.532118,0.982801
116_IS_Techno_TS_HIGH_TEMP_gwp64,TS_HIGH_TEMP,63.89,,,,35.481879,17.027109,8.913084,6.358155,1.555439,1.155266,1.079027
117_IS_Techno_TS_HIGH_TEMP_gwp64,TS_HIGH_TEMP,64.39,,,,34.567718,16.621242,9.508917,6.614522,1.046777,0.823843,1.106763
118_IS_Techno_TS_HIGH_TEMP_gwp65,TS_HIGH_TEMP,64.89,,,,32.415398,19.228923,12.039127,8.328915,1.666867,0.901375,0.996832
119_IS_Techno_TS_HIGH_TEMP_gwp65,TS_HIGH_TEMP,65.39,,,,31.243773,19.823041,9.463934,6.797854,1.345119,0.863632,0.558087
120_IS_Techno_TS_HIGH_TEMP_gwp66,TS_HIGH_TEMP,65.89,,,,31.090781,17.554677,9.03722,6.553838,1.082655,0.778517,1.079018
121_IS_Techno_TS_HIGH_TEMP_gwp66,TS_HIGH_TEMP,66.39,,,,30.954462,18.686145,11.408517,7.127985,1.24969,0.862996,1.146946
122_IS_Techno_TS_HIGH_TEMP_gwp67,TS_HIGH_TEMP,66.89,,,,30.850178,20.065311,10.149036,7.41878,1.684618,1.053912,0.98591
123_IS_Techno_TS_HIGH_TEMP_gwp67,TS_HIGH_TEMP,67.39,,,,29.768432,17.374522,9.164569,7.402176,1.704775,0.785082,1.101055
124_IS_Techno_TS_HIGH_TEMP_gwp68,TS_HIGH_TEMP,67.89,,,,29.276855,18.172845,10.199163,8.395572,2.129213,1.468003,1.128196
125_IS_Techno_TS_HIGH_TEMP_gwp68,TS_HIGH_TEMP,68.39,,,,28.903463,17.09284,9.048584,6.564878,1.307348,1.804937,1.095113
126_IS_Techno_TS_HIGH_TEMP_gwp69,TS_HIGH_TEMP,68.89,,,,26.554069,19.86154,10.729235,7.86078,1.673502,1.703875,1.112167
127_IS_Techno_TS_HIGH_TEMP_gwp69,TS_HIGH_TEMP,69.39,,,,23.37958,17.054139,8.673653,7.358409,1.245559,0.870952,1.263311
128_IS_Techno_TS_HIGH_TEMP_gwp70,TS_HIGH_TEMP,69.89,,,,16.946282,16.811112,9.243986,7.148606,1.970913,0.552609,1.377309
129_IS_Techno_TS_HIGH_TEMP_gwp70,TS_HIGH_TEMP,70.39,,,,15.652629,16.821272,8.432538,6.754651,0.919202,0.673494,1.151043
130_IS_Techno_TS_HIGH_TEMP_gwp71,TS_HIGH_TEMP,70.89,,,,13.797611,18.453679,9.121319,6.672735,1.530298,1.009672,1.121296
131_IS_Techno_TS_HIGH_TEMP_gwp71,TS_HIGH_TEMP,71.39,,,,13.36677,17.318315,10.275634,6.138111,1.156676,1.512967,1.077322
132_IS_Techno_TS_HIGH_TEMP_gwp72,TS_HIGH_TEMP,71.89,,,,13.303761,17.018207,8.902299,7.084127,1.355107,0.785551,1.176841
133_IS_Techno_TS_HIGH_TEMP_gwp72,TS_HIGH_TEMP,72.39,,,,13.272818,17.245193,9.017169,6.334331,1.377076,1.673007,1.348556
134_IS_Techno_TS_HIGH_TEMP_gwp73,TS_HIGH_TEMP,72.89,,,,12.750209,18.348681,8.893457,6.393012,1.318397,1.187322,1.23732
135_IS_Techno_TS_HIGH_TEMP_gwp73,TS_HIGH_TEMP,73.39,,,,11.965335,17.426604,8.849301,7.029373,1.051513,1.318534,1.142704
136_IS_Techno_TS_HIGH_TEMP_gwp74,TS_HIGH_TEMP,73.89,,,,10.696631,17.58898,9.2457,6.150288,1.523634,0.932029,1.413291
137_IS_Techno_TS_HIGH_TEMP_gwp74,TS_HIGH_TEMP,74.39,,,,9.230522,22.22386,8.624191,7.526507,0.864506,0.446868,1.197239
138_IS_Techno_TS_HIGH_TEMP_gwp75,TS_HIGH_TEMP,74.89,,,,9.048855,17.348659,8.672477,6.940663,1.788505,1.511785,1.260101
139_IS_Techno_TS_HIGH_TEMP_gwp75,TS_HIGH_TEMP,75.39,,,,7.999893,16.619338,9.5459,6.224369,1.296177,1.086219,1.193779
140_IS_Techno_TS_HIGH_TEMP_gwp76,TS_HIGH_TEMP,75.89,,,,7.754414,17.550029,8.73453,6.263387,1.846969,1.169672,1.237873
141_IS_Techno_TS_HIGH_TEMP_gwp76,TS_HIGH_TEMP,76.39,,,,7.30406,17.36356,9.201425,6.429166,2.438426,1.102656,1.088368
142_IS_Techno_TS_HIGH_TEMP_gwp77,TS_HIGH_TEMP,76.89,,,,7.065467,17.773104,8.815648,7.825134,2.539449,1.223436,1.135632
143_IS_Techno_TS_HIGH_TEMP_gwp77,TS_HIGH_TEMP,77.39,,,,6.65259,16.568186,11.909155,8.319913,1.403595,0.398175,1.048771
144_IS_Techno_TS_HIGH_TEMP_gwp78,TS_HIGH_TEMP,77.89,,,,5.984117,16.846237,8.781405,6.404233,1.044481,0.932318,1.087564
145_IS_Techno_TS_HIGH_TEMP_gwp78,TS_HIGH_TEMP,78.39,,,,5.755116,16.556192,8.695949,6.22292,2.183977,0.57838,1.433611
146_IS_Techno_TS_HIGH_TEMP_gwp79,TS_HIGH_TEMP,78.89,,,,5.686573,17.794944,9.222918,6.727822,1.752097,0.717423,1.408515
147_IS_Techno_TS_HIGH_TEMP_gwp79,TS_HIGH_TEMP,79.39,,,,5.675345,16.680876,8.628158,6.279774,1.503203,1.334413,1.152363
148_IS_Techno_TS_HIGH_TEMP_gwp80,TS_HIGH_TEMP,79.89,,,,5.063675,17.481421,8.687997,11.553612,1.446534,1.374824,1.221382
149_IS_Techno_TS_HIGH_TEMP_gwp80,TS_HIGH_TEMP,80.39,,,,5.062448,16.552352,8.903024,6.314699,2.118431,0.588816,1.106528
150_IS_Techno_TS_HIGH_TEMP_gwp81,TS_HIGH_TEMP,80.89,,,,4.808175,17.211282,8.403004,7.189551,1.667103,1.541854,1.102151
151_IS_Techno_TS_HIGH_TEMP_gwp81,TS_HIGH_TEMP,81.39,,,,4.481282,17.020466,8.771198,6.144826,0.940588,1.194741,1.046204
152_IS_Techno_TS_HIGH_TEMP_gwp82,TS_HIGH_TEMP,81.89,,,,4.190328,17.464319,8.460247,6.584318,1.774931,1.102996,1.235808
153_IS_Techno_TS_HIGH_TEMP_gwp82,TS_HIGH_TEMP,82.39,,,,4.124152,16.536875,9.490055,6.179007,1.149104,0.768583,0.865182
154_IS_Techno_TS_HIGH_TEMP_gwp83,TS_HIGH_TEMP,82.89,,,,4.071681,17.42782,9.032743,11.545164,1.659964,1.832639,1.230303
155_IS_Techno_TS_HIGH_TEMP_gwp83,TS_HIGH_TEMP,83.39,,,,3.961291,18.795586,9.154207,6.69791,1.551121,1.096272,1.118181
156_IS_Techno_TS_HIGH_TEMP_gwp84,TS_HIGH_TEMP,83.89,,,,3.730961,17.704225,9.036417,13.344877,1.394988,1.183712,1.533648
157_IS_Techno_TS_HIGH_TEMP_gwp84,TS_HIGH_TEMP,84.39,,,,3.613785,17.462604,8.824041,7.957274,1.323858,0.638804,1.181549
158_IS_Techno_TS_HIGH_TEMP_gwp85,TS_HIGH_TEMP,84.89,,,,3.5026,17.272298,9.075433,6.192388,1.301924,0.888618,1.297589
159_IS_Techno_TS_HIGH_TEMP_gwp85,TS_HIGH_TEMP,85.39,,,,3.284891,18.766242,8.595091,6.542683,2.394926,1.229425,1.035893
160_IS_Techno_TS_HIGH_TEMP_gwp86,TS_HIGH_TEMP,85.89,,,,2.859727,17.826965,8.747844,6.221804,1.584491,0.708223,1.209658
161_IS_Techno_TS_HIGH_TEMP_gwp86,TS_HIGH_TEMP,86.39,,,,2.323582,19.433226,8.570774,6.253718,2.297456,0.51741,1.029527
162_IS_Techno_TS_HIGH_TEMP_gwp87,TS_HIGH_TEMP,86.89,,,,1.716357,16.54199,8.937293,6.428205,1.080328,3.680165,0.811622
163_IS_Techno_TS_HIGH_TEMP_gwp87,TS_HIGH_TEMP,87.39,,,,1.711782,18.694761,8.841233,6.611702,3.204878,1.718163,1.028846
164_IS_Techno_TS_HIGH_TEMP_gwp88,TS_HIGH_TEMP,87.89,,,,1.377666,17.272023,9.395188,6.364403,1.135732,0.73262,1.051825
165_IS_Techno_TS_HIGH_TEMP_gwp88,TS_HIGH_TEMP,88.39,,,,1.348176,16.739428,9.191127,6.141283,3.59687,1.262121,1.311381
166_IS_Techno_TS_HIGH_TEMP_gwp89,TS_HIGH_TEMP,88.89,,,,1.347228,19.118378,8.53612,6.173977,2.169496,5.911916,0.802926
167_IS_Techno_TS_HIGH_TEMP_gwp89,TS_HIGH_TEMP,89.39,,,,1.347146,16.973522,8.730586,6.398111,1.549602,1.367197,1.184249
168_IS_Techno_TS_HIGH_TEMP_gwp90,TS_HIGH_TEMP,89.89,,,,1.345009,16.570073,8.682293,6.182574,2.401075,2.3208,0.901334
169_IS_Techno_TS_HIGH_TEMP_gwp90,TS_HIGH_TEMP,90.39,,,,1.252681,17.841555,8.518147,6.178678,1.620841,2.597117,1.091388
170_IS_Techno_TS_HIGH_TEMP_gwp91,TS_HIGH_TEMP,90.89,,,,1.076601,19.385884,8.937929,6.354856,2.055616,2.364769,0.737515
171_IS_Techno_TS_HIGH_TEMP_gwp91,TS_HIGH_TEMP,91.39,,,,0.963708,22.930897,8.612474,6.480037,1.331652,1.907495,1.015105
