folder,resource_modified,gwp_op_modified,gwp_op_GAS_RE,gwp_op_H2_RE,gwp_op_METHANOL_RE,gwp_op_AMMONIA_RE,f_BATT_LI,f_BEV_BATT,f_PHEV_BATT,f_PHS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DEC_THHP_GAS,f_TS_DEC_COGEN_GAS,f_TS_DEC_COGEN_OIL,f_TS_DEC_ADVCOGEN_GAS,f_TS_DEC_ADVCOGEN_H2,f_TS_DEC_BOILER_GAS,f_TS_DEC_BOILER_WOOD,f_TS_DEC_BOILER_OIL,f_TS_DHN_DAILY,f_TS_DHN_SEASONAL,f_TS_HIGH_TEMP,f_GAS_STORAGE,f_H2_STORAGE,f_DIESEL_STORAGE,f_GASOLINE_STORAGE,f_LFO_STORAGE,f_AMMONIA_STORAGE,f_METHANOL_STORAGE,f_CO2_STORAGE
GAS_RE_0.09,METHANOL_RE,0.11,0.08,0.08,0.11,0.05,3e-06,3e-06,2e-06,5.0,3.6e-05,63.095974,3.6e-05,3.6e-05,3.6e-05,3.6e-05,3.6e-05,3.6e-05,3.6e-05,3.6e-05,1.5e-05,599.215011,60.045047,0.001116,0.00025,0.386127,0.392537,0.381843,0.38322,5895.911704,420.768259
GAS_RE_0.10,METHANOL_RE,0.11,0.09,0.09,0.11,0.06,10.040076,8e-06,6e-06,6.499934,0.000129,62.555177,0.000129,0.000129,0.000129,0.000128,0.000128,0.000129,0.000129,0.000129,4e-05,1019.383186,68.443955,0.004372,0.000928,1.659852,1.67214,1.661635,1.659264,1.661752,3.936857
H2_RE_0.01,GAS_RE,0.01,0.01,0.0,0.0,0.01,1e-06,1e-06,0.0,5.0,9e-06,23.09332,9e-06,9e-06,9e-06,8e-06,1.7e-05,9e-06,9e-06,9e-06,238.902859,1776.758369,2.99773,0.000276,0.000149,0.092394,0.093332,0.094267,6322.420511,0.093321,0.064732
H2_RE_0.02,GAS_RE,0.02,0.02,0.01,0.0,0.01,1e-06,1e-06,1e-06,5.000002,1.9e-05,23.09332,1.9e-05,1.9e-05,1.9e-05,1.9e-05,2e-05,1.9e-05,1.9e-05,1.9e-05,8e-06,583.175063,3e-05,0.000552,0.000144,0.194861,0.195761,0.200359,876.059326,0.196726,10.222831
H2_RE_0.03,GAS_RE,0.03,0.03,0.02,0.0,0.02,3e-06,3e-06,2e-06,5.0,4.8e-05,23.093318,4.8e-05,4.8e-05,4.8e-05,4.7e-05,5.2e-05,4.8e-05,4.8e-05,4.8e-05,2.1e-05,1300.620942,0.45254,0.001559,0.000431,0.395964,0.398687,0.40622,835.988598,0.399179,10.425539
H2_RE_0.04,GAS_RE,0.04,0.04,0.03,0.0,0.03,3e-06,3e-06,2e-06,6.496448,4.3e-05,26.529955,4.3e-05,4.3e-05,4.3e-05,4.2e-05,1.844316,4.3e-05,4.3e-05,4.3e-05,1.8e-05,1519.483538,0.801082,0.00122,0.00042,0.368398,0.370261,0.377791,789.920357,0.371142,30.587763
H2_RE_0.05,GAS_RE,0.05,0.05,0.04,0.0,0.03,1e-06,1e-06,1e-06,5.000004,2e-05,31.414071,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,2e-05,7e-06,425.727015,5e-05,0.000564,0.00015,0.225999,0.228146,0.22882,73.598866,0.227244,3.062864
H2_RE_0.06,GAS_RE,0.06,0.06,0.05,0.0,0.04,6e-06,7e-06,4e-06,5.000009,9e-05,90.540699,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,3.6e-05,594.994635,1.418687,0.002786,0.000752,0.729837,0.732557,0.742998,0.73582,0.733547,14.527442
H2_RE_0.07,GAS_RE,0.08,0.08,0.06,0.0,0.05,3.1e-05,1.7e-05,1.1e-05,6.499889,0.000241,85.26262,0.000242,0.000241,0.000241,0.00024,0.000241,0.000242,0.000242,0.000242,8e-05,644.644638,35.121987,0.006216,1.695413,1.742537,1.754592,1.79739,1.761811,1.759108,22.824838
H2_RE_0.08,METHANOL_RE,0.1,0.08,0.07,0.1,0.05,1.1e-05,8e-06,5e-06,6.499365,0.000129,62.757059,0.00013,0.000129,0.000129,0.000129,0.000129,0.00013,0.00013,0.000129,4.3e-05,569.339681,74.690291,0.003979,0.000889,1.54317,1.570444,1.536538,1.534067,1.540119,97.373875
H2_RE_0.09,METHANOL_RE,0.11,0.09,0.08,0.11,0.06,19.31239,1.2e-05,9e-06,6.499737,0.000243,62.321136,0.000243,0.000243,0.000243,0.000242,0.000242,0.000243,0.000244,0.000243,8.2e-05,931.105694,65.922163,0.006483,0.001456,2.633711,2.7424,2.647652,2.629791,3433.020272,221.714313
METHANOL_RE_0.01,GAS_RE,0.08,0.08,0.07,0.0,0.05,1e-06,1e-06,1e-06,6.449288,1.7e-05,62.170263,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,5e-06,625.744437,74.754141,0.000524,0.000124,0.241304,0.248393,0.237143,0.238881,0.240161,0.54918
METHANOL_RE_0.02,GAS_RE,0.08,0.08,0.07,0.01,0.05,8e-06,6e-06,5e-06,6.409121,0.000116,62.140155,0.000117,0.000115,0.000115,0.000115,0.000115,0.000116,0.000117,0.000116,2.8e-05,625.976638,74.763176,0.002456,0.00062,1.232801,1.253763,1.214308,1.220422,1.230448,3.697499
METHANOL_RE_0.03,GAS_RE,0.08,0.08,0.07,0.02,0.05,5e-06,4e-06,3e-06,6.449829,7.1e-05,62.170372,7.2e-05,7.1e-05,7.1e-05,7.1e-05,7.1e-05,7.2e-05,7.2e-05,7.2e-05,1.8e-05,625.722615,74.753381,0.001705,0.000416,0.705261,0.711072,0.705328,0.70295,0.704901,1.464115
METHANOL_RE_0.04,GAS_RE,0.08,0.08,0.07,0.03,0.05,7e-06,5e-06,4e-06,6.443369,9.8e-05,62.166959,9.9e-05,9.8e-05,9.8e-05,9.8e-05,9.8e-05,9.9e-05,9.9e-05,9.8e-05,2.5e-05,625.698798,74.756311,0.002521,0.000611,1.323738,1.340132,1.327037,1.32139,1.32767,2.799835
METHANOL_RE_0.05,GAS_RE,0.08,0.08,0.07,0.04,0.05,3e-06,3e-06,2e-06,6.433701,4.2e-05,62.157488,4.3e-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,4.3e-05,4.3e-05,4.3e-05,1.5e-05,625.84861,74.75795,0.001174,0.000272,0.381859,0.386947,0.377704,0.379597,0.381018,1.105498
METHANOL_RE_0.06,GAS_RE,0.08,0.08,0.07,0.05,0.05,4e-06,3e-06,2e-06,6.43937,5.8e-05,62.163598,5.8e-05,5.8e-05,5.8e-05,5.8e-05,5.8e-05,5.8e-05,5.8e-05,5.8e-05,1.6e-05,625.815955,74.75732,0.001645,0.00038,0.766724,0.777994,0.751969,0.756999,0.76189,2.153521
METHANOL_RE_0.07,GAS_RE,0.08,0.08,0.07,0.06,0.05,1.1e-05,1.2e-05,6e-06,6.452153,0.000142,62.173302,0.000142,0.000142,0.000142,0.000141,0.000141,0.000142,0.000142,0.000142,6.4e-05,626.146304,74.753476,0.004828,0.001002,1.163761,1.182458,1.163085,1.161911,1.16563,2.622848
METHANOL_RE_0.08,GAS_RE,0.08,0.08,0.07,0.07,0.05,1.1e-05,9e-06,6e-06,6.448948,0.000169,62.171636,0.00017,0.00017,0.000169,0.000169,0.000169,0.00017,0.00017,0.000169,7.1e-05,625.786621,74.75503,0.005342,0.00128,1.697401,1.721505,1.714371,1.700122,1.707856,3.044566
METHANOL_RE_0.09,GAS_RE,0.08,0.08,0.07,0.08,0.05,1.6e-05,1.1e-05,8e-06,6.451698,0.000222,62.170879,0.000223,0.000222,0.000222,0.000222,0.000223,0.000223,0.000223,0.000223,6.6e-05,625.703287,74.752948,0.006735,0.001618,3.190921,3.20972,3.204598,3.184806,3.200038,6.62461
METHANOL_RE_0.10,METHANOL_RE,0.09,0.08,0.07,0.09,0.05,1.7e-05,1.3e-05,9e-06,6.491447,0.000212,62.161125,0.000212,0.000212,0.000211,0.000211,0.000211,0.000212,0.000212,0.000212,6.6e-05,609.228632,72.18281,0.006038,0.001409,2.354747,2.404514,2.309508,2.326883,2.340839,256.100544
METHANOL_RE_0.11,METHANOL_RE,0.1,0.08,0.08,0.1,0.05,1.9e-05,1.5e-05,1.1e-05,6.386287,0.000254,62.142329,0.000255,0.000254,0.000253,0.000253,0.000253,0.000255,0.000255,0.000254,6.5e-05,625.863509,74.76241,0.005801,0.001519,2.127653,2.142359,2.141177,2.125333,2.128251,4.279827
