folder;techno_modifiee;gwp_constr;f_H2_STORAGE;f_METHANOL_STORAGE;f_TRUCK_ELEC;f_BOAT_FREIGHT_DIESEL;f_TRUCK_FUEL_CELL;f_TRUCK_DIESEL;f_TRAIN_FREIGHT;f_BOAT_FREIGHT_METHANOL;f_TRUCK_METHANOL;f_TRUCK_NG;f_BOAT_FREIGHT_NG
106_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0693000000000002;;690.201889;51.556515;28.657734;26.123268;0.210925;7.73042;2.511775;11.010069;4.781007;1.714934
107_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0699000000000002;;690.712422;51.481235;28.718884;3.785754;8.657122;7.730421;3.997377;1.852401;2.405383;1.887992
108_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0705000000000002;;690.34455;52.581034;32.894339;45.821392;2.188011;7.730421;1.549128;0.139182;0.435318;1.520914
109_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0711000000000002;;690.181871;51.50682;35.050959;0.237079;2.621603;7.730421;1.525402;2.91708;5.747548;1.548234
110_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0717000000000002;;689.735168;52.041586;34.154094;0.229183;5.736606;7.730421;1.715198;0.315348;0.147461;1.539307
111_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0723000000000002;;689.78463;51.487789;35.986529;45.879422;12.528176;7.730421;10.770939;13.840357;6.606885;1.313606
112_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0729000000000002;;689.183197;51.594769;34.830817;32.446899;7.524062;7.730421;4.758781;0.188284;0.289653;1.781266
113_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0735000000000002;;688.875252;51.523054;31.656573;26.240913;5.795845;7.730421;3.295144;10.030599;0.519785;1.491762
114_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0741000000000002;;689.09514;58.125033;31.672555;73.055282;0.177058;7.730419;7.818261;0.210617;0.149547;1.661592
115_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0747000000000002;;689.111453;51.923797;37.529484;10.016482;9.01834;7.730421;5.55154;0.204945;0.75949;1.553925
116_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0753000000000002;;688.954647;52.575463;39.074684;18.183231;5.244068;7.730421;7.30009;3.120682;5.712023;1.417305
117_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0759000000000002;;688.899282;51.475324;28.51906;28.697889;12.040852;7.730421;11.783872;1.53897;7.507376;2.803608
118_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0765000000000002;;688.949466;51.511881;36.872003;13.006875;14.457817;7.73042;1.57965;2.04282;0.233439;1.60677
119_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0771000000000002;;688.923184;51.491922;28.414115;9.921752;1.528893;7.730421;1.915874;0.361972;0.802722;1.228688
120_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0777000000000002;;688.965048;51.513199;33.615636;24.351922;10.529585;7.730421;3.669683;1.501446;1.778668;1.846214
121_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0783000000000002;;688.907731;51.597082;35.605649;0.067947;1.828226;7.730421;3.283682;0.456686;0.201793;2.016898
122_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0789000000000002;;688.960351;51.484918;28.538619;17.430363;2.969423;7.730421;1.915993;0.525054;3.688518;1.876379
123_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0795000000000002;;688.988604;51.629173;29.984341;19.740175;7.577682;7.73042;2.077875;1.853701;6.770017;2.333399
124_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0801000000000002;;688.894837;51.49998;31.304024;10.261178;22.406987;7.730421;1.955076;0.650968;11.082411;1.86453
125_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0807000000000002;;688.870506;51.551797;37.539298;20.900568;12.737941;7.73042;3.673185;3.29393;0.431069;1.570983
126_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0813000000000002;;688.875852;51.500983;30.238792;15.154708;8.852494;7.730421;1.928219;2.37576;0.642652;2.084866
127_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0819000000000002;;688.839135;52.01783;37.011821;7.064258;18.906393;7.73042;1.47076;0.223713;0.124606;1.261048
128_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0825000000000002;;688.901229;51.476878;28.397196;59.689605;22.928848;7.73042;2.002121;3.348042;0.585681;1.507445
129_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0831000000000002;;688.747669;51.547199;28.699426;20.122618;12.683854;7.730421;6.115013;0.190551;0.26278;1.218677
130_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0837000000000002;;688.838376;51.654545;31.680372;9.203625;19.440644;7.730421;1.743637;8.710527;7.054059;1.870164
131_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0843000000000002;;688.901877;52.430053;33.5824;28.274968;12.666738;7.730421;5.609169;2.947632;4.758424;1.556938
132_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0849000000000002;;688.900218;56.541795;32.410391;0.131441;0.296871;7.730421;3.776385;2.355748;6.020069;2.453733
133_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0855000000000002;;688.854609;51.479687;32.566827;6.316239;1.259452;7.730421;1.604192;0.708981;0.127927;1.097115
134_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0861000000000002;;688.907549;51.543162;32.348492;34.402587;1.157732;7.730421;1.913344;1.322165;3.52136;1.800994
135_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0867000000000002;;688.868213;53.876045;29.136614;9.43966;0.818351;7.73042;8.292617;0.56812;0.385268;2.249721
136_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0873000000000003;;688.550782;58.720801;38.953259;2.745672;6.693904;7.730421;5.676888;0.210456;0.234022;1.190149
137_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0879000000000003;;688.914329;51.497043;31.97598;35.3104;47.612031;7.730421;1.679355;9.823624;4.311234;1.653024
138_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0885000000000003;;688.444501;51.507006;37.204777;10.533594;20.946896;7.730421;1.06205;12.333011;1.69013;1.386458
139_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0891000000000003;;688.829259;51.478514;28.417651;1.591573;2.230344;7.730421;1.255753;3.039464;1.427626;1.83833
140_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0897000000000003;;688.868502;51.511435;39.085058;0.174283;4.780312;7.730421;11.265037;8.452415;0.263146;1.553497
141_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0903000000000003;;688.581057;51.554628;28.743949;1.019045;0.457481;7.730421;3.582323;0.359313;2.613632;2.684557
142_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0909000000000003;;688.723123;58.617442;36.332935;0.269335;0.153979;7.730421;5.237798;9.53049;11.963458;1.86184
143_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0915000000000003;;688.234956;54.452905;41.636773;12.177864;1.240291;7.730421;10.51164;0.880156;0.352187;1.460882
144_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0921000000000003;;688.635026;51.816399;32.698236;4.106656;0.260742;7.730421;8.59404;8.030339;2.139028;1.706247
145_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0927000000000003;;688.124596;51.478448;31.95954;8.086175;0.235687;7.730421;2.562844;0.23461;5.854163;2.48094
146_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0933000000000003;;688.383352;53.168807;32.27745;7.231336;31.58428;7.73042;1.915802;0.857845;1.786645;1.55396
147_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0939000000000003;;687.631092;53.368069;28.593095;8.076988;37.430684;7.73042;1.843249;1.972348;5.131346;1.134028
148_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0945000000000003;;687.902114;55.461564;36.754887;15.523712;32.800352;7.73042;2.044428;1.058619;2.272167;0.803361
149_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0951000000000003;;688.07635;57.286697;28.544626;2.757323;11.742018;7.73042;19.193811;3.700893;1.730296;4.960002
150_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0957000000000003;;687.60789;55.971372;29.412386;14.118539;0.274283;7.73042;5.060408;4.259622;0.090721;1.729561
151_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0963000000000003;;688.043222;51.52156;28.570224;5.088032;12.486459;7.730421;1.14858;7.054008;3.709121;1.214844
152_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0969000000000003;;687.397703;51.526954;35.791896;0.599028;3.928125;7.730421;6.993003;6.777553;0.242337;1.675524
153_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0975000000000003;;685.325214;52.569219;29.065559;31.716931;1.574547;7.730421;6.864102;0.762956;1.407772;1.922683
154_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0981000000000003;;687.154945;52.150387;38.658871;36.996177;20.283999;7.73042;1.20295;0.262339;0.11574;1.149247
155_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0987000000000003;;687.573759;51.559577;29.509881;16.740097;15.11068;7.730421;1.554356;0.695687;0.472701;1.328182
156_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0993000000000003;;686.246044;51.478634;33.112457;9.646395;7.235298;7.730421;2.044635;2.421298;8.878742;1.791336
157_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.0999000000000003;;687.418679;51.540986;35.105085;0.37869;8.894971;7.730421;6.456951;0.361753;2.266311;1.646148
158_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1005000000000003;;685.190857;55.41926;28.621532;50.497955;0.189424;7.730421;12.115671;0.114507;0.172023;0.967522
159_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1011000000000003;;685.30753;51.969884;28.422164;11.929046;7.552052;7.730421;1.926626;7.923792;2.724519;1.12993
160_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1017000000000003;;684.960515;51.487922;32.320126;67.365435;8.343536;7.730421;4.626491;0.270737;0.300121;1.824478
161_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1023000000000003;;684.715235;51.4779;28.626429;9.64053;0.570271;7.730421;22.25605;0.424406;0.582245;1.514505
162_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1029000000000003;;685.717789;63.135873;28.565874;10.163576;2.4763;7.730421;1.740231;12.059819;2.743775;1.403046
163_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1035000000000003;;685.00032;51.88712;34.651185;13.002601;15.703399;7.730421;3.969537;0.367679;0.728929;1.397077
164_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1041000000000003;;683.222376;51.630988;29.047315;0.441701;0.365857;7.730421;15.669615;0.332832;0.349906;1.691397
165_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1047000000000003;;685.719067;51.833327;32.15953;0.313247;5.410682;7.730421;1.935581;0.441218;0.171922;1.705993
166_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1053000000000004;;684.990857;54.054359;34.132218;1.433251;4.549927;7.730421;4.147221;4.595307;5.831065;2.058975
167_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1059000000000004;;685.208854;51.621923;33.045757;70.565132;10.786125;7.730421;1.403759;5.207283;0.710225;1.312477
168_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1065000000000004;;685.721277;54.252138;30.678814;0.883619;0.554352;7.73042;7.589913;3.815057;0.183072;2.372334
169_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1071000000000004;;685.044505;60.34852;28.592773;35.79793;1.723605;7.730421;1.658442;7.215874;0.110973;1.748139
170_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1077000000000004;;683.349314;53.191058;35.859558;11.191636;11.435267;7.730421;1.504925;3.436976;1.834452;1.36649
171_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1083000000000004;;684.988301;59.234908;29.965469;24.710779;0.202043;7.73042;8.603292;0.316093;0.180149;1.489617
172_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1089000000000004;;685.718065;57.389087;28.931736;8.88337;20.841624;7.730421;10.183786;2.501993;0.262519;0.915603
173_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1095000000000004;;684.990272;54.378445;35.841985;12.127851;30.946347;7.73042;12.556055;6.748164;1.533766;1.281098
174_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1101000000000004;;681.860673;56.292317;28.416647;4.341002;21.088694;7.73042;5.908668;2.975049;4.574914;1.583248
175_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1107000000000004;;684.89322;51.475637;37.816385;22.04459;0.640899;7.730421;1.427071;2.042116;0.623694;1.064431
176_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1113000000000004;;682.113287;57.70372;34.323742;0.291422;7.008122;7.730421;5.714525;0.654614;0.384865;1.959684
177_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1119000000000004;;681.419558;54.568129;34.25291;12.04607;24.747908;7.73042;1.954944;0.772444;1.970081;1.024659
178_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1125000000000004;;680.76627;51.526413;34.089791;41.146712;13.942724;7.730419;7.855052;0.153889;0.121617;1.268456
179_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1131000000000004;;682.601404;51.532369;37.613437;31.286434;25.375063;7.73042;1.197155;14.650047;2.483233;0.941665
180_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1137000000000004;;682.60416;60.354703;31.938292;55.751442;18.126597;7.730421;2.250241;3.678175;0.160215;1.49144
181_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1143000000000004;;682.631894;51.526478;31.334112;26.734847;42.973312;7.73042;3.876172;2.626482;0.690135;1.013778
182_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1149000000000004;;680.560322;64.332716;36.409958;0.52625;3.771357;7.730421;7.162629;13.581825;1.763101;1.632539
183_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1155000000000004;;680.678545;51.475238;38.117632;21.85725;5.996991;7.730421;1.314285;0.632145;2.043958;0.926265
184_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1161000000000004;;681.242851;51.484253;36.11951;0.267324;3.42584;7.730421;3.357539;5.863957;0.248722;1.576948
185_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1167000000000004;;680.657673;62.560614;28.448609;0.266187;13.402121;7.730421;4.835255;0.232221;0.195505;1.296949
186_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1173000000000004;;680.691993;51.477;34.187071;25.539885;6.648789;7.730421;1.489194;2.92416;0.102918;1.56133
187_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1179000000000004;;680.56006;57.002712;28.659372;12.766243;2.41877;7.730421;2.022815;7.678174;2.097136;1.774468
188_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1185000000000004;;680.606881;51.481647;31.189617;7.420057;1.937715;7.730421;2.256395;1.423077;4.157753;1.574715
189_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1191000000000004;;680.674991;51.476859;32.179661;49.440285;5.152211;7.730421;1.586109;2.467907;0.149077;1.160112
190_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1197000000000004;;680.674924;51.485681;33.658741;1.852503;46.776302;7.73042;1.375098;4.084578;4.50003;1.470012
191_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1203000000000004;;680.678578;51.484594;28.416672;27.196599;34.292606;7.730421;1.427302;5.801556;2.46035;1.579945
192_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1209000000000004;;680.647311;62.837408;28.528356;17.895948;2.954526;7.730421;1.631932;9.535189;1.322673;1.434089
193_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1215000000000004;;680.660877;51.523392;31.270906;0.582381;26.693504;7.730421;3.109721;0.144289;0.224374;1.627957
194_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1221000000000004;;680.651975;51.484797;28.953395;21.402262;0.490302;7.73042;10.262045;1.954264;0.322218;1.794679
195_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1227000000000004;;680.660454;57.347134;28.524637;13.722231;4.479962;7.730421;1.933672;9.258387;2.672857;1.629534
196_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1233000000000004;;680.607905;56.754544;30.153492;17.813634;31.087606;7.73042;1.155804;4.376288;4.68745;1.069783
197_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1239000000000005;;680.590925;51.486803;32.76736;204.657345;9.860113;7.730421;2.370527;0.438505;0.09003;1.048104
198_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1245000000000005;;680.437467;51.495036;28.889326;6.621717;3.667713;7.730421;1.698443;6.392542;3.349432;0.983321
199_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1251000000000005;;680.289896;52.788893;41.858215;2.755956;1.045326;7.73042;9.990339;0.19884;0.145837;1.976059
200_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1257000000000004;;680.684913;51.486332;33.424132;0.111054;0.138951;7.730421;1.797324;0.580741;3.531473;1.794851
201_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1263000000000004;;680.687736;51.53985;32.801863;1.871455;28.665135;7.73042;1.958631;3.991887;4.818061;1.96508
202_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1269000000000004;;680.690777;51.534114;28.459473;70.422862;10.060406;7.730421;22.522157;0.722981;0.221453;1.427123
203_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1275000000000004;;680.671287;56.178659;28.282684;23.823113;6.064746;7.730421;1.235279;16.519885;1.342755;1.213467
204_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1281000000000004;;680.355983;51.486421;36.154746;2.577093;1.236997;7.730421;17.320201;0.429641;2.962928;0.849118
205_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1287000000000004;;680.337767;52.023343;30.735548;123.910062;4.295507;7.730421;1.349036;2.498812;3.311392;1.526673
206_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1293000000000004;;679.568639;51.479688;28.514968;5.245901;1.928661;7.730421;6.471559;0.188648;3.425791;1.899571
207_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1299000000000004;;680.193603;57.347028;28.973891;46.131411;0.163235;7.73042;7.459522;0.091518;0.197238;1.480354
208_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1305000000000004;;680.335999;59.420068;28.571598;30.997691;1.118487;7.730421;1.825892;5.758071;0.157228;1.84565
209_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1311000000000003;;679.557387;52.697664;32.254465;16.401979;3.596436;7.73042;2.310941;0.26042;1.334768;2.142979
210_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1317000000000003;;680.047495;53.841107;36.041733;9.724568;39.905045;7.73042;5.746508;2.225969;0.447287;6.73383
211_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1323000000000003;;679.602184;51.510666;30.152525;57.589323;18.813382;7.730421;6.490741;7.640031;3.621303;1.01351
212_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1329000000000003;;679.494021;51.483581;28.537764;16.210222;2.59871;7.73042;3.360117;0.382741;3.269903;1.806093
213_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1335000000000003;;679.618248;51.957575;28.82553;0.870433;7.452253;7.73042;2.348743;0.253419;1.629414;11.432897
214_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1341000000000003;;679.624198;51.740716;33.537905;41.15861;25.918503;7.730421;4.859056;0.715498;3.854156;1.780451
215_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1347000000000003;;679.461835;51.549938;32.717146;23.065379;0.801786;7.730421;5.475436;0.638758;0.117194;1.422491
216_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1353000000000003;;679.606839;51.497824;28.591716;21.868701;1.688239;7.730421;8.658235;0.282712;1.668052;2.004753
217_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1359000000000003;;678.473069;51.476978;35.67821;11.179735;1.381014;7.730421;6.346285;0.264875;7.924669;2.058791
218_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1365000000000003;;679.124173;56.093063;32.244452;23.713895;0.61013;7.73042;20.711549;0.192489;0.313078;1.113788
219_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1371000000000002;;679.030641;52.018242;36.078756;13.117457;16.877639;7.730421;6.308465;0.395913;0.633979;1.583726
220_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1377000000000002;;679.453632;52.110716;28.685409;13.490409;24.550886;7.730421;1.447781;5.217376;2.498702;1.41293
221_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1383000000000002;;679.495285;51.541139;28.668288;35.152194;1.508129;7.730421;2.602344;0.630752;0.125519;1.563429
222_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1389000000000002;;678.195506;54.056045;28.472858;31.298702;10.121346;7.730421;27.15547;0.094344;0.13941;1.204854
223_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1395000000000002;;677.440459;51.475249;28.565703;31.511627;5.050755;7.730421;3.322255;2.480764;0.958677;1.304723
224_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1401000000000002;;679.278534;53.106711;39.648613;2.559857;14.061234;7.730421;3.737584;5.903276;2.909089;1.38252
225_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1407000000000002;;679.372591;51.511778;28.64429;31.09277;22.590376;7.730421;8.629263;0.278486;0.471229;1.977793
226_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1413000000000002;;678.353973;51.476227;42.547254;56.364207;0.153164;7.730421;10.604258;0.166817;3.461959;1.686204
227_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1419000000000002;;677.954271;51.475438;28.788585;19.479669;0.968329;7.730421;1.823286;0.234057;5.729425;1.803604
228_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1425000000000001;;678.07317;51.62532;28.451776;48.218182;26.174362;7.730421;16.553347;1.594229;2.632302;1.166826
229_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1431000000000001;;678.10612;51.484129;31.774839;42.877201;2.927535;7.730421;3.139047;9.917383;4.207128;2.167645
230_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1437000000000001;;678.219261;55.648664;30.891383;9.33736;11.609785;7.73042;3.827702;1.463324;7.501975;1.794675
231_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1443000000000001;;678.219174;52.714869;33.804261;11.173418;25.538096;7.730421;5.628096;3.339487;12.069123;1.577232
232_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1449000000000001;;669.151513;51.78436;28.852123;26.806192;50.398053;7.730421;12.445044;0.419113;0.888088;2.339966
233_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1455000000000001;;668.557377;51.489608;28.215826;170.480445;14.881479;7.730421;1.870055;0.133422;2.407205;1.146862
234_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1461000000000001;;668.145103;51.478576;28.481662;30.319155;0.695338;7.730421;4.828309;0.466073;0.164324;1.663608
235_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1467000000000001;;668.108656;56.504812;29.033246;23.445726;0.210283;7.73042;8.104553;0.938256;0.156186;1.348723
236_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1473000000000001;;668.143672;51.476279;34.755772;41.53483;7.013111;7.73042;1.577199;3.254014;1.076739;1.505485
237_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1479000000000001;;668.102789;53.112977;33.17396;6.712492;0.361086;7.730421;5.13363;1.184921;0.121238;1.731773
238_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1485;;667.562257;51.498143;33.481817;7.608098;5.269482;7.730421;7.416343;10.184263;1.433101;1.298007
239_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1491;;667.700366;51.499527;34.792091;40.944271;0.916001;7.730421;3.134416;0.265285;1.948635;1.975994
240_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1497;;667.240514;58.997679;38.779895;39.096417;17.400664;7.730421;7.783973;2.20851;0.925897;1.112928
241_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1503;;667.295193;51.556972;35.199341;0.641825;1.450482;7.730421;3.25489;2.418139;0.695043;2.321232
242_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1509;;667.276627;51.635957;34.968437;41.478433;17.168986;7.730421;1.307907;1.701001;7.698259;1.353038
243_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1515;;667.149519;51.475777;28.407275;38.438485;2.729373;7.73042;1.439838;12.576315;0.687494;1.29199
244_CAS_Techno_METHANOL_STORAGE_gwp0;METHANOL_STORAGE;0.1521;;667.199175;51.519865;29.333186;2.078152;6.886465;7.730421;23.486836;0.183015;14.080816;1.238376
