folder,techno_modifiee,gwp_constr,f_BATT_LI,f_BEV_BATT,f_BIOFUELS,f_GAS_STORAGE,f_H2_STORAGE,f_PHEV_BATT,f_TS,f_TS_DEC_DIRECT_ELEC,f_TS_DEC_HP_ELEC,f_TS_DHN_DAILY,f_TS_HIGH_TEMP,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_HABER_BOSCH,f_GAS_TO_HVC,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
Techno_BEV_BATT_gwp46,BEV_BATT,46.3,,2e-05,,,,,,,,,,28.74091,17.177515,13.867377,14.314736,14.392049,11.916744,11.411427,11.082819,10.155184,8.814002,7.36961
Techno_BEV_BATT_gwp51,BEV_BATT,51.3,,2.2e-05,,,,,,,,,,29.347085,17.295313,13.976802,13.799551,14.755663,11.835835,11.085181,10.380311,9.782404,8.46858,6.830959
Techno_BEV_BATT_gwp56,BEV_BATT,56.3,,1.5e-05,,,,,,,,,,26.354805,15.076848,13.134967,12.567668,12.001034,10.916582,10.698771,10.319133,9.105594,8.448695,7.012812
Techno_BEV_BATT_gwp61,BEV_BATT,61.3,,1.8e-05,,,,,,,,,,25.325483,14.93984,12.794624,12.400564,12.370876,10.313124,9.843914,9.336493,8.668828,7.490207,6.199412
12_Techno_BIOFUELS_gwp0,BIOFUELS,0.0,,,803283.422827,,,,,,,,,19.096581,11.16545,10.974967,9.334137,8.807587,8.095062,8.012395,7.621074,6.808668,6.160476,5.191168
11_Techno_BIOFUELS_gwp0,BIOFUELS,0.0001999999999999,,,42.534671,,,,,,,,,26.532519,15.624142,13.178951,13.071833,12.946465,10.96332,10.465084,10.108389,9.280544,8.016387,6.663589
10_Techno_BIOFUELS_gwp0,BIOFUELS,0.0006999999999999,,,28.207646,,,,,,,,,24.703158,14.235509,12.856801,11.923888,11.333401,10.667387,10.350994,10.089642,8.903467,8.387668,7.093948
9_Techno_BIOFUELS_gwp0,BIOFUELS,0.0011999999999999,,,13.128013,,,,,,,,,25.684184,14.867914,13.02962,12.454241,11.698134,10.780365,10.383296,10.010652,9.068078,8.035962,6.649193
8_Techno_BIOFUELS_gwp0,BIOFUELS,0.0016999999999999,,,3.079123,,,,,,,,,31.003952,18.383836,14.500841,14.499609,15.947595,12.562037,11.565655,10.775977,10.302907,8.816005,7.045394
7_Techno_BIOFUELS_gwp0,BIOFUELS,0.0021999999999999,,,9.224344,,,,,,,,,28.371358,16.257961,13.84209,13.478284,13.227985,11.875034,11.314862,10.886239,9.83714,8.864812,7.335242
6_Techno_BIOFUELS_gwp0,BIOFUELS,0.0026999999999999,,,2.348956,,,,,,,,,23.976537,14.094971,12.476009,11.878973,11.333203,10.048814,9.729118,9.337889,8.401221,7.497436,6.257299
5_Techno_BIOFUELS_gwp0,BIOFUELS,0.0031999999999999,,,1.235082,,,,,,,,,24.53569,14.235609,12.614133,11.907754,11.069615,10.314593,9.994496,9.687689,8.713114,7.814,6.546506
4_Techno_BIOFUELS_gwp0,BIOFUELS,0.0036999999999999,,,0.205609,,,,,,,,,27.088144,15.740728,13.515021,12.861891,12.9715,11.485614,10.905154,10.488936,9.465052,8.726826,7.240852
3_Techno_BIOFUELS_gwp0,BIOFUELS,0.0041999999999999,,,4.564445,,,,,,,,,24.889499,14.674846,12.827849,12.012283,11.726091,10.672764,10.244501,9.939879,8.795673,8.271652,6.947961
2_Techno_BIOFUELS_gwp0,BIOFUELS,0.0046999999999999,,,3.023563,,,,,,,,,31.429977,18.463346,14.677341,14.701059,15.606497,12.849205,11.925755,11.215492,10.546433,9.216046,7.401392
1_Techno_BIOFUELS_gwp0,BIOFUELS,0.0052,,,0.546181,,,,,,,,,27.037819,15.451313,13.247471,12.970616,12.473958,11.225016,10.807294,10.457366,9.397072,8.485624,6.967953
0_Techno_BIOFUELS_gwp0,BIOFUELS,0.0057,,,1.670303,,,,,,,,,23.815763,13.835349,12.413727,11.538123,11.303687,10.02694,9.695425,9.333571,8.279501,7.709749,6.418595
Techno_GAS_STORAGE_gwp0,GAS_STORAGE,0.0,,,,421791.512328,,,,,,,,20.937331,11.952883,11.521836,10.26355,10.105532,8.832719,8.037393,8.222259,7.455372,6.655504,5.672587
Techno_GAS_STORAGE_gwp1,GAS_STORAGE,0.7199999999999998,,,,4681.785033,,,,,,,,30.032855,17.409814,14.217238,14.648636,14.74784,12.393909,11.40988,11.350096,10.490613,9.021931,7.546417
Techno_GAS_STORAGE_gwp2,GAS_STORAGE,1.7199999999999998,,,,0.046065,,,,,,,,29.140905,17.106234,14.016538,14.062059,14.127386,12.164287,11.421305,10.98323,10.144669,8.90388,7.373465
Techno_GAS_STORAGE_gwp3,GAS_STORAGE,2.72,,,,0.006051,,,,,,,,24.147881,14.013384,12.48723,11.676135,11.638534,10.138395,9.792193,9.466792,8.509473,7.686199,6.456617
Techno_GAS_STORAGE_gwp4,GAS_STORAGE,3.72,,,,0.002303,,,,,,,,24.270657,14.312287,12.475662,12.059224,11.749562,10.021633,9.65418,9.30356,8.531693,7.349356,6.150694
Techno_GAS_STORAGE_gwp5,GAS_STORAGE,4.72,,,,0.008427,,,,,,,,25.947569,15.014504,13.293219,12.354033,12.176872,11.216954,10.771739,10.427417,9.295666,8.749428,7.335426
Techno_GAS_STORAGE_gwp6,GAS_STORAGE,5.72,,,,0.005185,,,,,,,,23.815763,13.835349,12.413727,11.538123,11.303687,10.02694,9.695425,9.333571,8.279501,7.709749,6.418595
Techno_H2_STORAGE_gwp0,H2_STORAGE,0.0,,,,,11232.76677,,,,,,,17.398525,10.537642,10.273809,8.438983,8.725258,7.108055,6.890454,6.362504,5.907695,5.062844,4.119434
Techno_H2_STORAGE_gwp1,H2_STORAGE,0.9000000000000004,,,,,0.235157,,,,,,,24.4211,14.149036,12.778884,11.699634,11.207311,10.51379,10.147251,9.785575,8.80756,8.075048,6.779741
Techno_H2_STORAGE_gwp2,H2_STORAGE,1.9000000000000004,,,,,0.146299,,,,,,,25.480095,14.718143,12.961705,12.188698,12.059057,10.782438,10.235411,9.84855,8.89491,8.141031,6.69838
Techno_H2_STORAGE_gwp3,H2_STORAGE,2.9000000000000004,,,,,0.010091,,,,,,,25.132335,14.853791,12.796644,12.11745,12.253151,10.50111,9.978501,9.476827,8.691033,7.730874,6.346147
Techno_H2_STORAGE_gwp4,H2_STORAGE,3.9,,,,,0.004369,,,,,,,26.142093,15.439933,13.056764,12.943969,12.932498,10.785668,10.250045,9.874032,9.137246,7.824679,6.535884
Techno_H2_STORAGE_gwp5,H2_STORAGE,4.9,,,,,0.001899,,,,,,,26.736429,15.42344,13.418455,12.870744,12.261268,11.52719,11.126874,10.89131,9.547208,9.045575,7.611514
Techno_H2_STORAGE_gwp6,H2_STORAGE,5.9,,,,,0.004335,,,,,,,26.485821,15.112435,13.313051,12.704563,12.089931,11.28258,10.820954,10.523563,9.41892,8.666985,7.358059
Techno_H2_STORAGE_gwp7,H2_STORAGE,6.9,,,,,0.002865,,,,,,,28.594063,16.483497,13.885145,13.818726,13.183067,11.919464,11.324757,10.939595,9.998752,8.893295,7.326898
Techno_H2_STORAGE_gwp8,H2_STORAGE,7.9,,,,,0.0008,,,,,,,25.241786,14.65884,12.744116,12.382317,11.827142,10.314668,9.897051,9.497857,8.759457,7.42026,6.147032
Techno_H2_STORAGE_gwp9,H2_STORAGE,8.9,,,,,0.001706,,,,,,,27.250239,15.866198,13.485667,13.064952,13.111874,11.433955,10.876888,10.446445,9.405807,8.488597,6.937628
Techno_H2_STORAGE_gwp10,H2_STORAGE,9.9,,,,,0.00116,,,,,,,23.815763,13.835349,12.413727,11.538123,11.303687,10.02694,9.695425,9.333571,8.279501,7.709749,6.418595
