folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DEC_HP_ELEC,f_DHN_HP_ELEC,f_DEC_DIRECT_ELEC,f_DEC_BOILER_WOOD,f_DHN_BOILER_GAS,f_DEC_BOILER_GAS,f_DEC_BOILER_OIL,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DEC_SOLAR,f_DHN_COGEN_WOOD,f_DEC_THHP_GAS,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DEC_COGEN_GAS,f_DEC_COGEN_OIL,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DEC_ADVCOGEN_H2,f_DEC_ADVCOGEN_GAS,f_DHN_DEEP_GEO
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.994,947.210714,18.731602,8.898373,7.7e-05,8e-06,8e-06,7e-06,7e-06,7e-06,3e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.004,947.109488,18.731602,8.898342,0.000455,4.3e-05,4e-05,3.9e-05,3.9e-05,3.8e-05,1.7e-05,1.2e-05,5e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
13_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.014,945.631525,18.731603,8.89526,0.000339,3.1e-05,3e-05,2.8e-05,2.8e-05,2.8e-05,1.3e-05,9e-06,3e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
14_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.024,945.512791,18.731604,8.895076,0.000369,3.6e-05,3.4e-05,3.2e-05,3.2e-05,3.2e-05,1.5e-05,1e-05,4e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
15_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.034,923.142419,18.731603,8.850346,0.000136,1.2e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,5e-06,4e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.044,913.739958,18.731602,8.833688,0.000119,1e-05,8e-06,9e-06,9e-06,8e-06,4e-06,3e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.054,913.737425,18.731602,8.834022,0.000131,1.2e-05,1.1e-05,1.1e-05,1.1e-05,1e-05,5e-06,3e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.064,901.662863,18.731603,8.811408,0.000385,3.8e-05,3.7e-05,3.4e-05,3.4e-05,3.4e-05,1.6e-05,1.2e-05,4e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
19_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.074,896.983672,18.731602,8.778609,0.000144,1.3e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,5e-06,4e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.084,893.286801,18.731603,8.752616,0.000605,5.6e-05,5.4e-05,5.3e-05,5.2e-05,5e-05,2.4e-05,1.6e-05,6e-06,4e-06,3e-06,2e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
21_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.094,891.25311,18.731608,8.738211,0.00062,5.7e-05,5.2e-05,5.5e-05,5.4e-05,5e-05,2.3e-05,1.5e-05,6e-06,4e-06,3e-06,2e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
22_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.104,891.281715,18.731602,8.738601,0.000452,4.3e-05,4.2e-05,4e-05,4e-05,3.9e-05,1.8e-05,1.3e-05,5e-06,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
23_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.114,891.237927,18.731603,8.738234,0.000627,5.9e-05,5.8e-05,5.7e-05,5.6e-05,5.4e-05,2.6e-05,1.8e-05,7e-06,4e-06,3e-06,3e-06,2e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
24_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.124,886.879738,18.731651,8.707195,0.00048,4.8e-05,4.7e-05,4.1e-05,4.1e-05,4.3e-05,2e-05,1.5e-05,5e-06,3e-06,3e-06,3e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
25_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.134,886.930722,18.731613,8.707997,0.000621,5.5e-05,5.3e-05,5.4e-05,5.3e-05,5e-05,2.3e-05,1.7e-05,6e-06,4e-06,3e-06,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
26_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.144,882.603457,18.731655,8.676427,0.00514,0.000487,0.000504,0.000432,0.000426,0.000456,0.00021,0.000166,5.7e-05,3.2e-05,2.7e-05,2.8e-05,1.5e-05,1.3e-05,1.3e-05,1.3e-05,9e-06,9e-06,7e-06,0.0
27_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.154,882.241763,18.731612,8.675157,0.000212,2e-05,1.8e-05,1.7e-05,1.7e-05,1.7e-05,8e-06,6e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.164,882.311321,18.731603,8.675654,5.3e-05,5e-06,5e-06,5e-06,5e-06,4e-06,2e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1740000000000002,870.473257,18.731602,8.592581,0.000167,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.2e-05,5e-06,4e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1840000000000002,870.436122,18.731602,8.592319,3.5e-05,3e-06,2e-06,3e-06,3e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1940000000000002,863.028571,18.731602,8.541553,0.000159,1.4e-05,1.3e-05,1.3e-05,1.3e-05,1.2e-05,6e-06,4e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2040000000000002,854.612968,18.731602,8.492882,0.000152,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,6e-06,5e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2140000000000002,849.726105,18.731602,8.486345,6.9e-05,7e-06,6e-06,6e-06,6e-06,6e-06,3e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2240000000000002,844.873321,18.731602,8.48698,7.1e-05,7e-06,7e-06,6e-06,6e-06,6e-06,3e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2340000000000002,844.87012,18.731602,8.486984,4e-05,4e-06,3e-06,3e-06,4e-06,3e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2440000000000002,844.880638,18.731603,8.486402,0.000527,4.9e-05,4.7e-05,4.6e-05,4.6e-05,4.4e-05,2e-05,1.4e-05,5e-06,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
37_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2540000000000002,844.662651,18.731602,8.486655,8.4e-05,8e-06,8e-06,7e-06,7e-06,7e-06,4e-06,3e-06,1e-06,1e-06,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
