lcoh,probability density
5.187164649995181,0.0003402108693981557
5.24584492133091,0.0010206326081944517
5.304525192666638,0.0008505271734953892
5.363205464002366,0.0011907380428935268
5.421885735338095,0.0023814760857870897
5.480566006673824,0.0061237956491667096
5.539246278009552,0.005443373910370491
5.59792654934528,0.010206326081944517
5.6566068206810085,0.014629067384120696
5.715287092016737,0.015309489122916775
5.773967363352465,0.02058275759858842
5.832647634688193,0.029598345637639543
5.891327906023921,0.035892246721504886
5.95000817735965,0.045418151064653786
6.008688448695379,0.05664510975479207
6.067368720031107,0.06361943257745512
6.126048991366835,0.08488261191483856
6.184729262702564,0.09185693473750203
6.2434095340382925,0.11158916516259339
6.30208980537402,0.1257079162426185
6.360770076709748,0.1519041531862765
6.419450348045476,0.17231680535016325
6.478130619381206,0.1837138694750013
6.536810890716934,0.2044667325082916
6.595491162052662,0.22147727597819936
6.65417143338839,0.23576613249291833
6.712851704724119,0.2609417368283854
6.771531976059848,0.28526681399034926
6.8302122473955755,0.2987051433315807
6.8888925187313035,0.32371064223234514
6.947572790067031,0.3439531889615302
7.006253061402761,0.3669174226459053
7.064933332738489,0.38341764981172144
7.123613604074217,0.40366019654091173
7.182293875409945,0.4012787204551186
7.240974146745675,0.41522736610044275
7.299654418081403,0.421691372619014
7.358334689417131,0.43546991282963926
7.417014960752859,0.4405730758706116
7.4756952320885866,0.4460164497809754
7.534375503424316,0.4472071878238689
7.593055774760044,0.4499288747790609
7.651736046095772,0.44822782043207016
7.7104163174315,0.42492337587829
7.76909658876723,0.4262842193558826
7.827776860102958,0.44482571173808855
7.886457131438686,0.43053685522336604
7.945137402774414,0.4109747302329659
8.003817674110143,0.4228821106619012
8.062497945445871,0.39668587371824954
8.1211782167816,0.3951549248059579
8.179858488117327,0.3699793204704943
8.238538759453055,0.36368541938662846
8.297219030788785,0.3317055976631918
8.355899302124513,0.31826726832197466
8.41457957346024,0.31690642484438203
8.473259844795969,0.2961535618110856
8.531940116131699,0.28220491616577015
8.590620387467427,0.25822004987320013
8.649300658803154,0.24257034988088502
8.707980930138882,0.2332145509724357
8.76666120147461,0.2196061161965095
8.82534147281034,0.20854926294106313
8.884021744146068,0.18439429121380038
8.942702015481796,0.17095596187257325
9.001382286817524,0.15343510209856356
9.060062558153254,0.15105362601278113
9.118742829488982,0.13013065754479455
9.17742310082471,0.1206047532016462
9.236103372160438,0.10631589668692366
9.294783643496165,0.09951167929896054
9.353463914831895,0.08930535321701316
9.412144186167623,0.0799495543085666
9.470824457503351,0.07195459887770775
9.52950472883908,0.05868637497118186
9.588185000174809,0.051201735844422426
9.646865271510537,0.045418151064653786
9.705545542846265,0.04116551519717684
9.764225814181993,0.03776340650319528
9.82290608551772,0.03249013802752387
9.88158635685345,0.02653644781305534
9.940266628189178,0.021263179337384728
9.998946899524906,0.018201281512800777
10.057627170860636,0.019051808686296717
10.116307442196364,0.013438329341227151
10.174987713532092,0.014799172818819772
10.23366798486782,0.011397064124838216
10.292348256203548,0.0068042173879631134
10.351028527539276,0.006293901083865881
10.409708798875005,0.005103163040972181
10.468389070210733,0.0030618978245834016
10.527069341546461,0.0032320032592823814
10.585749612882191,0.0035722141286806345
10.644429884217919,0.0017010543469907784
10.703110155553647,0.0011907380428935448
10.761790426889375,0.0015309489122917008
10.820470698225103,0.0008505271734953892
10.87915096956083,0.0005103163040972335
10.93783124089656,0.0
10.996511512232289,0.00017010543469907785
