lcoh,cumulative probability
5.187164649995181,1.9963666127647682e-05
5.24584492133091,7.985466451059073e-05
5.304525192666638,0.00012976382982970994
5.363205464002366,0.00019963666127647682
5.421885735338095,0.00033938232417001055
5.480566006673824,0.0006987283144676687
5.539246278009552,0.0010181469725100316
5.59792654934528,0.001617056956339462
5.6566068206810085,0.0024754945998283124
5.715287092016737,0.003373859575572458
5.773967363352465,0.0045816613762951425
5.832647634688193,0.006318500329400491
5.891327906023921,0.008424667105867322
5.95000817735965,0.011089816533908288
6.008688448695379,0.014413766944161627
6.067368720031107,0.018146972510031743
6.126048991366835,0.02312790720887984
6.184729262702564,0.028518097063344714
6.2434095340382925,0.03506617955321315
6.30208980537402,0.04244275418737897
6.360770076709748,0.05135653111337366
6.419450348045476,0.06146812800702721
6.478130619381206,0.07224850771595695
6.536810890716934,0.0842466710586732
6.595491162052662,0.09724301770777184
6.65417143338839,0.11107783833423168
6.712851704724119,0.12638997025413745
6.771531976059848,0.14312950430217003
6.8302122473955755,0.1606576031622447
6.8888925187313035,0.17965303148270145
6.947572790067031,0.19983629793775326
7.006253061402761,0.22136711185642127
7.064933332738489,0.2438661635822802
7.123613604074217,0.26755305344273417
7.182293875409945,0.2911001976402946
7.240974146745675,0.3154658521490886
7.299654418081403,0.34021081631430794
7.358334689417131,0.36576430895769696
7.417014960752859,0.39161725659300073
7.4756952320885866,0.41778962288634686
7.534375503424316,0.44403186201113976
7.593055774760044,0.4704338104649538
7.651736046095772,0.49673594058812964
7.7104163174315,0.5216705595815616
7.76909658876723,0.5466850332395041
7.827776860102958,0.5727875267014034
7.886457131438686,0.5980515461859416
7.945137402774414,0.62216765486814
8.003817674110143,0.646982491864806
8.062497945445871,0.6702601265696433
8.1211782167816,0.6934479247769061
8.179858488117327,0.7151584116907229
8.238538759453055,0.7364995707811783
8.297219030788785,0.7559641452556348
8.355899302124513,0.7746401549180493
8.41457957346024,0.7932363099159531
8.473259844795969,0.8106146812800704
8.531940116131699,0.8271745423329542
8.590620387467427,0.8423269649238387
8.649300658803154,0.8565610588728515
8.707980930138882,0.870246152003354
8.76666120147461,0.8831326984887505
8.82534147281034,0.8953704258249986
8.884021744146068,0.9061907328661837
8.942702015481796,0.9162224750953266
9.001382286817524,0.9252260885188958
9.060062558153254,0.9340899562795714
9.118742829488982,0.9417260585733966
9.17742310082471,0.9488031782156477
9.236103372160438,0.9550418238805376
9.294783643496165,0.9608811962228746
9.353463914831895,0.9661216585813821
9.412144186167623,0.9708131201213793
9.470824457503351,0.9750354355073768
9.52950472883908,0.978479167914396
9.588185000174809,0.981483699666607
9.646865271510537,0.984148849094648
9.705545542846265,0.9865644526960933
9.764225814181993,0.9887804196362622
9.82290608551772,0.9906869497514526
9.88158635685345,0.9922441157094091
9.940266628189178,0.9934918448423871
9.998946899524906,0.9945599009802162
10.057627170860636,0.9956778662833644
10.116307442196364,0.9964664310954064
10.174987713532092,0.9973348505719591
10.23366798486782,0.9980036333872353
10.292348256203548,0.9984029067097883
10.351028527539276,0.9987722345331498
10.409708798875005,0.9990716895250645
10.468389070210733,0.9992513625202134
10.527069341546461,0.999441017348426
10.585749612882191,0.9996506358427664
10.644429884217919,0.9997504541734046
10.703110155553647,0.9998203270048514
10.761790426889375,0.9999101635024258
10.820470698225103,0.9999600726677449
10.87915096956083,0.9999900181669363
10.93783124089656,0.9999900181669363
10.996511512232289,1.0000000000000002
