gwp_op,cumulative probability
422477.56843850267,2e-05
424340.66487397323,3e-05
426203.76130944374,7.999999999999999e-05
428066.85774491425,0.00018999999999999998
429929.9541803848,0.00038
431793.0506158553,0.00066
433656.1470513259,0.00102
435519.2434867964,0.00165
437382.3399222669,0.00242
439245.4363577374,0.00379
441108.53279320797,0.00513
442971.62922867853,0.0069299999999999995
444834.72566414904,0.009229999999999999
446697.82209961955,0.011979999999999998
448560.91853509005,0.015079999999999998
450424.0149705606,0.018789999999999998
452287.1114060312,0.022989999999999997
454150.2078415017,0.027929999999999996
456013.3042769722,0.03328
457876.4007124427,0.03936
459739.49714791327,0.04621
461602.59358338383,0.05332
463465.69001885434,0.06145
465328.78645432484,0.06978
467191.88288979535,0.07863999999999999
469054.9793252659,0.08859999999999998
470918.0757607365,0.09877999999999998
472781.172196207,0.10939999999999998
474644.2686316775,0.12139999999999998
476507.365067148,0.13349999999999998
478370.46150261856,0.14590999999999998
480233.5579380891,0.15919999999999998
482096.65437355964,0.17303999999999997
483959.75080903014,0.18803999999999998
485822.84724450065,0.20315999999999998
487685.9436799712,0.21893999999999997
489549.0401154418,0.23466999999999996
491412.1365509123,0.25176
493275.2329863828,0.26963
495138.3294218533,0.28764
497001.4258573238,0.30621
498864.5222927944,0.32539999999999997
500727.61872826493,0.34473
502590.71516373544,0.36435999999999996
504453.81159920595,0.38516999999999996
506316.90803467645,0.40567999999999993
508180.004470147,0.42606999999999995
510043.1009056176,0.44748999999999994
511906.1973410881,0.46863999999999995
513769.2937765586,0.48924999999999996
515632.3902120291,0.51173
517495.48664749967,0.53262
519358.58308297023,0.55467
521221.67951844074,0.57556
523084.77595391124,0.5961
524947.8723893818,0.6164799999999999
526810.9688248523,0.6370499999999999
528674.0652603229,0.6571999999999999
530537.1616957934,0.67629
532400.2581312639,0.6953499999999999
534263.3545667344,0.7142899999999999
536126.451002205,0.7317899999999998
537989.5474376755,0.7492299999999998
539852.643873146,0.7665699999999999
541715.7403086165,0.7827499999999998
543578.836744087,0.7989499999999998
545441.9331795576,0.8134999999999998
547305.0296150282,0.8280099999999998
549168.1260504987,0.8413799999999998
551031.2224859692,0.8549299999999997
552894.3189214397,0.8678899999999997
554757.4153569103,0.8798099999999998
556620.5117923808,0.8912699999999998
558483.6082278513,0.9022799999999997
560346.7046633218,0.9123199999999998
562209.8010987923,0.9223499999999998
564072.8975342629,0.9312699999999998
565935.9939697334,0.9394799999999999
567799.090405204,0.9470899999999999
569662.1868406745,0.9542199999999998
571525.283276145,0.9608899999999998
573388.3797116156,0.9670899999999998
575251.4761470861,0.9724999999999998
577114.5725825566,0.9773499999999998
578977.6690180271,0.9816099999999999
580840.7654534976,0.9852599999999999
582703.8618889682,0.98835
584566.9583244387,0.9910699999999999
586430.0547599093,0.9933099999999999
588293.1511953798,0.99506
590156.2476308503,0.99645
592019.3440663209,0.99752
593882.4405017914,0.9983799999999999
595745.5369372619,0.99903
597608.6333727324,0.9993799999999999
599471.729808203,0.99964
601334.8262436735,0.99978
603197.922679144,0.9998900000000001
605061.0191146146,0.9999600000000001
606924.1155500851,1.0
