gwp_tramway_trolley,gwp_bus_coach_diesel,gwp_bus_coach_hydiesel,gwp_bus_coach_cng_stoich,gwp_bus_coach_fc_hybridh2,gwp_train_pub,gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_boat_freight_diesel,gwp_boat_freight_methanol,gwp_truck_diesel,gwp_truck_methanol,gwp_truck_fuel_cell,gwp_op
              5774.774994,                17.783981,               317.444412,                53.558899,                90.512390,              2338.158096,                59.963058,                56.166229,                82.320145,                29.678116,               191.521449,               282.015152,               477.640839,                33.922729,               386.991501,               461.559952,            518805.217813
              5614.024994,                12.158981,               244.569412,                58.058899,                98.012390,              2399.283096,                61.338058,                47.416229,                92.945145,                22.803116,               196.283949,               301.140152,               416.390839,                40.922729,               435.116501,               635.434952,            519607.698065
              6900.024994,                15.158981,               297.569412,                70.058899,               118.012390,              2888.283096,                50.338058,                57.416229,                75.945145,                27.803116,               158.183949,               250.140152,               514.390839,                32.922729,               358.116501,               528.434952,            511315.774650
              7543.024994,                13.658981,               271.069412,                52.058899,               108.012390,              2154.783096,                44.838058,                42.416229,               101.445145,                25.303116,               215.333949,               224.640152,               465.390839,                36.922729,               396.616501,               474.934952,            526848.757410
              6257.024994,                16.658981,               218.069412,                64.058899,                88.012390,              2643.783096,                55.838058,                52.416229,                84.445145,                20.303116,               177.233949,               275.640152,               563.390839,                44.922729,               319.616501,               581.934952,            493434.923757
              5935.524994,                14.408981,               310.819412,                55.058899,               103.012390,              2521.533096,                64.088058,                59.916229,                88.695145,                26.553116,               224.858949,               237.390152,               440.890839,                46.922729,               377.366501,               608.684952,            505164.347810
              7221.524994,                17.408981,               257.819412,                67.058899,                83.012390,              2032.533096,                53.088058,                49.916229,                71.695145,                21.553116,               186.758949,               288.390152,               538.890839,                38.922729,               454.366501,               501.684952,            557503.179740
              6578.524994,                12.908981,               231.319412,                49.058899,                93.012390,              2766.033096,                47.588058,                54.916229,                97.195145,                24.053116,               205.808949,               262.890152,               489.890839,                34.922729,               338.866501,               448.184952,            491390.976338
              5292.524994,                15.908981,               284.319412,                61.058899,               113.012390,              2277.033096,                58.588058,                44.916229,                80.195145,                29.053116,               167.708949,               211.890152,               587.890839,                42.922729,               415.866501,               555.184952,            568848.805697
              5252.337494,                14.502731,               249.538162,                51.683899,                84.887390,              2659.064346,                45.869308,                57.103729,                96.663895,                22.021866,               190.330824,               293.171402,               401.078339,                35.672729,               341.272751,               538.466202,            463335.535364
