gwp_op,cumulative probability
18687.17455265334,7e-05
18690.4392635614,0.00019
18693.70397446945,0.00041000000000000005
18696.968685377506,0.0006900000000000001
18700.233396285563,0.0012700000000000003
18703.498107193613,0.0019200000000000003
18706.76281810167,0.0029000000000000002
18710.02752900972,0.00419
18713.292239917777,0.00571
18716.556950825827,0.00763
18719.821661733884,0.00987
18723.08637264194,0.01244
18726.35108354999,0.015609999999999999
18729.61579445805,0.01936
18732.880505366098,0.0236
18736.145216274155,0.02814
18739.409927182205,0.033209999999999996
18742.674638090262,0.03911
18745.93934899832,0.04579
18749.20405990637,0.052989999999999995
18752.468770814427,0.060149999999999995
18755.733481722476,0.06789999999999999
18758.998192630534,0.07673999999999999
18762.262903538583,0.08578999999999999
18765.52761444664,0.09534
18768.792325354698,0.10528
18772.057036262748,0.11649
18775.321747170805,0.12794
18778.586458078855,0.13978
18781.851168986912,0.15219
18785.115879894962,0.1654
18788.38059080302,0.17908
18791.645301711073,0.19313999999999998
18794.910012619126,0.20741999999999997
18798.174723527183,0.22255999999999998
18801.439434435233,0.23901999999999998
18804.70414534329,0.25500999999999996
18807.96885625134,0.27224
18811.233567159397,0.28968
18814.49827806745,0.30798
18817.762988975504,0.32585
18821.02769988356,0.34457
18824.29241079161,0.3644
18827.55712169967,0.38374
18830.82183260772,0.40343
18834.086543515776,0.42277000000000003
18837.35125442383,0.44402
18840.615965331883,0.465
18843.88067623994,0.48521000000000003
18847.14538714799,0.5061100000000001
18850.410098056047,0.52744
18853.674808964097,0.54734
18856.939519872154,0.56799
18860.204230780208,0.58846
18863.46894168826,0.60893
18866.73365259632,0.62857
18869.998363504368,0.6476
18873.263074412425,0.6666399999999999
18876.527785320475,0.6851599999999999
18879.792496228532,0.7031499999999998
18883.057207136586,0.7206599999999999
18886.32191804464,0.7378899999999998
18889.586628952697,0.7546299999999998
18892.851339860747,0.7708899999999999
18896.116050768804,0.7860499999999998
18899.380761676854,0.8007299999999998
18902.64547258491,0.8160699999999999
18905.910183492964,0.8296699999999999
18909.174894401018,0.8429599999999999
18912.439605309075,0.8552599999999999
18915.704316217125,0.8671899999999999
18918.969027125182,0.87923
18922.233738033232,0.89005
18925.49844894129,0.90032
18928.76315984934,0.91037
18932.027870757396,0.91969
18935.292581665453,0.92883
18938.557292573503,0.9365600000000001
18941.82200348156,0.9444300000000001
18945.08671438961,0.9519900000000001
18948.351425297667,0.9578700000000001
18951.616136205717,0.9640600000000001
18954.880847113775,0.9697800000000001
18958.14555802183,0.9747500000000001
18961.41026892988,0.9791400000000001
18964.67497983794,0.9828100000000001
18967.93969074599,0.9864100000000001
18971.204401654046,0.9892000000000001
18974.469112562096,0.9915400000000001
18977.733823470153,0.9936300000000001
18980.99853437821,0.9953600000000001
18984.26324528626,0.9966700000000002
18987.527956194317,0.9977300000000001
18990.792667102367,0.9985300000000001
18994.057378010424,0.9990600000000002
18997.322088918474,0.9994600000000001
19000.58679982653,0.9997900000000002
19003.85151073459,0.9999000000000002
19007.11622164264,0.9999700000000002
19010.380932550695,1.0000000000000002
