name,First-order Sobol indices,Total-order Sobol indices  
gwp_ts_high_temp,0.565752,0.565752  
gwp_ts_dec_hp_elec,0.369241,0.369241  
gwp_ts_dhn_seasonal,0.060762,0.060762  
gwp_phs,0.003767,0.003767  
gwp_lfo_storage,0.000082,0.000082  
gwp_ts_dhn_daily,0.000061,0.000061  
gwp_h2_storage,0.000052,0.000052  
gwp_methanol_storage,0.000049,0.000049  
gwp_ts_dec_cogen_gas,0.000045,0.000045  
gwp_ammonia_storage,0.000037,0.000037  
gwp_phev_batt,0.000029,0.000029  
gwp_gas_storage,0.000025,0.000025  
gwp_bev_batt,0.000020,0.000020  
gwp_ts_dec_advcogen_gas,0.000020,0.000020  
gwp_ts_dec_boiler_oil,0.000011,0.000011  
gwp_gasoline_storage,0.000010,0.000010  
gwp_diesel_storage,0.000008,0.000008  
gwp_ts_dec_boiler_gas,0.000007,0.000007  
gwp_ts_dec_thhp_gas,0.000007,0.000007  
gwp_ts_dec_advcogen_h2,0.000006,0.000006  
gwp_ts_dec_cogen_oil,0.000005,0.000005  
gwp_ts_dec_direct_elec,0.000001,0.000001  
gwp_batt_li,0.000001,0.000001  
gwp_co2_storage,0.000000,0.000000  
gwp_ts_dec_boiler_wood,0.000000,0.000000  
