gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_car_gasoline,gwp_car_hev,gwp_car_phev,gwp_op
               276.156024,               344.556024,               308.151727,               433.903976,               728.621136,               298.198993,               528.530099,               441.902335,             27385.535430
               277.224774,               298.599774,               379.757977,               415.857101,               839.152386,               288.580243,               481.495724,               511.642960,             27404.455021
