cost,cumulative probability
31214.010007704186,0.00011
31595.737442280963,0.00015000000000000001
31977.46487685774,0.00023
32359.19231143452,0.00030000000000000003
32740.9197460113,0.00038
33122.64718058807,0.00058
33504.37461516485,0.0007999999999999999
33886.10204974163,0.00106
34267.82948431841,0.00136
34649.55691889519,0.0018900000000000002
35031.284353471965,0.00268
35413.011788048745,0.0037600000000000003
35794.739222625525,0.00487
36176.4666572023,0.00649
36558.19409177908,0.00824
36939.92152635586,0.010430000000000002
37321.64896093264,0.012870000000000003
37703.37639550942,0.016270000000000003
38085.10383008619,0.020500000000000004
38466.83126466297,0.025220000000000003
38848.55869923975,0.030610000000000005
39230.286133816524,0.0367
39612.013568393304,0.043840000000000004
39993.741002970084,0.05260000000000001
40375.468437546864,0.06187000000000001
40757.195872123644,0.07254000000000001
41138.92330670042,0.08348000000000001
41520.6507412772,0.09638000000000001
41902.37817585397,0.10994000000000001
42284.10561043075,0.12488
42665.83304500753,0.14099
43047.56047958431,0.15771000000000002
43429.28791416109,0.17603000000000002
43811.01534873787,0.19531
44192.74278331464,0.21461000000000002
44574.47021789142,0.23479000000000003
44956.197652468196,0.256
45337.925087044976,0.2776
45719.652521621756,0.30128
46101.379956198536,0.32376
46483.107390775316,0.34842
46864.834825352096,0.37211
47246.56225992887,0.39569
47628.28969450564,0.41991999999999996
48010.01712908242,0.44489999999999996
48391.7445636592,0.46948999999999996
48773.47199823598,0.49485999999999997
49155.19943281276,0.51945
49536.92686738954,0.5446
49918.65430196632,0.56961
50300.381736543095,0.5944799999999999
50682.10917111987,0.6189099999999998
51063.83660569665,0.6420799999999999
51445.56404027343,0.6660499999999999
51827.29147485021,0.6902499999999999
52209.01890942699,0.7136499999999999
52590.74634400377,0.7360299999999999
52972.47377858055,0.7583499999999999
53354.20121315732,0.7787899999999999
53735.928647734094,0.7994499999999999
54117.656082310874,0.8179299999999999
54499.383516887654,0.83644
54881.110951464434,0.85295
55262.838386041214,0.86912
55644.565820617994,0.8846
56026.29325519477,0.89897
56408.02068977154,0.9121600000000001
56789.74812434832,0.9233600000000001
57171.4755589251,0.93452
57553.20299350188,0.94385
57934.93042807866,0.9525
58316.65786265544,0.95973
58698.38529723222,0.96633
59080.11273180899,0.97206
59461.840166385766,0.9772500000000001
59843.567600962546,0.9814600000000001
60225.295035539326,0.9851700000000001
60607.022470116106,0.9882200000000001
60988.749904692886,0.9907400000000001
61370.477339269666,0.9927300000000001
61752.204773846446,0.9943200000000001
62133.93220842322,0.9957900000000001
62515.65964299999,0.99689
62897.38707757677,0.9977900000000001
63279.11451215355,0.9984500000000001
63660.84194673033,0.9988900000000001
64042.56938130711,0.9991800000000001
64424.29681588389,0.9993400000000001
64806.024250460665,0.9995300000000001
65187.751685037445,0.9996600000000001
65569.47911961423,0.9998100000000001
65951.20655419101,0.99987
66332.93398876778,0.9999100000000001
66714.66142334456,0.99994
67096.38885792134,0.99994
67478.1162924981,0.9999600000000001
67859.84372707488,0.9999800000000001
68241.57116165166,0.9999800000000001
68623.29859622844,0.99999
69005.02603080522,1.0
