gwp_nuclear,par,707.88
gwp_pv,par,2081.43
gwp_wind_onshore,par,622.85
gwp_wind_offshore,par,622.85
gwp_hydro_river,par,1262.82
gwp_geothermal,par,24929.1
gwp_ind_cogen_wood,par,165.33
gwp_ind_cogen_waste,par,647.82
gwp_ind_boiler_wood,par,28.87
gwp_ind_boiler_waste,par,28.87
gwp_ind_direct_elec,par,1.47
gwp_dhn_hp_elec,par,174.79
gwp_dhn_cogen_wood,par,165.33
gwp_dhn_cogen_waste,par,647.82
gwp_dhn_cogen_wet_biomass,par,1024
gwp_dhn_cogen_bio_hydrolysis,par,647.8
gwp_dhn_boiler_wood,par,28.87
gwp_dhn_deep_geo,par,808.76
gwp_dhn_solar,par,221.22
gwp_dec_hp_elec,par,164.89
gwp_dec_boiler_wood,par,21.09
gwp_dec_solar,par,221.22
gwp_dec_direct_elec,par,1.47
