Cost_limit,C_tot,GWP_tot,delta_C,delta_GWP,Coût_marginal
55000,55000.000157,5056.996981,,,
60000,60000.0,932.393489,4999.999842999998,4124.603492,1.212237698168539
65000,65000.000001,430.785283,5000.000001,501.60820600000005,9.967939003374278
70000,69999.999994,245.47298,4999.999992999998,185.31230299999999,26.981478898354624
75000,75000.000004,131.66467999999998,5000.000010000003,113.80830000000003,43.933526904452506
80000,79999.999986,108.07461899999998,4999.999981999994,23.59006099999999,211.95366904731597
85000,84999.999999,107.808437,5000.000013000012,0.2661819999999864,18784.14022360741
90000,90000.000003,107.80447699999999,5000.000003999987,0.003960000000006403,1262626.2636343187
95000,94999.999996,107.80437599999999,4999.999993000005,0.0001010000000007949,49504950.425353006
100000,99999.999996,107.80441700000002,5000.0,-4.1000000024382643e-05,-121951219.4396709
