gwp_op,cumulative probability
5370.746991073136,7.000000000000001e-05
5370.799276075768,0.00031
5370.8515610784,0.00071
5370.90384608103,0.00181
5370.956131083662,0.0030800000000000003
5371.008416086293,0.00495
5371.060701088923,0.00738
5371.112986091555,0.01021
5371.165271094187,0.014
5371.217556096817,0.01777
5371.269841099449,0.02279
5371.322126102081,0.028280000000000003
5371.374411104711,0.034120000000000004
5371.426696107343,0.04021
5371.4789811099745,0.04707
5371.5312661126045,0.05452
5371.583551115236,0.0628
5371.635836117868,0.07129999999999999
5371.688121120498,0.08024999999999999
5371.74040612313,0.09049999999999998
5371.792691125762,0.10105999999999998
5371.844976128392,0.11224999999999999
5371.897261131024,0.12313999999999999
5371.9495461336555,0.13479
5372.001831136286,0.1474
5372.054116138917,0.16077
5372.106401141549,0.17409
5372.15868614418,0.18818
5372.210971146811,0.20256
5372.263256149443,0.21725
5372.315541152074,0.23197
5372.367826154705,0.24635
5372.420111157337,0.26002000000000003
5372.4723961599675,0.27463000000000004
5372.524681162598,0.28941000000000006
5372.57696616523,0.3043100000000001
5372.629251167861,0.3187700000000001
5372.681536170492,0.3331000000000001
5372.733821173124,0.34778000000000014
5372.786106175755,0.36223000000000016
5372.838391178386,0.37628000000000017
5372.890676181018,0.39048000000000016
5372.942961183649,0.40541000000000016
5372.9952461862795,0.42000000000000015
5373.047531188911,0.43473000000000017
5373.099816191542,0.4494400000000002
5373.152101194173,0.46363000000000015
5373.204386196805,0.47763000000000017
5373.256671199436,0.49231000000000014
5373.308956202067,0.5068600000000001
5373.361241204699,0.5215500000000001
5373.41352620733,0.5354500000000001
5373.4658112099605,0.55022
5373.518096212592,0.5648700000000001
5373.570381215223,0.5799700000000001
5373.622666217854,0.5936200000000001
5373.674951220486,0.6077200000000001
5373.727236223117,0.6225600000000001
5373.779521225748,0.6369000000000001
5373.83180622838,0.6522400000000002
5373.884091231011,0.6667500000000002
5373.936376233642,0.6811100000000002
5373.988661236273,0.6951600000000002
5374.040946238904,0.7092200000000002
5374.093231241535,0.7236800000000002
5374.145516244167,0.7384900000000002
5374.197801246798,0.7529700000000003
5374.250086249429,0.7680000000000002
5374.302371252061,0.7823800000000002
5374.354656254692,0.7968300000000001
5374.406941257323,0.8110900000000002
5374.459226259954,0.8243000000000003
5374.511511262585,0.8382500000000003
5374.563796265216,0.8510200000000002
5374.616081267848,0.8642300000000003
5374.668366270479,0.8768500000000002
5374.72065127311,0.8879300000000002
5374.772936275742,0.8988800000000002
5374.825221278374,0.9093300000000002
5374.877506281004,0.9188200000000002
5374.9297912836355,0.9279500000000002
5374.982076286267,0.9364400000000002
5375.034361288897,0.9447400000000001
5375.086646291529,0.9523600000000001
5375.138931294161,0.9595100000000001
5375.191216296791,0.9660900000000001
5375.243501299423,0.9717500000000001
5375.295786302055,0.9766900000000001
5375.348071304685,0.98163
5375.4003563073165,0.98574
5375.452641309948,0.9895299999999999
5375.504926312578,0.9924399999999999
5375.55721131521,0.9949999999999999
5375.609496317842,0.9967399999999998
5375.661781320472,0.9982999999999999
5375.714066323104,0.9992099999999998
5375.766351325736,0.9997199999999998
5375.818636328366,0.9998699999999998
5375.870921330998,0.9999599999999998
5375.923206333629,0.9999999999999999
