cost,probability density
43339.29726966882,7.690529350268035e-08
43469.32733059891,3.845264675134017e-07
43599.357391529,3.845264675134017e-07
43729.387452459094,9.997688155348446e-07
43859.417513389184,1.0766741090375248e-06
43989.447574319274,2.2302535115776054e-06
44119.47763524937,3.5376435011232958e-06
44249.50769617946,3.9221699686366975e-06
44379.53775710955,6.4600446542251485e-06
44509.56781803964,7.459813469759994e-06
44639.59787896973,7.998150524278756e-06
44769.62793989982,1.107436226438597e-05
44899.65800082991,1.3535331656471741e-05
45029.68806176,1.822655456013524e-05
45159.718122690094,1.961084984318349e-05
45289.748183620184,2.3456114518317504e-05
45419.77824455028,2.645542096492056e-05
45549.80830548037,3.322308679315791e-05
45679.83836641046,3.660691970727585e-05
45809.86842734055,4.122123731743667e-05
45939.89848827064,4.7988903145672535e-05
46069.92854920073,5.2141788994817276e-05
46199.95861013082,5.5833243082945935e-05
46329.98867106091,6.275471949818716e-05
46460.018731991004,7.113739648997932e-05
46590.048792921094,7.498266116511333e-05
46720.078853851184,7.990459994928489e-05
46850.108914781275,9.251706808372444e-05
46980.138975711365,9.751591216139323e-05
47110.16903664146,0.00010043831331450054
47240.19909757155,0.00011258934968792403
47370.22915850164,0.00011235863380741599
47500.25921943173,0.00012512491252886094
47630.28928036182,0.00012897017720399495
47760.31934129191,0.0001388909600658407
47890.349402222004,0.00013981382358787287
48020.379463152094,0.00014558172060057388
48150.409524082184,0.00015442582935338214
48280.43958501228,0.00015550250346241097
48410.46964594237,0.00016880711923838337
48540.49970687246,0.0001655001916177681
48670.52976780255,0.00016696139219431902
48800.55982873264,0.00017557478506661923
48930.58988966273,0.00017665145917565678
49060.61995059282,0.0001796507656222613
49190.650011522914,0.00018288078794937386
49320.680072453004,0.00017918933386124522
49450.710133383094,0.00017918933386124522
49580.740194313184,0.0001846496096999355
49710.770255243275,0.0001824193561883578
49840.800316173365,0.00017949695503524586
49970.83037710346,0.0001811888714923149
50100.86043803355,0.00017395977390306295
50230.89049896364,0.00017634383800164602
50360.92055989373,0.00016803806630335657
50490.95062082382,0.00017249857332651204
50620.980681753914,0.0001601168210725805
50751.010742684004,0.00015873252578953224
50881.040803614094,0.00014965770115621594
51011.070864544185,0.00014819650057966503
51141.10092547428,0.00014150574004492394
51271.13098640437,0.0001385064335983273
51401.16104733446,0.0001307389989545566
51531.19110826455,0.00011874177316813846
51661.22116919464,0.00012158726902773763
51791.25123012473,0.00011120505440487579
51921.281291054824,0.00010536025209867209
52051.311351984914,9.897711273794962e-05
52181.341412915004,9.274778396423249e-05
52311.371473845094,8.644154989701271e-05
52441.401534775185,7.852030466623663e-05
52571.431595705275,7.267550236003293e-05
52701.461656635365,6.752284769535335e-05
52831.491717565455,6.206257185665958e-05
52961.52177849555,5.606395896345397e-05
53091.55183942564,4.991153548323955e-05
53221.58190035573,4.683532374313233e-05
53351.611961285824,4.245172201347955e-05
53481.642022215914,3.760668852281069e-05
53611.672083146004,3.1761886216606985e-05
53741.702144076095,2.9916159172542652e-05
53871.732205006185,2.7070663312943482e-05
54001.76226593628,2.199491394176535e-05
54131.79232686637,1.8534175734145964e-05
54261.82238779646,1.6919164570589674e-05
54391.85244872655,1.3612236949974422e-05
54521.88250965664,1.2920089308450297e-05
54651.91257058673,8.459582285294837e-06
54781.942631516824,8.536487578797518e-06
54911.972692446914,6.075518186711747e-06
55042.002753377004,4.998844077674223e-06
55172.032814307095,4.46050702315546e-06
55302.062875237185,2.6916852725938124e-06
55432.092936167275,2.460969392085771e-06
55562.122997097365,1.6919164570589676e-06
55692.153058027456,8.459582285294838e-07
55822.183118957546,1.2304846960428168e-06
55952.21317988764,1.538105870053607e-07
56082.243240817734,3.076211740107214e-07
56212.273301747824,3.076211740107214e-07
