folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_PV,f_WIND_ONSHORE,f_WIND_OFFSHORE,f_CCGT_AMMONIA,f_HYDRO_RIVER,f_CCGT,f_COAL_IGCC,f_COAL_US,f_GEOTHERMAL,f_NUCLEAR
33_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2140000000000002,849.726105,59.174998,10.0,6.0,0.771704,0.115,1e-06,0.0,0.0,0.0,0.0
34_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2240000000000002,844.873321,59.174998,10.0,6.0,0.770237,0.115,1e-06,0.0,0.0,0.0,0.0
35_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2340000000000002,844.87012,59.174999,10.0,6.0,0.770229,0.115,1e-06,0.0,0.0,0.0,0.0
36_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2440000000000002,844.880638,59.174986,10.0,6.0,0.770156,0.115,7e-06,0.0,0.0,0.0,0.0
37_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2540000000000002,844.662651,59.174997,10.0,6.0,0.770201,0.115,1e-06,0.0,0.0,0.0,0.0
38_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2640000000000002,836.698227,59.174999,10.0,6.0,0.769233,0.115,1e-06,0.0,0.0,0.0,0.0
39_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2740000000000002,836.696738,59.174998,10.0,6.0,0.76924,0.115,1e-06,0.0,0.0,0.0,0.0
40_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2840000000000005,836.688495,59.174996,10.0,6.0,0.769215,0.115,1e-06,0.0,0.0,0.0,0.0
41_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2940000000000005,830.226241,59.174997,10.0,6.0,0.770069,0.115,1e-06,0.0,0.0,0.0,0.0
42_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3040000000000005,826.654727,59.174998,10.0,6.0,0.769197,0.115,1e-06,0.0,0.0,0.0,0.0
43_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3140000000000005,818.886129,59.175,10.0,6.0,0.773395,0.115,0.0,0.0,0.0,0.0,0.0
44_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3240000000000005,811.719605,59.174993,10.0,6.0,0.77318,0.115,3e-06,0.0,0.0,0.0,0.0
45_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3340000000000003,811.681075,59.174998,10.0,6.0,0.773165,0.115,1e-06,0.0,0.0,0.0,0.0
46_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3440000000000003,811.685962,59.174996,10.0,6.0,0.773163,0.115,1e-06,0.0,0.0,0.0,0.0
47_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3540000000000003,811.676966,59.174997,10.0,6.0,0.77319,0.115,1e-06,0.0,0.0,0.0,0.0
48_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3640000000000003,796.073397,59.174989,10.0,6.0,0.776229,0.115,4e-06,0.0,0.0,0.0,0.0
49_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3740000000000003,793.719052,59.174991,10.0,6.0,0.776687,0.115,4e-06,0.0,0.0,0.0,0.0
50_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3840000000000003,788.193008,59.174994,10.0,6.0,0.777734,0.115,2e-06,0.0,0.0,0.0,0.0
51_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3940000000000003,788.225028,59.174989,10.0,6.0,0.777749,0.115,4e-06,0.0,0.0,0.0,0.0
52_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4040000000000004,788.197822,59.174986,10.0,6.0,0.777855,0.115,4e-06,0.0,0.0,0.0,0.0
53_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4140000000000004,788.192756,59.174996,10.0,6.0,0.777735,0.115,2e-06,0.0,0.0,0.0,0.0
54_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4240000000000004,785.596432,59.174999,10.0,6.0,0.779057,0.115,0.0,0.0,0.0,0.0,0.0
55_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4340000000000004,785.599247,59.174986,10.0,6.0,0.779051,0.115,5e-06,0.0,0.0,0.0,0.0
