folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_IND_DIRECT_ELEC,f_IND_BOILER_GAS,f_IND_COGEN_GAS,f_IND_BOILER_WOOD,f_IND_BOILER_OIL,f_IND_BOILER_WASTE,f_IND_BOILER_COAL,f_IND_COGEN_WOOD,f_IND_COGEN_WASTE
31_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1940000000000002,863.028571,17.697267,6.217716,5.216729,4.250782,1.2e-05,5e-06,3e-06,2e-06,0.0
32_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2040000000000002,854.612968,17.677896,6.219386,5.22033,4.260154,1.2e-05,5e-06,3e-06,2e-06,0.0
33_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2140000000000002,849.726105,17.669151,6.220211,5.222009,4.260454,5e-06,2e-06,1e-06,1e-06,0.0
34_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2240000000000002,844.873321,17.661514,6.220988,5.223541,4.258751,5e-06,2e-06,1e-06,1e-06,0.0
35_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2340000000000002,844.87012,17.661544,6.220986,5.223543,4.258735,3e-06,1e-06,1e-06,0.0,0.0
36_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2440000000000002,844.880638,17.661493,6.221002,5.223563,4.258335,4e-05,1.7e-05,1e-05,6e-06,1e-06
37_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2540000000000002,844.662651,17.661347,6.221024,5.223617,4.258672,6e-06,3e-06,2e-06,1e-06,0.0
38_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2640000000000002,836.698227,17.653465,6.222343,5.226325,4.255772,4e-06,2e-06,1e-06,1e-06,0.0
39_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2740000000000002,836.696738,17.653496,6.222345,5.226328,4.255816,4e-06,2e-06,1e-06,1e-06,0.0
40_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2840000000000005,836.688495,17.653528,6.222349,5.226334,4.255558,8e-06,4e-06,2e-06,1e-06,0.0
41_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.2940000000000005,830.226241,17.650226,6.223386,5.228523,4.253584,7e-06,3e-06,2e-06,1e-06,0.0
42_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3040000000000005,826.654727,17.647345,6.224184,5.230247,4.252295,5e-06,2e-06,1e-06,1e-06,0.0
43_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3140000000000005,818.886129,17.640941,6.225964,5.232792,4.297711,1e-06,0.0,0.0,0.0,0.0
44_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3240000000000005,811.719605,17.637711,6.227125,5.235046,4.295067,1.7e-05,8e-06,5e-06,3e-06,1e-06
45_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3340000000000003,811.681075,17.637552,6.227125,5.235086,4.29531,5e-06,2e-06,1e-06,1e-06,0.0
46_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3440000000000003,811.685962,17.637581,6.227125,5.235082,4.295282,8e-06,3e-06,2e-06,1e-06,0.0
47_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3540000000000003,811.676966,17.637587,6.227129,5.235088,4.295334,8e-06,3e-06,2e-06,1e-06,0.0
48_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3640000000000003,796.073397,17.629979,6.229657,5.240116,4.287816,2.7e-05,1.2e-05,7e-06,4e-06,1e-06
49_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3740000000000003,793.719052,17.6288,6.23003,5.240872,4.286653,2.4e-05,1e-05,6e-06,3e-06,1e-06
50_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3840000000000003,788.193008,17.625808,6.230921,5.242678,4.283872,1.3e-05,6e-06,3e-06,2e-06,1e-06
51_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.3940000000000003,788.225028,17.626065,6.230921,5.242671,4.283817,2.4e-05,1e-05,6e-06,3e-06,1e-06
52_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4040000000000004,788.197822,17.626132,6.23093,5.242676,4.283913,2.8e-05,1.2e-05,7e-06,4e-06,1e-06
53_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4140000000000004,788.192756,17.625757,6.23092,5.242679,4.283937,9e-06,4e-06,2e-06,1e-06,0.0
54_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4240000000000004,785.596432,17.624509,6.231187,5.243433,4.282844,2e-06,1e-06,0.0,0.0,0.0
55_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.4340000000000004,785.599247,17.624766,6.2312,5.243427,4.282515,3e-05,1.3e-05,8e-06,5e-06,1e-06
