folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_IND_DIRECT_ELEC,f_IND_BOILER_GAS,f_IND_COGEN_GAS,f_IND_BOILER_WOOD,f_IND_BOILER_OIL,f_IND_BOILER_WASTE,f_IND_BOILER_COAL,f_IND_COGEN_WOOD,f_IND_COGEN_WASTE
133_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2139999999999964,527.285769,17.438971,6.262911,5.321865,4.174205,2.8e-05,1.2e-05,7e-06,5e-06,1e-06
134_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.223999999999996,526.417692,17.435022,6.265123,5.321894,4.163767,4.5e-05,2e-05,1.1e-05,8e-06,2e-06
135_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.233999999999996,522.594035,17.425242,6.269669,5.321408,4.135022,0.000458,0.0002,0.000117,7.9e-05,1.8e-05
136_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.243999999999996,521.315737,17.421465,6.262319,5.324645,4.233038,6e-06,3e-06,2e-06,1e-06,0.0
137_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.253999999999996,521.519237,17.422214,6.266091,5.323408,4.17558,2.9e-05,1.3e-05,8e-06,5e-06,1e-06
138_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.263999999999996,521.292091,17.4212,6.267344,5.323201,4.162196,3e-05,1.3e-05,7e-06,5e-06,1e-06
139_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.273999999999995,520.83569,17.42005,6.266809,5.323655,4.166544,3.3e-05,1.4e-05,8e-06,5e-06,1e-06
140_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.283999999999995,520.019867,17.417528,6.263968,5.325009,4.209495,2.5e-05,1e-05,6e-06,4e-06,1e-06
141_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.2939999999999947,519.06978,17.414746,6.266338,5.324954,4.172176,3.2e-05,1.3e-05,8e-06,4e-06,1e-06
142_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3039999999999945,519.196352,17.41521,6.266233,5.324859,4.174876,2.6e-05,1.1e-05,7e-06,4e-06,1e-06
143_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3139999999999943,519.12613,17.415022,6.266181,5.32493,4.174817,3.7e-05,1.5e-05,9e-06,6e-06,1e-06
144_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.323999999999994,518.389223,17.413537,6.266846,5.325223,4.166815,3e-05,1.3e-05,8e-06,5e-06,1e-06
145_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.333999999999994,515.686732,17.410899,6.267253,5.326776,4.158158,5.9e-05,2.6e-05,1.5e-05,1.1e-05,2e-06
146_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3439999999999936,515.140428,17.409727,6.266698,5.32734,4.17391,2.6e-05,1.1e-05,6e-06,5e-06,1e-06
147_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.353999999999993,515.110133,17.409432,6.266952,5.327287,4.167826,2.6e-05,1.1e-05,7e-06,4e-06,1e-06
148_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.363999999999993,515.02307,17.408524,6.267947,5.327033,4.154796,3.1e-05,1.3e-05,8e-06,5e-06,1e-06
149_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.373999999999993,514.993659,17.409523,6.266672,5.327446,4.173906,3.3e-05,1.4e-05,9e-06,5e-06,1e-06
150_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.383999999999993,515.010712,17.408922,6.267517,5.327139,4.161137,2.2e-05,9e-06,5e-06,4e-06,1e-06
151_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.3939999999999926,512.684179,17.407074,6.268322,5.327692,4.155725,3.7e-05,1.6e-05,9e-06,5e-06,1e-06
152_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4039999999999924,512.550756,17.40694,6.268425,5.327606,4.156096,2.2e-05,9e-06,5e-06,4e-06,1e-06
153_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.413999999999992,508.719725,17.405371,6.268191,5.328439,4.157515,3.9e-05,1.7e-05,9e-06,7e-06,1e-06
154_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.423999999999992,508.559968,17.406224,6.26698,5.328555,4.173261,2.9e-05,1.2e-05,7e-06,5e-06,1e-06
155_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.433999999999992,508.550972,17.405818,6.267115,5.328652,4.171341,1e-05,4e-06,3e-06,2e-06,0.0
156_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4439999999999915,508.627074,17.405199,6.268226,5.328105,4.154321,3.3e-05,1.4e-05,8e-06,5e-06,1e-06
157_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4539999999999917,498.944931,17.402596,6.266237,5.328142,4.176454,2.4e-05,1e-05,6e-06,4e-06,1e-06
158_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.463999999999991,495.928573,17.402051,6.265685,5.327028,4.177299,4.1e-05,1.7e-05,1e-05,6e-06,1e-06
159_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.473999999999991,489.727117,17.399759,6.26492,5.326832,4.182893,1.3e-05,6e-06,3e-06,2e-06,1e-06
160_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4839999999999907,489.716503,17.399468,6.265387,5.327164,4.179332,2.5e-05,1e-05,6e-06,4e-06,1e-06
161_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,2.4939999999999904,488.175407,17.397741,6.270258,5.32507,4.12781,0.000288,0.000123,7.5e-05,4.7e-05,1.1e-05
162_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5039999999999902,487.612654,17.397455,6.266291,5.327519,4.168746,1.7e-05,7e-06,4e-06,3e-06,1e-06
163_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.51399999999999,487.659385,17.397549,6.266613,5.327052,4.162561,2.2e-05,1e-05,5e-06,4e-06,1e-06
164_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.52399999999999,480.439225,17.394579,6.265315,5.328737,4.180985,1.8e-05,7e-06,4e-06,3e-06,1e-06
165_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5339999999999896,480.027024,17.395663,6.263771,5.329378,4.204171,3.4e-05,1.5e-05,8e-06,6e-06,1e-06
166_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5439999999999894,480.184255,17.393841,6.266225,5.328394,4.166891,2.2e-05,1e-05,6e-06,4e-06,1e-06
167_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.553999999999989,478.457813,17.398387,6.258899,5.330555,4.269663,5e-06,2e-06,1e-06,1e-06,0.0
168_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.563999999999989,475.51652,17.393963,6.262812,5.330091,4.214593,2.2e-05,9e-06,5e-06,3e-06,1e-06
169_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5739999999999887,472.189173,17.390053,6.265508,5.330461,4.178938,2.9e-05,1.2e-05,7e-06,4e-06,1e-06
170_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5839999999999885,472.16847,17.39012,6.265479,5.330361,4.178938,3.1e-05,1.3e-05,7e-06,5e-06,1e-06
171_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.5939999999999883,471.892085,17.394502,6.259455,5.331883,4.263697,1.4e-05,6e-06,3e-06,2e-06,1e-06
172_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.603999999999988,460.676287,17.384934,6.264984,5.331958,4.178722,2.4e-05,1e-05,6e-06,4e-06,1e-06
173_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.613999999999988,460.890071,17.383251,6.269229,5.330524,4.123588,0.000185,7.8e-05,4.6e-05,3e-05,7e-06
174_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.623999999999988,460.724698,17.383924,6.26675,5.331124,4.151206,3e-05,1.3e-05,7e-06,5e-06,1e-06
175_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6339999999999875,459.344931,17.385645,6.26362,5.3319,4.191052,2.8e-05,1.2e-05,7e-06,4e-06,1e-06
176_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6439999999999872,458.332061,17.386689,6.261539,5.332435,4.217368,8e-06,3e-06,2e-06,1e-06,0.0
177_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.653999999999987,458.541438,17.3894,6.258079,5.333399,4.26969,1.4e-05,6e-06,3e-06,2e-06,1e-06
178_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.663999999999987,457.53926,17.388897,6.258028,5.333516,4.269569,7e-06,3e-06,2e-06,1e-06,0.0
179_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6739999999999866,454.00012,17.380852,6.266442,5.332083,4.157349,6.1e-05,2.5e-05,1.5e-05,1e-05,2e-06
180_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.6839999999999864,450.005492,17.387463,6.256267,5.333233,4.268234,4e-06,2e-06,1e-06,1e-06,0.0
181_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.693999999999986,439.158691,17.382517,6.255867,5.334195,4.245675,6e-06,2e-06,1e-06,1e-06,0.0
182_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.703999999999986,439.472162,17.380069,6.260093,5.332186,4.181331,3.3e-05,1.4e-05,8e-06,5e-06,1e-06
183_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7139999999999858,439.453001,17.379776,6.260313,5.332465,4.178962,3.2e-05,1.3e-05,8e-06,5e-06,1e-06
184_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.723999999999985,432.84605,17.378385,6.258541,5.33235,4.177458,4.4e-05,1.8e-05,1.1e-05,6e-06,1e-06
185_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7339999999999853,429.879181,17.379032,6.258603,5.329372,4.153938,0.000143,6.1e-05,3.5e-05,2.1e-05,5e-06
186_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.743999999999985,429.462303,17.377708,6.258544,5.329858,4.152696,4.1e-05,1.8e-05,1e-05,6e-06,1e-06
187_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.753999999999985,429.386341,17.378057,6.258281,5.329534,4.153689,3.2e-05,1.3e-05,8e-06,5e-06,1e-06
188_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7639999999999847,429.369579,17.377926,6.258416,5.329585,4.153582,4.1e-05,1.7e-05,1e-05,7e-06,2e-06
189_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7739999999999845,429.37486,17.377664,6.258577,5.329717,4.152185,3.6e-05,1.5e-05,8e-06,6e-06,1e-06
190_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.7839999999999843,429.339445,17.377739,6.258499,5.329603,4.153586,4.3e-05,1.8e-05,1e-05,7e-06,2e-06
191_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.793999999999984,419.973888,17.371084,6.261604,5.326143,4.070046,2.9e-05,1.2e-05,7e-06,4e-06,1e-06
192_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.803999999999984,418.898059,17.370828,6.261743,5.325286,4.071976,3.2e-05,1.3e-05,7e-06,6e-06,1e-06
193_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.813999999999984,413.497115,17.367193,6.262803,5.324406,4.055558,3.3e-05,1.3e-05,7e-06,6e-06,1e-06
194_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8239999999999834,413.497832,17.36704,6.262793,5.324367,4.057127,2.3e-05,1e-05,5e-06,4e-06,1e-06
195_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.833999999999983,413.436884,17.366646,6.262533,5.324516,4.062567,2.2e-05,9e-06,5e-06,4e-06,1e-06
196_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.843999999999983,413.328821,17.365886,6.262298,5.324618,4.072594,3.6e-05,1.5e-05,9e-06,5e-06,1e-06
197_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8539999999999828,413.342664,17.365899,6.262527,5.324619,4.069927,4.8e-05,2.1e-05,1.2e-05,8e-06,2e-06
198_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8639999999999826,413.359317,17.364948,6.263054,5.325606,4.067446,3.8e-05,1.6e-05,1e-05,6e-06,2e-06
199_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.8739999999999823,413.325806,17.365858,6.26227,5.324608,4.073082,1.8e-05,7e-06,4e-06,3e-06,1e-06
200_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.883999999999982,413.32232,17.3658,6.262277,5.324659,4.073585,2.8e-05,1.2e-05,7e-06,5e-06,1e-06
201_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.893999999999982,402.679693,17.356726,6.261823,5.326073,4.044008,2.5e-05,1.1e-05,6e-06,4e-06,1e-06
202_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9039999999999817,388.119436,17.346374,6.258792,5.326609,4.038143,6.5e-05,2.7e-05,1.5e-05,1.1e-05,3e-06
203_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.913999999999981,386.575987,17.344982,6.258127,5.326831,4.040071,3.8e-05,1.6e-05,1e-05,6e-06,1e-06
204_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9239999999999813,382.257214,17.341737,6.257175,5.327307,4.03987,3.4e-05,1.4e-05,8e-06,6e-06,1e-06
205_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.933999999999981,382.088197,17.341765,6.256403,5.327431,4.04098,7.7e-05,3.2e-05,2e-05,1.1e-05,3e-06
206_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.943999999999981,382.224028,17.341432,6.256374,5.327508,4.041809,2.3e-05,9e-06,5e-06,3e-06,1e-06
207_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9539999999999806,381.988755,17.341575,6.256208,5.327547,4.041424,4.3e-05,1.8e-05,1e-05,7e-06,2e-06
208_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.9639999999999804,379.01884,17.341585,6.256423,5.327283,4.042737,1.5e-05,6e-06,4e-06,2e-06,1e-06
209_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.97399999999998,361.275102,17.340439,6.25246,5.327861,4.042879,3e-05,1.3e-05,7e-06,5e-06,1e-06
210_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.98399999999998,355.593386,17.333352,6.250617,5.329609,4.043252,2.9e-05,1.3e-05,7e-06,5e-06,1e-06
211_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,2.99399999999998,347.826668,17.332589,6.249136,5.329708,4.042992,4.4e-05,1.9e-05,1.1e-05,7e-06,2e-06
212_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.00399999999998,346.243491,17.332491,6.249415,5.329565,4.04229,2.2e-05,1e-05,6e-06,4e-06,1e-06
213_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.01399999999998,343.547088,17.332788,6.248533,5.329488,4.042074,3.6e-05,1.6e-05,1e-05,6e-06,1e-06
214_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.023999999999979,337.753543,17.333689,6.248674,5.328384,4.03838,2.9e-05,1.2e-05,7e-06,5e-06,1e-06
215_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.033999999999979,332.997624,17.321738,6.248194,5.327585,4.040183,3.2e-05,1.4e-05,8e-06,6e-06,1e-06
216_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0439999999999787,318.411827,17.298851,6.246899,5.326071,4.048459,1.6e-05,7e-06,4e-06,3e-06,1e-06
217_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0539999999999785,316.870455,17.300809,6.249296,5.325203,4.027023,0.000109,4.5e-05,2.7e-05,1.6e-05,4e-06
218_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0639999999999783,315.130985,17.298678,6.246744,5.326441,4.048295,3.8e-05,1.6e-05,9e-06,6e-06,1e-06
219_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.073999999999978,309.639135,17.327665,6.246155,5.325951,4.041845,5.1e-05,2.2e-05,1.2e-05,8e-06,2e-06
220_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.083999999999978,305.693407,17.331515,6.245182,5.325221,4.050426,2.6e-05,1.1e-05,7e-06,4e-06,1e-06
221_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.0939999999999777,300.166228,17.331767,6.244676,5.324544,4.043039,1.6e-05,7e-06,4e-06,2e-06,1e-06
222_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.103999999999977,295.865575,17.330003,6.244428,5.324375,4.043037,1.5e-05,6e-06,4e-06,2e-06,1e-06
223_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.113999999999977,291.986004,17.327415,6.244662,5.324403,4.022037,3.7e-05,1.6e-05,9e-06,6e-06,1e-06
224_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.123999999999977,285.594276,17.323287,6.243832,5.324561,4.022572,2.6e-05,1.1e-05,6e-06,4e-06,1e-06
225_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.133999999999977,270.526919,17.325988,6.242821,5.321743,4.015122,3.6e-05,1.5e-05,9e-06,5e-06,1e-06
226_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1439999999999766,258.260482,17.328033,6.241721,5.319415,4.008695,2.4e-05,1e-05,6e-06,4e-06,1e-06
227_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1539999999999764,255.45648,17.328989,6.242584,5.318172,4.006251,7.8e-05,3.3e-05,2e-05,1.1e-05,3e-06
228_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.163999999999976,247.573573,17.329881,6.240618,5.317594,4.003589,4.6e-05,1.9e-05,1.1e-05,7e-06,2e-06
229_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.173999999999976,229.147029,17.332581,6.237608,5.314718,4.00734,3.1e-05,1.3e-05,7e-06,4e-06,1e-06
230_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.183999999999976,229.105313,17.332585,6.237296,5.314797,4.012543,2.8e-05,1.2e-05,7e-06,4e-06,1e-06
231_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.1939999999999755,225.162552,17.333933,6.237452,5.314154,4.007882,3.4e-05,1.5e-05,9e-06,5e-06,1e-06
232_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2039999999999758,218.870836,17.33529,6.235491,5.31377,4.026375,1.2e-05,5e-06,3e-06,2e-06,0.0
233_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.213999999999975,218.973433,17.335646,6.236146,5.313542,4.017964,3.9e-05,1.6e-05,1e-05,6e-06,1e-06
234_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.223999999999975,219.020995,17.335722,6.23641,5.313388,4.0166,2.6e-05,1.1e-05,7e-06,4e-06,1e-06
235_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2339999999999747,219.036747,17.33551,6.236535,5.313388,4.021124,3.2e-05,1.3e-05,8e-06,5e-06,1e-06
236_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2439999999999745,218.975208,17.335629,6.236506,5.313404,4.01335,4e-05,1.7e-05,1e-05,7e-06,2e-06
237_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2539999999999742,218.838076,17.335292,6.235523,5.313746,4.026439,1.2e-05,5e-06,3e-06,2e-06,0.0
238_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.263999999999974,216.566096,17.335708,6.235865,5.313798,4.046661,2.9e-05,1.2e-05,7e-06,5e-06,1e-06
239_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.273999999999974,215.892244,17.335517,6.235367,5.313983,4.028042,1.4e-05,6e-06,4e-06,2e-06,1e-06
240_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2839999999999736,212.940927,17.335728,6.234988,5.313985,4.029448,1e-06,0.0,0.0,0.0,0.0
241_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.2939999999999734,212.307457,17.335945,6.235324,5.313761,4.030434,2.3e-05,1e-05,5e-06,5e-06,1e-06
242_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.303999999999973,205.714908,17.33655,6.235082,5.313307,4.02693,3.4e-05,1.4e-05,8e-06,5e-06,1e-06
243_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.313999999999973,202.32492,17.337033,6.234655,5.312963,4.034116,2.7e-05,1.2e-05,7e-06,4e-06,1e-06
244_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3239999999999728,195.811168,17.337543,6.234031,5.312325,4.03411,1.1e-05,5e-06,3e-06,2e-06,0.0
245_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3339999999999725,191.971648,17.336795,6.234826,5.311936,4.035864,2.4e-05,1e-05,6e-06,4e-06,1e-06
246_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3439999999999723,191.745043,17.336238,6.235788,5.312078,4.050871,2.9e-05,1.2e-05,7e-06,4e-06,1e-06
247_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.353999999999972,191.713559,17.335922,6.23542,5.312278,4.037532,1.6e-05,7e-06,4e-06,3e-06,1e-06
248_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.363999999999972,186.504536,17.334571,6.236318,5.31175,4.066076,2.6e-05,1.1e-05,7e-06,5e-06,1e-06
249_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.373999999999972,186.419736,17.335114,6.236351,5.311852,4.040727,1.1e-05,5e-06,3e-06,2e-06,0.0
250_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3839999999999715,176.021859,17.333686,6.237026,5.311411,4.040917,2.8e-05,1.2e-05,7e-06,5e-06,1e-06
251_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3939999999999717,170.938948,17.308244,6.237146,5.311933,4.04301,7e-06,3e-06,2e-06,1e-06,0.0
252_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.403999999999971,170.547214,17.315434,6.239139,5.311463,4.016514,0.00016,6.6e-05,3.7e-05,2.5e-05,6e-06
253_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.413999999999971,170.486794,17.308045,6.2372,5.311965,4.040222,1.7e-05,7e-06,4e-06,3e-06,1e-06
254_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.42399999999997,158.219207,17.313733,6.24141,5.31185,4.017792,0.000219,9e-05,5.3e-05,3.5e-05,8e-06
255_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4339999999999704,157.22067,17.315797,6.238667,5.312473,4.059817,1.2e-05,5e-06,3e-06,2e-06,0.0
256_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.44399999999997,156.289157,17.311256,6.238956,5.313047,4.05436,2.3e-05,1e-05,6e-06,4e-06,1e-06
257_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.45399999999997,156.280838,17.314247,6.239043,5.312644,4.055836,3.4e-05,1.4e-05,8e-06,6e-06,1e-06
258_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4639999999999698,154.898356,17.321348,6.243199,5.311324,4.019014,0.000415,0.000174,0.000104,6.7e-05,1.5e-05
259_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4739999999999696,154.410811,17.310347,6.239219,5.313278,4.054358,2.1e-05,9e-06,5e-06,3e-06,1e-06
260_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4839999999999693,152.751945,17.314347,6.23911,5.313314,4.055077,8e-06,3e-06,2e-06,1e-06,0.0
261_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.493999999999969,152.748473,17.313367,6.239083,5.313315,4.054524,1.5e-05,6e-06,4e-06,2e-06,0.0
262_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.503999999999969,152.711514,17.315132,6.239102,5.313284,4.054731,2.1e-05,9e-06,5e-06,3e-06,1e-06
263_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.5139999999999687,151.659917,17.319048,6.238969,5.313303,4.044874,1.3e-05,5e-06,3e-06,2e-06,0.0
264_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.5239999999999685,150.448933,17.319613,6.238673,5.313157,4.049625,1.7e-05,7e-06,4e-06,3e-06,1e-06
265_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.5339999999999683,148.749486,17.31608,6.241991,5.31259,4.020589,0.000375,0.000153,9e-05,5.3e-05,1.2e-05
266_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.543999999999968,148.988246,17.316057,6.239408,5.313456,4.044767,4e-05,1.7e-05,1e-05,6e-06,1e-06
267_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.553999999999968,147.73449,17.313195,6.238765,5.313918,4.056288,1.6e-05,7e-06,4e-06,3e-06,1e-06
268_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.563999999999968,145.527355,17.317275,6.238626,5.313611,4.062889,1.1e-05,5e-06,3e-06,2e-06,0.0
269_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.5739999999999674,143.453003,17.320942,6.238785,5.313361,4.067497,1.7e-05,7e-06,4e-06,3e-06,1e-06
