folder,techno_modifiee,technology,f,gwp_constr
44_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.566042,1.3240000000000005
45_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.282119,1.3340000000000003
46_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.205938,1.3440000000000003
47_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,6.427581,1.3540000000000003
48_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.03396,1.3640000000000003
49_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.734956,1.3740000000000003
50_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.247488,1.3840000000000003
51_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.698116,1.3940000000000003
52_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.782743,1.4040000000000004
53_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.19119,1.4140000000000004
54_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.557812,1.4240000000000004
55_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.348196,1.4340000000000004
56_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.183154,1.4440000000000004
57_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.449214,1.4540000000000004
58_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.328262,1.4640000000000004
59_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,6.477737,1.4740000000000004
60_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.853248,1.4840000000000004
61_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.066784,1.4940000000000004
62_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.506813,1.5040000000000004
63_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,6.297844,1.5140000000000005
64_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.552639,1.5240000000000005
65_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.33474,1.5340000000000005
66_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.880862,1.5440000000000005
67_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.490227,1.5540000000000005
68_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.93698,1.5640000000000005
69_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,6.69818,1.5740000000000005
70_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.653828,1.5840000000000003
71_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.89836,1.5940000000000003
72_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.991491,1.6040000000000003
73_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.25941,1.6140000000000003
74_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.272782,1.6240000000000006
75_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.901958,1.6340000000000006
76_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.002698,1.6440000000000006
77_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.268055,1.6540000000000006
78_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.36469,1.6640000000000006
79_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.018646,1.6740000000000006
80_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.225963,1.6840000000000006
81_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.547199,1.6940000000000006
82_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.288142,1.7040000000000006
83_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.348613,1.7140000000000006
84_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.008726,1.7240000000000006
85_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.411981,1.7340000000000009
86_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.940064,1.7440000000000009
87_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.499017,1.754000000000001
88_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.045979,1.764000000000001
89_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.560468,1.774000000000001
90_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.396915,1.7840000000000007
91_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.464217,1.7940000000000007
92_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.378843,1.8040000000000007
93_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.713691,1.8140000000000007
94_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.350147,1.8240000000000007
95_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.439487,1.8340000000000007
96_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.14936,1.8440000000000007
97_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.3517,1.8540000000000008
98_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.522811,1.8640000000000008
99_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.073309,1.8740000000000008
100_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.947892,1.8840000000000008
101_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,10.221779,1.8940000000000008
102_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,5.391719,1.9040000000000008
103_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.914345,1.9140000000000008
104_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.676339,1.9240000000000008
105_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.488637,1.9340000000000008
106_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.570549,1.9440000000000008
107_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.908412,1.9540000000000008
108_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.380552,1.9640000000000009
109_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.141179,1.9740000000000009
110_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.12541,1.9840000000000009
111_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.90796,1.9940000000000009
112_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.593916,2.004000000000001
113_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.162427,2.0140000000000007
114_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.734799,2.0240000000000005
115_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.33041,2.0340000000000003
116_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.643193,2.044
117_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.837777,2.054
118_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.097528,2.064
119_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.831032,2.0739999999999994
120_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,7.878254,2.083999999999999
121_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.662281,2.093999999999999
122_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,9.51479,2.1039999999999988
123_Techno_TS_DHN_SEASONAL_gwp2,TS_DHN_SEASONAL,AMMONIA_TO_H2,8.641466,2.1139999999999985
