folder,techno_modifiee,technology,f,gwp_constr
Techno_BATT_LI_gwp11,BATT_LI,HABER_BOSCH,12.388119,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,HABER_BOSCH,12.604355,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,HABER_BOSCH,14.009119,21.3
Techno_BATT_LI_gwp26,BATT_LI,HABER_BOSCH,12.786301,26.3
Techno_BATT_LI_gwp31,BATT_LI,HABER_BOSCH,13.319615,31.3
Techno_BATT_LI_gwp36,BATT_LI,HABER_BOSCH,12.960125,36.3
Techno_BATT_LI_gwp41,BATT_LI,HABER_BOSCH,13.65247,41.3
Techno_BATT_LI_gwp46,BATT_LI,HABER_BOSCH,12.104926,46.3
Techno_BATT_LI_gwp51,BATT_LI,HABER_BOSCH,13.055353,51.3
Techno_BATT_LI_gwp56,BATT_LI,HABER_BOSCH,12.458841,56.3
Techno_BATT_LI_gwp61,BATT_LI,HABER_BOSCH,11.538123,61.3
Techno_BATT_LI_gwp0,BATT_LI,METHANE_TO_METHANOL,13.370632,0.0
Techno_BATT_LI_gwp1,BATT_LI,METHANE_TO_METHANOL,17.394756,1.2999999999999972
Techno_BATT_LI_gwp6,BATT_LI,METHANE_TO_METHANOL,13.955667,6.299999999999997
Techno_BATT_LI_gwp11,BATT_LI,METHANE_TO_METHANOL,14.821781,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,METHANE_TO_METHANOL,15.543166,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,METHANE_TO_METHANOL,17.044976,21.3
Techno_BATT_LI_gwp26,BATT_LI,METHANE_TO_METHANOL,15.149111,26.3
Techno_BATT_LI_gwp31,BATT_LI,METHANE_TO_METHANOL,15.644158,31.3
Techno_BATT_LI_gwp36,BATT_LI,METHANE_TO_METHANOL,15.891642,36.3
Techno_BATT_LI_gwp41,BATT_LI,METHANE_TO_METHANOL,16.042804,41.3
Techno_BATT_LI_gwp46,BATT_LI,METHANE_TO_METHANOL,14.324433,46.3
Techno_BATT_LI_gwp51,BATT_LI,METHANE_TO_METHANOL,15.525321,51.3
Techno_BATT_LI_gwp56,BATT_LI,METHANE_TO_METHANOL,14.767797,56.3
Techno_BATT_LI_gwp61,BATT_LI,METHANE_TO_METHANOL,13.835349,61.3
Techno_BATT_LI_gwp0,BATT_LI,METHANOL_TO_HVC,12.382786,0.0
Techno_BATT_LI_gwp1,BATT_LI,METHANOL_TO_HVC,14.213702,1.2999999999999972
Techno_BATT_LI_gwp6,BATT_LI,METHANOL_TO_HVC,12.753184,6.299999999999997
Techno_BATT_LI_gwp11,BATT_LI,METHANOL_TO_HVC,13.386285,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,METHANOL_TO_HVC,13.253443,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,METHANOL_TO_HVC,14.295731,21.3
Techno_BATT_LI_gwp26,BATT_LI,METHANOL_TO_HVC,13.55671,26.3
Techno_BATT_LI_gwp31,BATT_LI,METHANOL_TO_HVC,13.330059,31.3
Techno_BATT_LI_gwp36,BATT_LI,METHANOL_TO_HVC,13.475787,36.3
Techno_BATT_LI_gwp41,BATT_LI,METHANOL_TO_HVC,13.498594,41.3
Techno_BATT_LI_gwp46,BATT_LI,METHANOL_TO_HVC,12.415776,46.3
Techno_BATT_LI_gwp51,BATT_LI,METHANOL_TO_HVC,13.385749,51.3
Techno_BATT_LI_gwp56,BATT_LI,METHANOL_TO_HVC,12.943884,56.3
Techno_BATT_LI_gwp61,BATT_LI,METHANOL_TO_HVC,12.413727,61.3
Techno_BATT_LI_gwp0,BATT_LI,OIL_TO_HVC,24.266869,0.0
Techno_BATT_LI_gwp1,BATT_LI,OIL_TO_HVC,29.860993,1.2999999999999972
Techno_BATT_LI_gwp6,BATT_LI,OIL_TO_HVC,25.039553,6.299999999999997
Techno_BATT_LI_gwp11,BATT_LI,OIL_TO_HVC,25.570616,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,OIL_TO_HVC,25.55964,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,OIL_TO_HVC,29.711483,21.3
Techno_BATT_LI_gwp26,BATT_LI,OIL_TO_HVC,26.523087,26.3
Techno_BATT_LI_gwp31,BATT_LI,OIL_TO_HVC,26.882345,31.3
Techno_BATT_LI_gwp36,BATT_LI,OIL_TO_HVC,27.161521,36.3
Techno_BATT_LI_gwp41,BATT_LI,OIL_TO_HVC,27.476344,41.3
Techno_BATT_LI_gwp46,BATT_LI,OIL_TO_HVC,24.2586,46.3
Techno_BATT_LI_gwp51,BATT_LI,OIL_TO_HVC,26.746168,51.3
Techno_BATT_LI_gwp56,BATT_LI,OIL_TO_HVC,25.609431,56.3
Techno_BATT_LI_gwp61,BATT_LI,OIL_TO_HVC,23.815763,61.3
Techno_BATT_LI_gwp0,BATT_LI,PYROLYSIS_TO_FUELS,9.819485,0.0
Techno_BATT_LI_gwp1,BATT_LI,PYROLYSIS_TO_FUELS,12.361892,1.2999999999999972
Techno_BATT_LI_gwp6,BATT_LI,PYROLYSIS_TO_FUELS,10.378702,6.299999999999997
Techno_BATT_LI_gwp11,BATT_LI,PYROLYSIS_TO_FUELS,11.274114,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,PYROLYSIS_TO_FUELS,10.659432,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,PYROLYSIS_TO_FUELS,12.481496,21.3
Techno_BATT_LI_gwp26,BATT_LI,PYROLYSIS_TO_FUELS,11.595218,26.3
Techno_BATT_LI_gwp31,BATT_LI,PYROLYSIS_TO_FUELS,11.2819,31.3
Techno_BATT_LI_gwp36,BATT_LI,PYROLYSIS_TO_FUELS,11.487309,36.3
Techno_BATT_LI_gwp41,BATT_LI,PYROLYSIS_TO_FUELS,11.574738,41.3
Techno_BATT_LI_gwp46,BATT_LI,PYROLYSIS_TO_FUELS,9.95976,46.3
Techno_BATT_LI_gwp51,BATT_LI,PYROLYSIS_TO_FUELS,11.356361,51.3
Techno_BATT_LI_gwp56,BATT_LI,PYROLYSIS_TO_FUELS,10.630413,56.3
Techno_BATT_LI_gwp61,BATT_LI,PYROLYSIS_TO_FUELS,10.02694,61.3
Techno_BATT_LI_gwp0,BATT_LI,PYROLYSIS_TO_LFO,9.054677,0.0
Techno_BATT_LI_gwp1,BATT_LI,PYROLYSIS_TO_LFO,10.766132,1.2999999999999972
Techno_BATT_LI_gwp6,BATT_LI,PYROLYSIS_TO_LFO,9.480241,6.299999999999997
Techno_BATT_LI_gwp11,BATT_LI,PYROLYSIS_TO_LFO,10.867581,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,PYROLYSIS_TO_LFO,9.685689,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,PYROLYSIS_TO_LFO,11.340611,21.3
Techno_BATT_LI_gwp26,BATT_LI,PYROLYSIS_TO_LFO,10.936216,26.3
Techno_BATT_LI_gwp31,BATT_LI,PYROLYSIS_TO_LFO,10.523344,31.3
Techno_BATT_LI_gwp36,BATT_LI,PYROLYSIS_TO_LFO,10.436779,36.3
Techno_BATT_LI_gwp41,BATT_LI,PYROLYSIS_TO_LFO,10.892237,41.3
Techno_BATT_LI_gwp46,BATT_LI,PYROLYSIS_TO_LFO,9.23788,46.3
Techno_BATT_LI_gwp51,BATT_LI,PYROLYSIS_TO_LFO,10.634885,51.3
Techno_BATT_LI_gwp56,BATT_LI,PYROLYSIS_TO_LFO,9.747927,56.3
Techno_BATT_LI_gwp61,BATT_LI,PYROLYSIS_TO_LFO,9.333571,61.3
Techno_BATT_LI_gwp0,BATT_LI,SYN_METHANOLATION,9.614955,0.0
Techno_BATT_LI_gwp1,BATT_LI,SYN_METHANOLATION,11.642138,1.2999999999999972
Techno_BATT_LI_gwp6,BATT_LI,SYN_METHANOLATION,10.019659,6.299999999999997
Techno_BATT_LI_gwp11,BATT_LI,SYN_METHANOLATION,11.037261,11.299999999999995
Techno_BATT_LI_gwp16,BATT_LI,SYN_METHANOLATION,10.217107,16.299999999999997
Techno_BATT_LI_gwp21,BATT_LI,SYN_METHANOLATION,11.765929,21.3
Techno_BATT_LI_gwp26,BATT_LI,SYN_METHANOLATION,11.19762,26.3
Techno_BATT_LI_gwp31,BATT_LI,SYN_METHANOLATION,10.803328,31.3
Techno_BATT_LI_gwp36,BATT_LI,SYN_METHANOLATION,10.905316,36.3
Techno_BATT_LI_gwp41,BATT_LI,SYN_METHANOLATION,11.118063,41.3
Techno_BATT_LI_gwp46,BATT_LI,SYN_METHANOLATION,9.588422,46.3
Techno_BATT_LI_gwp51,BATT_LI,SYN_METHANOLATION,10.893899,51.3
Techno_BATT_LI_gwp56,BATT_LI,SYN_METHANOLATION,10.140476,56.3
Techno_BATT_LI_gwp61,BATT_LI,SYN_METHANOLATION,9.695425,61.3
Techno_BEV_BATT_gwp0,BEV_BATT,AMMONIA_TO_H2,0.000142,0.0
Techno_BEV_BATT_gwp1,BEV_BATT,AMMONIA_TO_H2,10.388204,1.2999999999999972
Techno_BEV_BATT_gwp6,BEV_BATT,AMMONIA_TO_H2,10.049876,6.299999999999997
Techno_BEV_BATT_gwp11,BEV_BATT,AMMONIA_TO_H2,9.860625,11.299999999999995
Techno_BEV_BATT_gwp16,BEV_BATT,AMMONIA_TO_H2,9.768124,16.299999999999997
Techno_BEV_BATT_gwp21,BEV_BATT,AMMONIA_TO_H2,9.851786,21.3
Techno_BEV_BATT_gwp26,BEV_BATT,AMMONIA_TO_H2,9.208764,26.3
Techno_BEV_BATT_gwp31,BEV_BATT,AMMONIA_TO_H2,9.814998,31.3
Techno_BEV_BATT_gwp36,BEV_BATT,AMMONIA_TO_H2,8.933855,36.3
Techno_BEV_BATT_gwp41,BEV_BATT,AMMONIA_TO_H2,9.193513,41.3
Techno_BEV_BATT_gwp46,BEV_BATT,AMMONIA_TO_H2,10.155184,46.3
Techno_BEV_BATT_gwp51,BEV_BATT,AMMONIA_TO_H2,9.782404,51.3
Techno_BEV_BATT_gwp56,BEV_BATT,AMMONIA_TO_H2,9.105594,56.3
Techno_BEV_BATT_gwp61,BEV_BATT,AMMONIA_TO_H2,8.668828,61.3
