;folder;gwp_op_GAS_RE;gwp_op_H2_RE;gwp_op_METHANOL_RE;gwp_op_AMMONIA_RE;GWP ND;f_BATT_LI;f_PHS;f_TS_DEC_HP_ELEC;f_TS_DHN_DAILY;f_TS_DHN_SEASONAL;f_TS_HIGH_TEMP;f_H2_STORAGE;f_DIESEL_STORAGE;f_GASOLINE_STORAGE;f_LFO_STORAGE;f_AMMONIA_STORAGE;f_METHANOL_STORAGE
31;H2_RE_0.08;0.08;0.07;0.1;0.05;0;1.1e-05;6.499365;62.757059;4.3e-05;569.339681;74.690291;0.000889;1.54317;1.570444;1.536538;1.534067;1.540119
32;METHANOL_RE_0.11;0.08;0.08;0.1;0.05;0;1.9e-05;6.386287;62.142329;6.5e-05;625.863509;74.76241;0.001519;2.127653;2.142359;2.141177;2.125333;2.128251
33;GAS_RE_0.09;0.08;0.08;0.11;0.05;0;3,00E-06;5.0;63.095974;1.5e-05;599.215011;60.045047;0.00025;0.386127;0.392537;0.381843;0.38322;5895.911704
34;AMMONIA_RE_0.06;0.09;0.08;0.11;0.05;0;3,00E-06;5.000001;53.810735;1.3e-05;561.636952;111.267746;0.000295;0.492544;0.497317;0.493426;0.492632;11344.979181
35;H2_RE_0.09;0.09;0.08;0.11;0.06;0;19.31239;6.499737;62.321136;8.2e-05;931.105694;65.922163;0.001456;2.633711;2.7424;2.647652;2.629791;3433.020272
36;GAS_RE_0.10;0.09;0.09;0.11;0.06;0;10.040076;6.499934;62.555177;4,00E-05;1019.383186;68.443955;0.000928;1.659852;1.67214;1.661635;1.659264;1.661752
37;AMMONIA_RE_0.07;0.1;0.09;0.11;0.06;0;8.9e-05;6.49983;55.700461;8,00E-05;878.777863;114.495272;0.001353;2.263544;2.307292;2.288703;2.270663;133.465883
38;IMPORTS_ND_0_00;0.1;0.09;0.11;0.06;0;29.505381;6.499981;60.862822;8,00E-05;1102.347876;75.821095;0.001354;0.463911;0.470685;0.472295;0.466656;269.367216
39;IMPORTS_ND_0_01;0.1;0.09;0.11;0.06;0.01;30.302438;6.499913;60.271929;8,00E-05;1102.189433;74.207886;0.001355;3.719671;3.743936;3.768023;3.733973;289.294569
40;IMPORTS_ND_0_02;0.1;0.09;0.11;0.06;0.02;30.304103;6.499962;60.261639;8,00E-05;1102.285817;74.205782;0.001356;0.999144;1.002906;1.002927;0.998062;289.160425
41;IMPORTS_ND_0_03;0.1;0.09;0.11;0.06;0.03;30.301645;6.499884;60.26185;8,00E-05;1102.263512;74.208084;0.001357;3.529891;3.565541;3.563697;3.536236;289.050805
42;IMPORTS_ND_0_04;0.1;0.09;0.11;0.06;0.04;30.159392;6.499956;61.880588;8,00E-05;1110.058527;72.193676;0.001358;1.786357;1.799206;1.810018;1.793871;303.231464
43;IMPORTS_ND_0_05;0.1;0.09;0.11;0.06;0.05;32.814065;6.499842;60.598738;8,00E-05;1077.182302;71.273211;0.001359;3.590446;3.623867;3.560293;3.565113;288.775378
44;IMPORTS_ND_0_06;0.1;0.09;0.11;0.06;0.06;39.724783;6.49974;60.365525;8,00E-05;1054.136808;75.113078;0.001360;5.621103;5.785041;5.350325;5.472802;5.559357
45;IMPORTS_ND_0_07;0.1;0.09;0.11;0.06;0.07;46.35131;6.499957;60.365522;8,00E-05;1003.826356;70.19502;0.001361;2.082122;2.098321;2.078945;2.079553;2.083165
46;IMPORTS_ND_0_08;0.1;0.09;0.11;0.06;0.08;46.351267;6.499917;60.365522;8,00E-05;1003.789813;70.195838;0.001362;0.709562;0.714532;0.688947;0.698544;0.702398
47;IMPORTS_ND_0_09;0.1;0.09;0.11;0.06;0.09;46.351423;6.499896;60.36553;8,00E-05;1003.806772;70.195539;0.001363;1.05023;1.05894;1.055668;1.052015;1.051402
