folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DHN_HP_ELEC,f_DHN_BOILER_GAS,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DHN_COGEN_WOOD,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DHN_DEEP_GEO
10_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.984,962.104433,8.929131,3.9e-05,3.6e-05,1.8e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
11_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,0.994,947.210714,8.898373,8e-06,7e-06,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.004,947.109488,8.898342,4e-05,3.8e-05,1.7e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
13_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.014,945.631525,8.89526,3e-05,2.8e-05,1.3e-05,3e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
14_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.024,945.512791,8.895076,3.4e-05,3.2e-05,1.5e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
15_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.034,923.142419,8.850346,1.2e-05,1.1e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
16_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.044,913.739958,8.833688,8e-06,8e-06,4e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
17_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.054,913.737425,8.834022,1.1e-05,1e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
18_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.064,901.662863,8.811408,3.7e-05,3.4e-05,1.6e-05,4e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
19_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.074,896.983672,8.778609,1.2e-05,1.2e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
20_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.084,893.286801,8.752616,5.4e-05,5e-05,2.4e-05,6e-06,3e-06,2e-06,2e-06,1e-06,1e-06,0.0
21_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.094,891.25311,8.738211,5.2e-05,5e-05,2.3e-05,6e-06,3e-06,2e-06,2e-06,1e-06,1e-06,0.0
22_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.104,891.281715,8.738601,4.2e-05,3.9e-05,1.8e-05,5e-06,2e-06,2e-06,1e-06,1e-06,1e-06,0.0
23_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.114,891.237927,8.738234,5.8e-05,5.4e-05,2.6e-05,7e-06,3e-06,3e-06,2e-06,1e-06,1e-06,0.0
24_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.124,886.879738,8.707195,4.7e-05,4.3e-05,2e-05,5e-06,3e-06,3e-06,1e-06,1e-06,1e-06,0.0
25_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.134,886.930722,8.707997,5.3e-05,5e-05,2.3e-05,6e-06,3e-06,3e-06,2e-06,1e-06,1e-06,0.0
26_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.144,882.603457,8.676427,0.000504,0.000456,0.00021,5.7e-05,2.7e-05,2.8e-05,1.5e-05,1.3e-05,9e-06,0.0
27_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.154,882.241763,8.675157,1.8e-05,1.7e-05,8e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0
28_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.164,882.311321,8.675654,5e-06,4e-06,2e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0
29_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.1740000000000002,870.473257,8.592581,1.3e-05,1.2e-05,5e-06,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
