name,First-order Sobol indices,Total-order Sobol indices  
c_op_hydrocarbons,0.720572,0.720572  
c_inv_car,0.064394,0.064394  
c_inv_e_prop,0.036629,0.036629  
f_max_nuc,0.029729,0.029729  
passenger_extra,0.029392,0.029392  
c_inv_ic_prop,0.026657,0.026657  
param_i_rate,0.021359,0.021359  
c_inv_truck,0.012877,0.012877  
c_inv_pv,0.011643,0.011643  
c_op_syn_fuels,0.010203,0.010203  
c_op_biomass,0.005734,0.005734  
c_op_electricity,0.005592,0.005592  
elec_extra,0.004792,0.004792  
freight_extra,0.003724,0.003724  
ht_extra,0.003555,0.003555  
avail_coal,0.002661,0.002661  
ned_extra,0.002589,0.002589  
f_max_pv,0.002382,0.002382  
cpt_winds,0.001291,0.001291  
sh_extra,0.001069,0.001069  
avail_biomass,0.000763,0.000763  
c_inv_wind_offshore,0.000564,0.000564  
avail_elec,0.000515,0.000515  
c_op_coal,0.000303,0.000303  
f_max_windon,0.000233,0.000233  
cpt_pv,0.000211,0.000211  
c_inv_dec_hp_elec,0.000137,0.000137  
f_max_windoff,0.000108,0.000108  
c_inv_fc_prop,0.000103,0.000103  
c_inv_h2_electrolysis,0.000084,0.000084  
c_inv_bus,0.000063,0.000063  
c_inv_wind_onshore,0.000035,0.000035  
avail_waste,0.000026,0.000026  
c_inv_dhn_hp_elec,0.000009,0.000009  
c_op_biofuels,0.000001,0.000001  
