Scenario,TechnoModifiee,GWP,Technology,Capacity
Techno_BATT_LI_gwp11,BATT_LI,11.0,TS_DEC_BOILER_WOOD,7e-05
Techno_BATT_LI_gwp11,BATT_LI,11.0,TS_DEC_BOILER_OIL,7e-05
Techno_BATT_LI_gwp11,BATT_LI,11.0,TS_DHN_DAILY,0.000172
Techno_BATT_LI_gwp11,BATT_LI,11.0,TS_DHN_SEASONAL,748.478822
Techno_BATT_LI_gwp11,BATT_LI,11.0,TS_HIGH_TEMP,70.33585
Techno_BATT_LI_gwp11,BATT_LI,11.0,GAS_STORAGE,0.002448
Techno_BATT_LI_gwp11,BATT_LI,11.0,H2_STORAGE,0.000451
Techno_BATT_LI_gwp11,BATT_LI,11.0,DIESEL_STORAGE,0.628965
Techno_BATT_LI_gwp11,BATT_LI,11.0,GASOLINE_STORAGE,0.630576
Techno_BATT_LI_gwp11,BATT_LI,11.0,LFO_STORAGE,0.633599
Techno_BATT_LI_gwp11,BATT_LI,11.0,AMMONIA_STORAGE,0.630499
Techno_BATT_LI_gwp11,BATT_LI,11.0,METHANOL_STORAGE,0.629907
Techno_BATT_LI_gwp16,BATT_LI,16.0,BATT_LI,66.269032
Techno_BATT_LI_gwp16,BATT_LI,16.0,BEV_BATT,2.4e-05
Techno_BATT_LI_gwp16,BATT_LI,16.0,PHEV_BATT,1.7e-05
Techno_BATT_LI_gwp16,BATT_LI,16.0,PHS,6.402992
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_DIRECT_ELEC,0.000386
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_HP_ELEC,53.810716
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_THHP_GAS,0.000387
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_COGEN_GAS,0.000385
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_COGEN_OIL,0.000385
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_ADVCOGEN_GAS,0.000383
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_ADVCOGEN_H2,0.000383
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_BOILER_GAS,0.000387
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_BOILER_WOOD,0.000387
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DEC_BOILER_OIL,0.000386
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DHN_DAILY,0.000862
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_DHN_SEASONAL,763.092899
Techno_BATT_LI_gwp16,BATT_LI,16.0,TS_HIGH_TEMP,70.302502
Techno_BATT_LI_gwp16,BATT_LI,16.0,GAS_STORAGE,0.009376
Techno_BATT_LI_gwp16,BATT_LI,16.0,H2_STORAGE,0.001878
Techno_BATT_LI_gwp16,BATT_LI,16.0,DIESEL_STORAGE,3.298322
Techno_BATT_LI_gwp16,BATT_LI,16.0,GASOLINE_STORAGE,3.352319
Techno_BATT_LI_gwp16,BATT_LI,16.0,LFO_STORAGE,3.2295
Techno_BATT_LI_gwp16,BATT_LI,16.0,AMMONIA_STORAGE,3.248338
Techno_BATT_LI_gwp16,BATT_LI,16.0,METHANOL_STORAGE,3.268533
Techno_BATT_LI_gwp21,BATT_LI,21.0,BATT_LI,60.737772
Techno_BATT_LI_gwp21,BATT_LI,21.0,BEV_BATT,2.8e-05
Techno_BATT_LI_gwp21,BATT_LI,21.0,PHEV_BATT,1.7e-05
Techno_BATT_LI_gwp21,BATT_LI,21.0,PHS,6.498131
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_DIRECT_ELEC,0.000414
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_HP_ELEC,53.810738
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_THHP_GAS,0.000415
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_COGEN_GAS,0.000414
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_COGEN_OIL,0.000413
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_ADVCOGEN_GAS,0.00041
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_ADVCOGEN_H2,0.000411
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_BOILER_GAS,0.000415
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_BOILER_WOOD,0.000415
Techno_BATT_LI_gwp21,BATT_LI,21.0,TS_DEC_BOILER_OIL,0.000415
