cost,probability density
36584.05791635939,1.4566226119411061e-07
36927.317725661465,2.3305961791057697e-07
37270.577534963544,3.2045697462704333e-07
37613.83734426562,9.905033761199522e-07
37957.0971535677,1.0487682805975963e-06
38300.35696286977,2.0101392044787692e-06
38643.61677217185,2.7093180582104577e-06
38986.87658147393,3.69982143433041e-06
39330.13639077601,5.651695734331492e-06
39673.39620007809,6.700464014929088e-06
40016.65600938017,9.555444334333656e-06
40359.915818682246,1.1303391468662984e-05
40703.175627984325,1.5556729495531014e-05
41046.4354372864,1.7654266056726208e-05
41389.69524658848,2.004312714030962e-05
41732.95505589056,2.6627061346283418e-05
42076.21486519264,2.7996286601508653e-05
42419.47467449471,2.98898959970315e-05
42762.73448379679,3.4609353259720684e-05
43105.99429309887,3.367711478807837e-05
43449.25410240095,3.8134379980618155e-05
43792.51391170303,3.9154015808976935e-05
44135.773721005105,3.854223431196167e-05
44479.033530307184,4.12224199179333e-05
44822.29333960926,3.938707542688751e-05
45165.553148911335,4.03484463507695e-05
45508.81295821341,4.192159877166503e-05
45852.07276751549,4.3116029313456744e-05
46195.33257681757,4.1775936510470924e-05
46538.59238611965,4.133894972688859e-05
46881.85219542173,4.282470479106852e-05
47225.11200472381,4.282470479106852e-05
47568.371814025886,4.3349088931367324e-05
47911.631623327965,4.340735383584496e-05
48254.891432630044,4.506790361345782e-05
48598.15124193212,4.4747446638830775e-05
48941.4110512342,4.471831418659196e-05
49284.67086053628,4.407740023733787e-05
49627.93066983836,4.5359228135847e-05
49971.19047914043,4.8534665429877656e-05
50314.45028844251,4.739849979256359e-05
50657.71009774459,4.626233415524953e-05
51000.96990704667,4.8418135620922366e-05
51344.229716348746,4.85929303343553e-05
51687.489525650824,4.8505532977638834e-05
52030.7493349529,5.0603069538834025e-05
52374.009144254975,5.1273115940328026e-05
52717.26895355705,5.039914237316227e-05
53060.52876285913,5.173923517614809e-05
53403.78857216121,4.996215558957994e-05
53747.04838146329,5.366197702391035e-05
54090.30819076537,5.208882460301395e-05
54433.56800006745,5.377850683286564e-05
54776.827809369526,5.284626836122333e-05
55120.087618671605,5.476901020898559e-05
55463.347427973684,5.264234119555158e-05
55806.60723727576,5.0806996704505775e-05
56149.86704657784,5.357457966719388e-05
56493.12685587992,5.284626836122333e-05
56836.386665182,5.220535441196924e-05
57179.64647448408,5.048653972987874e-05
57522.90628378616,4.870946014331162e-05
57866.16609308823,4.91173144746541e-05
58209.42590239031,4.480571154330843e-05
58552.685711692386,4.629146660748836e-05
58895.945520994464,4.366954590599436e-05
59239.205330296536,4.262077762539767e-05
59582.465139598615,4.061063842091804e-05
59925.72494890069,3.851310185972285e-05
60268.98475820277,3.527939966121359e-05
60612.24456750485,3.4696750616437144e-05
60955.50437680693,3.268661141195842e-05
61298.76418610901,2.9540306570165635e-05
61642.02399541109,2.9569439022404454e-05
61985.283804713166,2.6801856059716353e-05
62328.543614015245,2.5403498352252888e-05
62671.803423317324,2.1965868988071883e-05
63015.0632326194,2.0946233159713107e-05
63358.32304192148,1.9140021120906134e-05
63701.58285122356,1.634330570597921e-05
64044.84266052564,1.523627252090397e-05
64388.10246982772,1.2993073698514665e-05
64731.3622791298,1.2293894844783195e-05
65074.62208843187,1.069160997164772e-05
65417.88189773394,8.856265480602113e-06
65761.14170703602,7.749232295526684e-06
66104.4015163381,5.943020256719713e-06
66447.66132564018,5.069046689555049e-06
66790.92113494225,3.962013504479809e-06
67134.18094424433,3.204569746270434e-06
67477.44075354641,2.0975365611951926e-06
67820.70056284849,1.9810067522399044e-06
68163.96037215057,1.3109603507469956e-06
68507.22018145265,7.574437582093752e-07
68850.47999075473,5.826490447764425e-07
69193.7398000568,2.621920701493991e-07
69536.99960935889,2.621920701493991e-07
69880.25941866096,5.826490447764424e-08
70223.51922796304,5.826490447764424e-08
70566.77903726512,2.913245223882212e-08
