gwp_op,cumulative probability
18808.40216357403,4.9999999999999996e-05
18809.247798849625,0.00018999999999999998
18810.09343412522,0.00043000000000000004
18810.93906940082,0.00073
18811.784704676422,0.0012
18812.63033995202,0.00183
18813.47597522762,0.00277
18814.32161050322,0.00403
18815.167245778815,0.00553
18816.012881054412,0.0072900000000000005
18816.858516330016,0.009510000000000001
18817.704151605612,0.012310000000000001
18818.54978688121,0.015410000000000002
18819.39542215681,0.018930000000000002
18820.24105743241,0.023190000000000002
18821.086692708006,0.027770000000000003
18821.932327983606,0.03275
18822.777963259206,0.038650000000000004
18823.623598534803,0.045070000000000006
18824.4692338104,0.05206000000000001
18825.314869086003,0.05904000000000001
18826.1605043616,0.06685
18827.006139637197,0.07543000000000001
18827.851774912797,0.08470000000000001
18828.697410188397,0.09412000000000001
18829.543045463994,0.10388000000000001
18830.388680739594,0.11513000000000001
18831.234316015194,0.12627000000000002
18832.07995129079,0.13805000000000003
18832.925586566387,0.15007000000000004
18833.77122184199,0.16335000000000005
18834.616857117588,0.17670000000000005
18835.462492393184,0.19074000000000005
18836.308127668784,0.20492000000000005
18837.153762944385,0.22030000000000005
18837.99939821998,0.23596000000000006
18838.84503349558,0.25205000000000005
18839.69066877118,0.26885000000000003
18840.53630404678,0.28644000000000003
18841.381939322375,0.30456000000000005
18842.22757459798,0.32216000000000006
18843.073209873575,0.34081000000000006
18843.918845149172,0.36011000000000004
18844.764480424772,0.37935
18845.610115700372,0.39898
18846.45575097597,0.41845
18847.30138625157,0.43882
18848.14702152717,0.45948
18848.992656802766,0.48002
18849.838292078362,0.5
18850.683927353966,0.52115
18851.529562629563,0.54173
18852.37519790516,0.56144
18853.22083318076,0.5823
18854.06646845636,0.60192
18854.912103731956,0.6221
18855.757739007557,0.64132
18856.603374283157,0.65977
18857.449009558753,0.67863
18858.29464483435,0.6968399999999999
18859.140280109954,0.7144299999999999
18859.98591538555,0.7315799999999999
18860.831550661147,0.7482599999999999
18861.677185936747,0.7648499999999999
18862.522821212347,0.78053
18863.368456487944,0.7955399999999999
18864.214091763544,0.80973
18865.059727039144,0.82422
18865.90536231474,0.8374499999999999
18866.750997590338,0.8502
18867.59663286594,0.86254
18868.442268141538,0.87444
18869.287903417135,0.88571
18870.133538692735,0.89641
18870.979173968335,0.90615
18871.82480924393,0.91565
18872.670444519532,0.92482
18873.516079795132,0.9333699999999999
18874.36171507073,0.9410499999999999
18875.207350346325,0.94868
18876.05298562193,0.95519
18876.898620897526,0.96136
18877.744256173122,0.96719
18878.589891448722,0.97281
18879.435526724323,0.9772599999999999
18880.28116199992,0.9811699999999999
18881.12679727552,0.9848199999999999
18881.97243255112,0.98791
18882.818067826716,0.99054
18883.663703102313,0.9927699999999999
18884.509338377917,0.9945599999999999
18885.354973653513,0.9959099999999999
18886.20060892911,0.9971799999999998
18887.04624420471,0.9982099999999998
18887.89187948031,0.9987699999999998
18888.737514755907,0.9992599999999998
18889.583150031507,0.9996499999999998
18890.428785307107,0.9998399999999998
18891.274420582704,0.9999399999999998
18892.1200558583,0.9999999999999998
