gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_car_gasoline,gwp_car_HEV,gwp_car_PHEV,gwp_op
               276.156024,               344.556024,               308.151727,               433.903976,               728.621136,               298.198993,               528.530099,               441.902335,             21923.731624
               277.224774,               298.599774,               379.757977,               415.857101,               839.152386,               288.580243,               481.495724,               511.642960,             21923.731624
               345.624774,               366.999774,               311.357977,               338.857101,               681.952386,               356.980243,               585.295724,               615.442960,             21923.731624
               379.824774,               332.799774,               277.157977,               454.357101,               760.552386,               322.780243,               533.395724,               459.742960,             21923.731624
               311.424774,               401.199774,               345.557977,               377.357101,               917.752386,               391.180243,               429.595724,               563.542960,             21923.731624
               328.524774,               315.699774,               328.457977,               396.607101,               721.252386,               408.280243,               507.445724,               589.492960,             21923.731624
               396.924774,               384.099774,               396.857977,               319.607101,               878.452386,               339.880243,               611.245724,               485.692960,             21923.731624
               362.724774,               281.499774,               362.657977,               435.107101,               799.852386,               374.080243,               559.345724,               537.592960,             21923.731624
               294.324774,               349.899774,               294.257977,               358.107101,               642.652386,               305.680243,               455.545724,               433.792960,             21923.731624
               302.874774,               341.349774,               354.107977,               309.982101,               701.602386,               297.130243,               468.520724,               524.617960,             21923.731624
               371.274774,               409.749774,               285.707977,               386.982101,               858.802386,               365.530243,               572.320724,               420.817960,             21923.731624
               405.474774,               307.149774,               319.907977,               348.482101,               937.402386,               331.330243,               520.420724,               576.517960,             21923.731624
               337.074774,               375.549774,               388.307977,               425.482101,               780.202386,               399.730243,               416.620724,               472.717960,             21923.731624
               319.974774,               290.049774,               302.807977,               329.232101,               898.102386,               382.630243,               494.470724,               446.767960,             21923.731624
               388.374774,               358.449774,               371.207977,               406.232101,               740.902386,               314.230243,               598.270724,               550.567960,             21923.731624
               354.174774,               324.249774,               405.407977,               367.732101,               662.302386,               348.430243,               546.370724,               498.667960,             21923.731624
               285.774774,               392.649774,               337.007977,               444.732101,               819.502386,               280.030243,               442.570724,               602.467960,             21923.731624
               290.049774,               319.974774,               289.982977,               439.919601,               907.927386,               309.955243,               591.783224,               557.055460,             21923.731624
