cost,cumulative probability
34138.023816683286,3e-05
34435.42294148846,7e-05
34732.82206629364,9.999999999999999e-05
35030.22119109882,0.00013
35327.620315903994,0.00021999999999999998
35625.01944070917,0.00025
35922.418565514345,0.00033
36219.81769031953,0.00048
36517.2168151247,0.00071
36814.61593992988,0.0010500000000000002
37112.01506473505,0.0014400000000000003
37409.41418954023,0.0019500000000000003
37706.8133143454,0.0025200000000000005
38004.21243915058,0.003450000000000001
38301.61156395576,0.0045000000000000005
38599.010688760936,0.006090000000000001
38896.40981356611,0.008060000000000001
39193.80893837129,0.010560000000000002
39491.20806317647,0.013720000000000001
39788.607187981645,0.01779
40086.00631278682,0.02283
40383.405437591995,0.02862
40680.80456239717,0.0358
40978.203687202345,0.0443
41275.60281200752,0.0538
41573.0019368127,0.06498999999999999
41870.40106161788,0.07841999999999999
42167.800186423054,0.09240999999999999
42465.199311228236,0.10833
42762.59843603341,0.1265
43059.99756083859,0.14559
43357.39668564376,0.16701
43654.79581044894,0.1896
43952.19493525411,0.21326
44249.59406005929,0.23878
44546.99318486446,0.26522999999999997
44844.392309669645,0.29430999999999996
45141.79143447482,0.32331999999999994
45439.190559279996,0.35264999999999996
45736.58968408518,0.38242999999999994
46033.98880889035,0.41246999999999995
46331.38793369553,0.44299999999999995
46628.787058500704,0.47348999999999997
46926.18618330588,0.50363
47223.585308111054,0.53372
47520.98443291623,0.56373
47818.383557721405,0.5924499999999999
48115.78268252659,0.6216299999999999
48413.18180733176,0.6495299999999999
48710.580932136945,0.6761499999999999
49007.98005694212,0.7018199999999999
49305.379181747296,0.7261799999999999
49602.77830655247,0.75023
49900.177431357646,0.77245
50197.57655616282,0.7938
50494.975680968,0.81375
50792.37480577317,0.83193
51089.77393057835,0.84849
51387.17305538353,0.86459
51684.572180188705,0.8790899999999999
51981.97130499389,0.89243
52279.37042979906,0.90462
52576.76955460424,0.91603
52874.16867940941,0.92665
53171.56780421459,0.9355899999999999
53468.96692901976,0.94395
53766.36605382494,0.95148
54063.765178630114,0.95777
54361.1643034353,0.9637
54658.56342824047,0.96888
54955.962553045654,0.9735199999999999
55253.36167785083,0.9774799999999999
55550.760802656005,0.9807899999999999
55848.15992746118,0.9838499999999999
56145.559052266355,0.9864799999999999
56442.95817707153,0.9886699999999999
56740.357301876706,0.9906799999999999
57037.75642668188,0.9923399999999999
57335.155551487056,0.9935699999999998
57632.55467629224,0.9948499999999998
57929.953801097414,0.9957999999999998
58227.352925902596,0.9965799999999998
58524.75205070777,0.9973999999999998
58822.15117551295,0.9979799999999999
59119.55030031812,0.9984299999999998
59416.9494251233,0.9987499999999998
59714.34854992847,0.9990599999999998
60011.74767473365,0.9992499999999999
60309.14679953882,0.9994399999999999
60606.545924344,0.9995999999999999
60903.94504914918,0.99974
61201.344173954356,0.99981
61498.74329875954,0.99989
61796.142423564714,0.9999199999999999
62093.54154836989,0.9999299999999999
62390.940673175064,0.9999499999999999
62688.33979798024,0.9999599999999998
62985.738922785415,0.9999699999999998
63283.13804759059,0.9999799999999998
63580.537172395765,0.9999999999999998
