c_op_electricity,c_op_syn_H2,c_inv_car,c_inv_e_prop,f_max_nuc,c_op_syn_CH4,c_op_syn_methanol,c_op_syn_ammoniac,cost
                -0.372334,                -0.372334,                 0.021839,                -0.150681,                 1.916053,                 0.727678,                 0.372452,                -0.457309,             42057.146488
                 0.313666,                 0.313666,                -0.211161,                 0.245319,                 4.726053,                 0.041678,                -0.313548,                 0.228691,             44845.188172
                 0.656666,                -0.029334,                -0.094661,                -0.348681,                 3.321053,                 0.384678,                 0.029452,                -0.114309,             43927.089162
                -0.029334,                 0.656666,                 0.138339,                 0.047319,                 0.511053,                -0.301322,                 0.715452,                 0.571691,             49259.005623
                 0.142166,                 0.142166,                -0.152911,                -0.051681,                 4.023553,                -0.472822,                 0.543952,                 0.400191,             42364.288827
                 0.828166,                 0.828166,                 0.080089,                 0.344319,                 1.213553,                 0.213178,                -0.142048,                -0.285809,             49216.228922
                 0.485166,                -0.200834,                 0.196589,                -0.249681,                 2.618553,                -0.129822,                 0.200952,                 0.743191,             48187.633690
                -0.200834,                 0.485166,                -0.036411,                 0.146319,                 5.428553,                 0.556178,                 0.886952,                 0.057191,             50185.493676
                -0.286584,                -0.115084,                 0.167464,                 0.393819,                 4.374803,                 0.641928,                 0.286702,                 0.828941,             51353.046939
                 0.399416,                 0.570916,                -0.065536,                -0.002181,                 1.564803,                -0.044072,                -0.399298,                 0.142941,             46057.429947
                 0.742416,                -0.458084,                -0.182036,                 0.195819,                 0.159803,                 0.298928,                -0.056298,                 0.485941,             46484.437843
                 0.056416,                 0.227916,                 0.050964,                -0.200181,                 2.969803,                -0.387072,                 0.629702,                -0.200059,             43965.750688
                -0.115084,                -0.286584,                -0.007286,                 0.294819,                 0.862303,                -0.215572,                 0.458202,                -0.028559,             48785.942081
                 0.570916,                 0.399416,                 0.225714,                -0.101181,                 3.672303,                 0.470428,                -0.227798,                 0.657441,             48965.284083
                 0.227916,                 0.056416,                 0.109214,                 0.096819,                 5.077303,                 0.127428,                 0.115202,                -0.371559,             46365.949855
                -0.458084,                 0.742416,                -0.123786,                -0.299181,                 2.267303,                 0.813428,                 0.801202,                 0.314441,             48796.408792
                -0.452724,                -0.313381,                 0.012737,                 0.038037,                 5.143163,                 0.432912,                -0.125970,                 0.523456,             42772.967759
                 0.233276,                 0.372619,                 0.245737,                -0.357963,                 2.333163,                -0.253088,                 0.560030,                -0.162544,             46249.710568
                 0.576276,                 0.029619,                 0.129237,                 0.236037,                 0.928163,                 0.775912,                 0.217030,                 0.866456,             55853.607820
                -0.109724,                 0.715619,                -0.103763,                -0.159963,                 3.738163,                 0.089912,                -0.468970,                 0.180456,             41132.160214
                 0.061776,                 0.201119,                 0.187487,                 0.137037,                 0.225663,                -0.081588,                 0.045530,                -0.334044,             49181.616767
                 0.747776,                 0.887119,                -0.045513,                -0.258963,                 3.035663,                 0.604412,                 0.731530,                 0.351956,             52650.738126
                 0.404776,                -0.141881,                -0.162013,                 0.335037,                 4.440663,                -0.424588,                 0.388530,                 0.008956,             45274.017579
                -0.281224,                 0.544119,                 0.070987,                -0.060963,                 1.630663,                 0.261412,                -0.297470,                 0.694956,             46460.171430
                -0.195474,                -0.056131,                -0.132888,                -0.209463,                 2.684413,                 0.347162,                -0.040220,                -0.076794,             42979.158450
                 0.490526,                 0.629869,                 0.100112,                 0.186537,                 5.494413,                -0.338838,                 0.645780,                 0.609206,             48381.245608
                 0.833526,                -0.399131,                 0.216612,                -0.011463,                 4.089413,                 0.690162,                 0.302780,                -0.419794,             44956.401050
                 0.147526,                 0.286869,                -0.016388,                 0.384537,                 1.279413,                 0.004162,                -0.383220,                 0.266206,             49140.072800
                -0.023974,                -0.227631,                 0.041862,                -0.308463,                 3.386913,                 0.175662,                 0.131280,                 0.780706,             44492.683011
                 0.662026,                 0.458369,                -0.191138,                 0.087537,                 0.576913,                 0.861662,                 0.817280,                 0.094706,             54745.711397
                 0.319026,                 0.115369,                -0.074638,                -0.110463,                 1.981913,                -0.167338,                 0.474280,                 0.437706,             48485.077584
                -0.366974,                 0.801369,                 0.158362,                 0.285537,                 4.791913,                 0.518662,                -0.211720,                -0.248294,             46073.112509
                -0.324099,                 0.072494,                 0.085550,                 0.310287,                 3.562538,                 0.818787,                 0.602905,                 0.051831,             51561.634292
                 0.361901,                 0.758494,                -0.147450,                -0.085713,                 0.752538,                 0.132787,                -0.083095,                 0.737831,             49000.959167
                 0.704901,                -0.270506,                -0.030950,                 0.112287,                 2.157538,                 0.475787,                -0.426095,                -0.291169,             43905.755185
                 0.018901,                 0.415494,                 0.202050,                -0.283713,                 4.967538,                -0.210213,                 0.259905,                 0.394831,             45774.244594
                 0.190401,                -0.442006,                -0.205700,                 0.211287,                 1.455038,                -0.381713,                 0.774405,                 0.566331,             44648.201170
                 0.876401,                 0.243994,                 0.027300,                -0.184713,                 4.265038,                 0.304287,                 0.088405,                -0.119669,             45845.633138
                 0.533401,                -0.099006,                 0.143800,                 0.013287,                 2.860038,                -0.038713,                -0.254595,                 0.223331,             48023.056923
                -0.152599,                 0.586994,                -0.089200,                -0.382713,                 0.050038,                 0.647287,                 0.431405,                -0.462669,             41808.010942
                -0.238349,                -0.184756,                 0.231175,                -0.135213,                 1.103788,                 0.561537,                 0.688655,                 0.309081,             48856.951996
