gwp_op,cumulative probability
3869.832486822937,0.00016999999999999999
3869.8956733512623,0.00071
3869.958859879587,0.0015300000000000001
3870.022046407912,0.00295
3870.085232936237,0.00471
3870.1484194645623,0.00678
3870.2116059928876,0.0094
3870.2747925212125,0.01247
3870.3379790495374,0.0155
3870.4011655778622,0.01993
3870.4643521061876,0.023809999999999998
3870.5275386345124,0.02831
3870.5907251628378,0.033909999999999996
3870.6539116911626,0.03958999999999999
3870.7170982194875,0.04462999999999999
3870.7802847478124,0.05135999999999999
3870.8434712761377,0.05822999999999999
3870.9066578044626,0.06527
3870.969844332788,0.0727
3871.033030861113,0.08106
3871.0962173894377,0.08928
3871.159403917763,0.09822
3871.222590446088,0.1076
3871.2857769744132,0.11719
3871.348963502738,0.12703
3871.412150031063,0.13799
3871.475336559388,0.14862
3871.538523087713,0.15977
3871.601709616038,0.17207999999999998
3871.6648961443634,0.18391
3871.7280826726883,0.1964
3871.791269201013,0.20961
3871.8544557293385,0.22336999999999999
3871.9176422576634,0.23637
3871.9808287859887,0.25101
3872.0440153143136,0.26641000000000004
3872.1072018426385,0.28089000000000003
3872.1703883709633,0.29637
3872.2335748992887,0.31273
3872.2967614276135,0.32838
3872.359947955939,0.34489000000000003
3872.4231344842638,0.36327000000000004
3872.4863210125886,0.37988000000000005
3872.5495075409135,0.39747000000000005
3872.612694069239,0.41548000000000007
3872.675880597564,0.4324800000000001
3872.739067125889,0.4497700000000001
3872.802253654214,0.4678000000000001
3872.865440182539,0.4854000000000001
3872.928626710864,0.5025700000000001
3872.991813239189,0.52014
3873.0549997675143,0.5377500000000001
3873.118186295839,0.55532
3873.181372824164,0.5729000000000001
3873.244559352489,0.59062
3873.3077458808143,0.60753
3873.3709324091396,0.62497
3873.4341189374645,0.6428900000000001
3873.4973054657894,0.6594800000000001
3873.5604919941143,0.6761400000000001
3873.6236785224396,0.69313
3873.6868650507645,0.70825
3873.75005157909,0.72341
3873.8132381074147,0.73897
3873.8764246357396,0.75333
3873.9396111640644,0.7673000000000001
3874.00279769239,0.7814000000000001
3874.0659842207147,0.7943600000000001
3874.12917074904,0.8073400000000001
3874.192357277365,0.81991
3874.2555438056897,0.83204
3874.318730334015,0.84337
3874.38191686234,0.85452
3874.4451033906653,0.86552
3874.50828991899,0.87601
3874.571476447315,0.88579
3874.63466297564,0.89581
3874.6978495039652,0.90477
3874.76103603229,0.9129999999999999
3874.8242225606155,0.92177
3874.8874090889403,0.92925
3874.950595617265,0.93699
3875.0137821455905,0.94401
3875.0769686739154,0.9506100000000001
3875.1401552022407,0.9566600000000001
3875.2033417305656,0.9628700000000001
3875.2665282588905,0.9680100000000001
3875.3297147872154,0.9729000000000001
3875.3929013155407,0.9775000000000001
3875.4560878438656,0.9814800000000001
3875.519274372191,0.9852300000000002
3875.582460900516,0.9886500000000001
3875.6456474288407,0.9913400000000001
3875.7088339571656,0.9938200000000001
3875.772020485491,0.9960100000000002
3875.835207013816,0.9974600000000001
3875.898393542141,0.9987200000000002
3875.961580070466,0.9995900000000002
3876.024766598791,0.9998900000000002
3876.087953127116,1.0000000000000002
