gwp_batt_li,gwp_bev_batt,gwp_phev_batt,gwp_phs,gwp_ts_dec_direct_elec,gwp_ts_dec_hp_elec,gwp_ts_dec_thhp_gas,gwp_ts_dec_cogen_gas,gwp_ts_dec_cogen_oil,gwp_ts_dec_advcogen_gas,gwp_ts_dec_advcogen_h2,gwp_ts_dec_boiler_gas,gwp_ts_dec_boiler_wood,gwp_ts_dec_boiler_oil,gwp_ts_dhn_daily,gwp_ts_dhn_seasonal,gwp_ts_high_temp,gwp_gas_storage,gwp_h2_storage,gwp_diesel_storage,gwp_gasoline_storage,gwp_lfo_storage,gwp_ammonia_storage,gwp_methanol_storage,gwp_co2_storage,gwp_op
                17.043029,                63.018029,                63.514523,                12.297891,                46.378062,                 0.057690,                 0.257595,                 0.088587,                 0.416732,                 0.009205,                 0.008699,                 0.329805,                 0.023560,                 0.748331,                 0.042889,                 0.088146,                 0.570238,                 0.066613,                 0.111591,                 0.151952,                 0.133522,                 0.105868,                 0.041110,                 0.196117,                 0.122268,              5375.954253
                17.761389,                32.128576,               142.815304,                10.833633,                80.054234,                 0.045983,                 0.175693,                 0.189368,                 0.161849,                 0.004365,                 0.004844,                 0.465860,                 0.030592,                 0.191690,                 0.041914,                 0.114471,                 0.359300,                 0.235106,                 0.123895,                 0.171288,                 0.079030,                 0.188485,                 0.113180,                 0.074828,                 0.099417,              5377.696475
                63.736389,                78.103576,                67.065304,                 4.586133,                32.159234,                 0.129233,                 0.356443,                 0.339368,                 0.349349,                 0.009615,                 0.010094,                 0.263360,                 0.060592,                 0.566690,                 0.104314,                 0.052071,                 0.659300,                 0.116606,                 0.236395,                 0.058788,                 0.191530,                 0.075985,                 0.225680,                 0.187328,                 0.196917,              5368.697245
                86.723889,                55.116076,                29.190304,                13.957383,                56.106734,                 0.087608,                 0.266068,                 0.114368,                 0.068099,                 0.012240,                 0.002219,                 0.162110,                 0.015592,                 0.754190,                 0.073114,                 0.020871,                 0.509300,                 0.175856,                 0.180145,                 0.227538,                 0.247780,                 0.244735,                 0.169430,                 0.131078,                 0.050667,              5379.710535
