gwp_car_diesel,gwp_car_ng,gwp_car_methanol,gwp_car_bev,gwp_car_fuel_cell,gwp_car_gasoline,gwp_car_HEV,gwp_car_PHEV,gwp_op
               283.637274,               283.637274,               343.420477,               355.700851,               735.989886,               393.317743,               543.126974,               417.574210,              5945.740177
               352.037274,               352.037274,               275.020477,               432.700851,               893.189886,               324.917743,               439.326974,               521.374210,              5945.740177
               386.237274,               317.837274,               309.220477,               317.200851,               814.589886,               359.117743,               491.226974,               469.474210,              5945.740177
               317.837274,               386.237274,               377.620477,               394.200851,               657.389886,               290.717743,               595.026974,               573.274210,              5945.740177
               334.937274,               334.937274,               292.120477,               374.950851,               853.889886,               273.617743,               569.076974,               547.324210,              5945.740177
               403.337274,               403.337274,               360.520477,               451.950851,               696.689886,               342.017743,               465.276974,               443.524210,              5945.740177
               369.137274,               300.737274,               394.720477,               336.450851,               775.289886,               307.817743,               517.176974,               599.224210,              5945.740177
               300.737274,               369.137274,               326.320477,               413.450851,               932.489886,               376.217743,               620.976974,               495.424210,              5945.740177
               292.187274,               309.287274,               386.170477,               461.575851,               873.539886,               384.767743,               530.151974,               612.199210,              5945.740177
               360.587274,               377.687274,               317.770477,               384.575851,               716.339886,               316.367743,               426.351974,               508.399210,              5945.740177
               394.787274,               275.087274,               283.570477,               423.075851,               637.739886,               350.567743,               478.251974,               560.299210,              5945.740177
               326.387274,               343.487274,               351.970477,               346.075851,               794.939886,               282.167743,               582.051974,               456.499210,              5945.740177
               309.287274,               292.187274,               334.870477,               442.325851,               677.039886,               299.267743,               556.101974,               482.449210,              5945.740177
               377.687274,               360.587274,               403.270477,               365.325851,               834.239886,               367.667743,               452.301974,               586.249210,              5945.740177
               343.487274,               326.387274,               369.070477,               403.825851,               912.839886,               333.467743,               504.201974,               430.549210,              5945.740177
               275.087274,               394.787274,               300.670477,               326.825851,               755.639886,               401.867743,               608.001974,               534.349210,              5945.740177
               275.621649,               289.515399,               340.748602,               392.396164,               916.524261,               363.927118,               467.709787,               565.975772,              5945.740177
               344.021649,               357.915399,               409.148602,               315.396164,               759.324261,               295.527118,               571.509787,               462.175772,              5945.740177
               378.221649,               323.715399,               374.948602,               430.896164,               680.724261,               398.127118,               519.609787,               617.875772,              5945.740177
               309.821649,               392.115399,               306.548602,               353.896164,               837.924261,               329.727118,               415.809787,               514.075772,              5945.740177
               326.921649,               340.815399,               392.048602,               411.646164,               641.424261,               312.627118,               493.659787,               436.225772,              5945.740177
               395.321649,               409.215399,               323.648602,               334.646164,               798.624261,               381.027118,               597.459787,               540.025772,              5945.740177
               361.121649,               306.615399,               289.448602,               450.146164,               877.224261,               278.427118,               545.559787,               488.125772,              5945.740177
               292.721649,               375.015399,               357.848602,               373.146164,               720.024261,               346.827118,               441.759787,               591.925772,              5945.740177
               301.271649,               315.165399,               297.998602,               344.271164,               778.974261,               355.377118,               480.684787,               475.150772,              5945.740177
               369.671649,               383.565399,               366.398602,               421.271164,               936.174261,               286.977118,               584.484787,               578.950772,              5945.740177
               403.871649,               280.965399,               400.598602,               382.771164,               857.574261,               389.577118,               532.584787,               423.250772,              5945.740177
               335.471649,               349.365399,               332.198602,               459.771164,               700.374261,               321.177118,               428.784787,               527.050772,              5945.740177
               318.371649,               298.065399,               349.298602,               325.021164,               818.274261,               338.277118,               506.634787,               604.900772,              5945.740177
               386.771649,               366.465399,               280.898602,               402.021164,               661.074261,               406.677118,               610.434787,               501.100772,              5945.740177
               352.571649,               332.265399,               315.098602,               363.521164,               739.674261,               304.077118,               558.534787,               553.000772,              5945.740177
               284.171649,               400.665399,               383.498602,               440.521164,               896.874261,               372.477118,               454.734787,               449.200772,              5945.740177
               288.446649,               327.990399,               362.123602,               445.333664,               828.099261,               402.402118,               577.997287,               494.613272,              5945.740177
               356.846649,               396.390399,               293.723602,               368.333664,               670.899261,               334.002118,               474.197287,               598.413272,              5945.740177
               391.046649,               293.790399,               327.923602,               406.833664,               749.499261,               368.202118,               422.297287,               442.713272,              5945.740177
               322.646649,               362.190399,               396.323602,               329.833664,               906.699261,               299.802118,               526.097287,               546.513272,              5945.740177
               339.746649,               276.690399,               276.623602,               426.083664,               710.199261,               282.702118,               603.947287,               572.463272,              5945.740177
               408.146649,               345.090399,               345.023602,               349.083664,               867.399261,               351.102118,               500.147287,               468.663272,              5945.740177
               373.946649,               310.890399,               379.223602,               387.583664,               788.799261,               316.902118,               448.247287,               520.563272,              5945.740177
               305.546649,               379.290399,               310.823602,               310.583664,               631.599261,               385.302118,               552.047287,               416.763272,              5945.740177
               296.996649,               302.340399,               404.873602,               358.708664,               690.549261,               376.752118,               590.972287,               533.538272,              5945.740177
