c_op_hydrocarbons,passenger_extra,c_inv_car,c_inv_e_prop,f_max_nuc,cost
                -0.447365,                -0.019936,                -0.098302,                 0.251506,                 1.784335,             51173.815582
                -0.436646,                -0.075030,                 0.145620,                 0.158694,                 3.760116,             50083.252755
                 0.249354,                 0.006970,                -0.087380,                -0.237306,                 0.950116,             49032.211458
                 0.592354,                -0.034030,                -0.203880,                 0.356694,                 2.355116,             50298.687204
                -0.093646,                 0.047970,                 0.029120,                -0.039306,                 5.165116,             48334.085490
                 0.077854,                -0.054530,                -0.029130,                 0.059694,                 1.652616,             50139.307720
                 0.763854,                 0.027470,                 0.203870,                -0.336306,                 4.462616,             47087.290595
                 0.420854,                -0.095530,                 0.087370,                 0.257694,                 3.057616,             50798.521603
                -0.265146,                -0.013530,                -0.145630,                -0.138306,                 0.247616,             49568.809814
                -0.179396,                -0.023780,                 0.058245,                -0.385806,                 1.301366,             47823.296656
                 0.506604,                 0.058220,                -0.174755,                 0.010194,                 4.111366,             48147.667307
                 0.849604,                -0.064780,                -0.058255,                -0.187806,                 5.516366,             44793.265300
