cost,probability density
42392.06261407872,1.4510934194182416e-07
42529.889715575875,1.4510934194182416e-07
42667.716817073015,6.529920387382088e-07
42805.54391857017,7.981013806800328e-07
42943.37102006731,1.1608747355345933e-06
43081.19812156446,1.813866774272802e-06
43219.0252230616,2.1040854581564502e-06
43356.85232455876,3.0472961807783074e-06
43494.679426055896,5.22393630990567e-06
43632.50652755305,5.078826967963845e-06
43770.33362905019,7.69079512291668e-06
43908.160730547344,9.577216568160395e-06
44045.987832044484,1.1100864658549547e-05
44183.81493354164,1.291473143282235e-05
44321.64203503878,1.6687574323309777e-05
44459.46913653593,2.0387862542826297e-05
44597.29623803307,2.0532971884768118e-05
44735.123339530226,2.757077496894659e-05
44872.950441027366,3.177894588525949e-05
45010.77754252452,3.279471127885226e-05
45148.60464402166,3.729310087904881e-05
45286.431745518814,4.041295173079803e-05
45424.25884701595,5.0062722969929335e-05
45562.0859485131,4.861162955051366e-05
45699.91305001025,5.710052605410479e-05
45837.740151507394,6.087336894459844e-05
45975.56725300454,6.820139071265375e-05
46113.39435450169,7.436853774518881e-05
46251.221455998835,7.705306057110863e-05
46389.048557495975,8.597728510053081e-05
46526.87565899313,8.960501864907642e-05
46664.70276049027,9.337786153956385e-05
46802.52986198742,9.990778192694594e-05
46940.35696348456,0.00011028309987578635
47078.18406498172,0.00010875945178539721
47216.01116647886,0.00011616002822443024
47353.83826797601,0.00012464892472802694
47491.66536947315,0.00012457637005705604
47629.492470970305,0.00013415358662521645
47767.319572467444,0.00013604000807046016
47905.1466739646,0.0001406109523416276
48042.97377546174,0.00014380335786434774
48180.80087695889,0.0001502607235807589
48318.62797845603,0.00015483166785192637
48456.455079953186,0.00015809662804561742
48594.282181450326,0.00015417867581318817
48732.10928294748,0.00015903983876823928
48869.93638444462,0.00016136158823930845
49007.763485941774,0.00016426377507814494
49145.590587438914,0.000163393119026494
49283.41768893607,0.0001634656736974649
49421.24479043321,0.00016956026605902152
49559.07189193036,0.0001573710813359083
49696.8989934275,0.00016288523632969763
49834.726094924656,0.00016491676711688318
49972.553196421795,0.00016208713494901759
50110.38029791895,0.0001538159024583336
50248.20739941609,0.00015468655850998456
50386.03450091324,0.0001496077315420207
50523.86160241038,0.0001488821848323116
50661.68870390754,0.00014329547516755137
50799.51580540468,0.00013908730425123847
50937.34290690183,0.00013495168800589647
51075.17000839897,0.000127913884921718
51212.997109896125,0.0001237057140054051
51350.824211393265,0.0001237057140054051
51488.65131289042,0.0001123146306629719
51626.47841438756,0.00011137141994035003
51764.30551588471,0.00010368062481743337
51902.13261738185,9.787625113976039e-05
52039.959718879,9.03305653587903e-05
52177.786820376146,9.098355739751895e-05
52315.61392187329,8.0245466093833e-05
52453.44102337044,7.313510833867552e-05
52591.26812486759,7.146635090635218e-05
52729.095226364734,6.653263328032287e-05
52866.92232786188,5.949483019615105e-05
53004.74942935903,5.4053229873326644e-05
53142.576530856175,5.01352776409029e-05
53280.40363235332,4.7233090802061264e-05
53418.23073385047,3.983251436303283e-05
53556.057835347616,3.439091404021051e-05
53693.88493684476,3.199660989817392e-05
53831.71203834191,2.713544694312112e-05
53969.53913983905,2.4523478788168284e-05
54107.3662413362,1.9807425175058997e-05
54245.19334283334,1.915443313632079e-05
54383.0204443305,1.494626222000789e-05
54520.84754582764,1.3857942155444207e-05
54658.67464732479,9.359552555247657e-06
54796.50174882193,8.343787161654889e-06
54934.328850319085,7.037803084178472e-06
55072.155951816225,4.643498942138373e-06
55209.98305331338,3.627733548545604e-06
55347.81015481052,3.700288219516516e-06
55485.63725630767,1.5962027613600657e-06
55623.46435780481,1.7413121033018899e-06
55761.29145930197,1.4510934194182415e-06
55899.11856079911,4.3532802582547247e-07
56036.94566229626,5.804373677672967e-07
